# 16本目④ 第1版：聞き役（行頭 `> Q: `）の役割。cid<TAB>役割<TAB>聞き役の文（印を除く）。m16.py が台本と1行ずつ突き合わせる
c103	質問	ダムが壊れたの？
c107	まとめ	つまり、ダムは残ったの？
c108	質問	分かっていたのに、防げなかったの？
c110	質問	予見できたかどうか、答えは出たの？
c111	反応	ぎりぎりだったんだ。
c117	質問	その山は、どうして動いていたの？
c207	質問	高くすると、何が変わるの？
c212	質問	いちばん上の、道みたいな所は？
c213	質問	湖には、どこまで水をためるの？
c216	質問	試験って、何を確かめるの？
c219	質問	その湖の岸の山で、何が起きたの？
c302	質問	山の動きは、どうやって見るの？
c312	質問	それが、あの夜の大崩落？
c314	まとめ	つまり、水位を下げたら、山が止まった？
c317	質問	また、水をためるの？
c319	質問	また、山は動いた？
c322	質問	じゃあ、水位で山を止められる？
c323	質問	どんな報告なの？
c404	質問	みんな、そう考えたの？
c410	まとめ	つまり、山の斜面そのものが、動いている？
c411	質問	そんなに大きい塊を、どうするの？
c414	まとめ	つまり、止められない？
c415	質問	その報告は、国の役所に届いていたの？
c419	質問	どっちが本当なの？
c503	質問	波は、どこまで届くの？
c507	質問	崩れる範囲は、どう決めたの？
c509	質問	どうして、分けて落ちると考えたの？
c513	質問	波の高さは、どれくらいと出たの？
c516	質問	ダムの下流の町への波は、調べたの？
c519	質問	国の役所は、模型の結果を知っていたの？
c522	まとめ	つまり、その高さが、安全の目安になった？
c523	反応	目安より、上へ？
c603	まとめ	だから、水位で動きを抑えられると考えた？
c606	反応	模型が安全とした高さを、越えるのに？
c608	質問	山は、動かなかったの？
c614	まとめ	つまり、あの崩落のときと、同じくらい速い？
c617	質問	急に下げると、どうなるの？
c620	反応	下げたのに、速くなったの？
c701	質問	その日は、朝から何が起きたの？
c708	まとめ	波が来るかもしれない、とは思っていたんだ？
c709	反応	目で見えるほど？
c711	反応	まだ、止まらない？
c717	質問	下流の町の人たちには、知らせたの？
c721	質問	その夜、湖の水位は？
c805	質問	どれくらいの速さで？
c809	まとめ	つまり、模型とは、崩れ方が違った？
c811	質問	湖の水は、どうなったの？
c813	質問	実際の波は？
c817	質問	ダムの上を、どれくらいの高さで越えたの？
c821	質問	ダムの上流側は、どうなったの？
c905	質問	亡くなった人は、どれくらい？
c907	まとめ	つまり、ほとんどが、ロンガローネの人？
c909	質問	けがをして助かった人は？
c914	質問	上から見ると、何が写っているの？
c920	質問	なぜ、こんなことになったのか、誰が決めるの？
ca04	質問	多数派は、予見できたかどうかを、どう書いたの？
ca10	まとめ	議会の中でも、見方が割れたんだね？
ca14	質問	全員が、裁かれたの？
ca16	反応	一審と、逆になったの？
ca19	まとめ	つまり、崩れることも、予見できたと？
ca24	質問	裁判は、それで終わり？
ca27	質問	何が、初めてだったの？
cb07	質問	湖は、どうなったの？
cb13	まとめ	つまり、答えは、分かれたまま？
cb14	質問	結局、どこで止められたの？
