行	型	該当	本文
pr01-1	文頭の数字	1	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	同形異音語（実績）	方	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	同形異音語（一般）	日	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	同形異音語（一般）	日	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	数詞＋助数詞	1995年	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	数詞＋助数詞	6月	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	数詞＋助数詞	29日	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	数詞＋助数詞	5時	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-1	数詞＋助数詞	55分	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-2	§6の語（三豊百貨店）	瑞草区	韓国の首都ソウル、瑞草区にあった百貨店が崩れ落ちた。
pr01-2	§6の語（三豊百貨店）	百貨店	韓国の首都ソウル、瑞草区にあった百貨店が崩れ落ちた。
pr02-1	同形異音語（実績）	側	崩れはじめたのは、5階にあった食堂街の北東の側である。
pr02-1	数詞＋助数詞	5階	崩れはじめたのは、5階にあった食堂街の北東の側である。
pr02-1	§6の語（三豊百貨店）	階	崩れはじめたのは、5階にあった食堂街の北東の側である。
pr02-2	同形異音語（一般）	上	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr02-2	同形異音語（一般）	下	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr02-2	同形異音語（一般）	物	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr02-2	数詞＋助数詞	5階	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr02-2	数詞＋助数詞	4階	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr02-2	§6の語（三豊百貨店）	階	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr02-2	§6の語（三豊百貨店）	階	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr03-1	同形異音語（一般）	人	この事故で502人が亡くなり、937人がけがをしている。
pr03-1	同形異音語（一般）	人	この事故で502人が亡くなり、937人がけがをしている。
pr03-1	数詞＋助数詞	502人	この事故で502人が亡くなり、937人がけがをしている。
pr03-1	数詞＋助数詞	937人	この事故で502人が亡くなり、937人がけがをしている。
pr03-2	同形異音語（実績）	歳	その502人のうち、半分以上が21歳から30歳だった。
pr03-2	同形異音語（実績）	歳	その502人のうち、半分以上が21歳から30歳だった。
pr03-2	同形異音語（一般）	人	その502人のうち、半分以上が21歳から30歳だった。
pr03-2	同形異音語（一般）	上	その502人のうち、半分以上が21歳から30歳だった。
pr03-2	数詞＋助数詞	502人	その502人のうち、半分以上が21歳から30歳だった。
pr04-1	同形異音語（一般）	人	なぜ、これだけの人が建物の中に残っていたのか。
pr04-1	同形異音語（一般）	物	なぜ、これだけの人が建物の中に残っていたのか。
pr04-2	同形異音語（一般）	日	崩れたその日、建物は朝から合図を出しつづけていた。
pr04-2	同形異音語（一般）	物	崩れたその日、建物は朝から合図を出しつづけていた。
pr04-3	同形異音語（一般）	上	朝のうちに、5階の食堂の床が盛り上がった
pr04-3	数詞＋助数詞	5階	朝のうちに、5階の食堂の床が盛り上がった
pr04-3	§6の語（三豊百貨店）	階	朝のうちに、5階の食堂の床が盛り上がった
pr04-3	§6の語（三豊百貨店）	床	朝のうちに、5階の食堂の床が盛り上がった
pr04-3	§6の語（三豊百貨店）	盛り上が	朝のうちに、5階の食堂の床が盛り上がった
pr05-1	数詞＋助数詞	1989年	三豊百貨店が店を開いたのは、1989年の12月である。
pr05-1	数詞＋助数詞	12月	三豊百貨店が店を開いたのは、1989年の12月である。
pr05-1	§6の語（三豊百貨店）	三豊	三豊百貨店が店を開いたのは、1989年の12月である。
pr05-1	§6の語（三豊百貨店）	百貨店	三豊百貨店が店を開いたのは、1989年の12月である。
pr05-1	EL_YOMI 既存	三豊→サンプン×1	三豊百貨店が店を開いたのは、1989年の12月である。
pr05-2	同形異音語（一般）	物	崩れたのは、そこから5年半しかたっていない建物だった。
pr05-2	数詞＋助数詞	5年	崩れたのは、そこから5年半しかたっていない建物だった。
pr06-1	小数	27.6	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	同形異音語（一般）	上	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	同形異音語（一般）	下	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	数詞＋助数詞	5階	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	数詞＋助数詞	4階	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	数詞＋助数詞	6メートル	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	§6の語（三豊百貨店）	階	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-1	§6の語（三豊百貨店）	階	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-2	数詞＋助数詞	2つ	同じ大きさの棟が2つ、真ん中の通路でつながっていた。
pr06-2	§6の語（三豊百貨店）	棟	同じ大きさの棟が2つ、真ん中の通路でつながっていた。
pr07-1	同形異音語（一般）	人	会員として名前を登録していた人が7万6,500人あまり。
pr07-1	同形異音語（一般）	人	会員として名前を登録していた人が7万6,500人あまり。
pr07-1	数詞＋助数詞	500人	会員として名前を登録していた人が7万6,500人あまり。
pr07-1	桁区切りの数	6,500	会員として名前を登録していた人が7万6,500人あまり。
pr07-2	同形異音語（一般）	上	売り上げは全国の百貨店で7番目という、大きな店だった。
pr07-2	同形異音語（一般）	目	売り上げは全国の百貨店で7番目という、大きな店だった。
pr07-2	§6の語（三豊百貨店）	百貨店	売り上げは全国の百貨店で7番目という、大きな店だった。
pr08-1	文頭の数字	5	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
