行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
pr01-1	読み一致		ネンツキニチアサフロリダノケネディウチュウセンタア	ネンツキニチアサフロリダノケネディウチュウセンタア	2003年2月1日、朝。フロリダのケネディ宇宙センター。	2003年2月1日朝、フロリダのケネディ宇宙センター。
pr01-2	読み一致		ソノカッソオロニコロンビアゴオガオリテクルハズダッタ	ソノカッソオロニコロンビアゴオガオリテクルハズダッタ	その滑走路に、コロンビア号が降りてくるはずだった。	その滑走路にコロンビア号が降りてくるはずだった。
pr02-1	読み一致		チャクリクノヨテエハゲンチジカンノゴゼンジフンダッタ	チャクリクノヨテエハゲンチジカンノゴゼンジフンダッタ	着陸の予定は、現地時間の午前9時16分だった。	着陸の予定は現地時間の午前九時十六分だった。
pr02-2	読み一致		ダガコロンビアゴオハジフンビョオテキサスノソラデバラバラニナッタ	ダガコロンビアゴオハジフンビョオテキサスノソラデバラバラニナッタ	だがコロンビア号は、9時00分18秒、テキサスの空でばらばらになった。	だが、コロンビア号は九時零零分十八秒、テキサスの空でバラバラになった。
pr03-1	読み一致		ノッテエタノハニンゼンインガナクナッタ	ノッテエタノハニンゼンインガナクナッタ	乗っていたのは7人。全員が亡くなった。	乗っていたのは七人。全員が亡くなった。
pr03-2	読み一致		ナゼカエレナカッタノカ	ナゼカエレナカッタノカ	なぜ、帰れなかったのか。	なぜ帰れなかったのか。
pr04-1	読み一致		ゲンインハコノヒデハナイニチマエノオチアゲニアル	ゲンインハコノヒデハナイニチマエノオチアゲニアル	原因は、この日ではない。16日前の打ち上げにある。	原因はこの日ではない十六日前の打ち上げにある。
pr04-2	読み一致		ギジュツシャハキドオノキタイヲトッテクレトモトメタ	ギジュツシャハキドオノキタイヲトッテクレトモトメタ	技術者は、軌道の機体を撮ってくれと求めた。	技術者は軌道の機体を撮ってくれと求めた
pr04-3	読み一致		トッテクダサイハドシリゾケラレタ	トッテクダサイハドシリゾケラレタ	撮ってくださいは、三度退けられた	取ってくださいは三度退けられた。
pr05-1	読み一致		ウチアゲハネンツキニチゴゼンジフン	ウチアゲハネンツキニチゴゼンジフン	打ち上げは2003年1月16日、午前10時39分。	打ち上げは2003年1月16日午前10時39分。
pr05-2	読みが違う	—→テン	ソノビョオゴネンリョオタンクヲオオオダンネツザイノカケラガハガレオチタ	ソノテンビョオゴネンリョオタンクヲオオオダンネツザイノカケラガハガレオチタ	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。	その八十一点七秒後、燃料タンクを覆う断熱材のかけらが剥がれ落ちた。
pr06-1	読みが違う	—→テン／—→テン	ハガレタノガビョオヒダリノツバサニアタッタノガビョオ	ハガレタノガテンビョオヒダリノツバサニアタッタノガテンビョオ	はがれたのが81.7秒。左の翼に当たったのが81.9秒。	剥がれたのが八十一点七秒。左の翼に当たったのが八十一点九秒。
pr06-2	読みが違う	アイダ→カン	ソノアイダワズカビョオデアル	ソノカンワズカビョオデアル	そのあいだ、わずか0.2秒である。	その間、わずか0.2秒である。
pr07-1	読み一致		キヅイタノハヨクジツバンカケテゲンゾオシタフィルムニウツッテエタ	キヅイタノハヨクジツバンカケテゲンゾオシタフィルムニウツッテエタ	気づいたのは翌日。一晩かけて現像したフィルムに写っていた。	気づいたのは翌日。一晩かけて現像したフィルムに映っていた
pr07-2	読み一致		ギジュツシャタチハツバサノドコガキズツイタノカヲシロオトシタ	ギジュツシャタチハツバサノドコガキズツイタノカヲシロオトシタ	技術者たちは、翼のどこが傷ついたのかを知ろうとした。	技術者たちは翼のどこが傷ついたのかを知ろうとした。
pr08-1	読み一致		キドオニイルコロンビアゴオヲボオエンキョオカエエセエデトッテホシイ	キドオニイルコロンビアゴオヲボオエンキョオカエエセエデトッテホシイ	軌道にいるコロンビア号を、望遠鏡か衛星で撮ってほしい。	軌道にいるコロンビア号を望遠鏡か衛星で撮ってほしい。
pr08-2	読み一致		ソノモトメハカイベツベツニダサレタ	ソノモトメハカイベツベツニダサレタ	その求めは、三回、別々に出された。	その求めは三回別々に出された。
pr09-1	読み一致		ニンニハタイキケンニモドルトキノシンパイハナイトメエルガトドイテエタ	ニンニハタイキケンニモドルトキノシンパイハナイトメエルガトドイテエタ	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。	七人には大気圏に戻る時の心配はないとメールが届いていた。
