scene	decision	chosen	takes	flags	text
pr02-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 150ms の音（3.85秒地点・振幅10429＝本文の1.1倍） || take2: clean	着陸の予定は、現地時間の午前9時16分だった。
c110-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 150ms の音（1.67秒地点・振幅9639＝本文の1.0倍） || take2: clean	検査は、目で見るだけだった
c115-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 170ms の音（3.51秒地点・振幅8831＝本文の1.0倍） || take2: 末尾に余計な音: 90ms の無音 → 120ms の音（3.56秒地点・振幅11074＝本文の1.2倍） || take3: clean	中に気密室を残していた、ただ1機の機体でもあった。
c204-1	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 190ms の音（3.73秒地点・振幅11335＝本文の1.3倍） || take2: 末尾に余計な音: 80ms の無音 → 160ms の音（3.68秒地点・振幅16625＝本文の2.0倍） || take3: 末尾に余計な音: 90ms の無音 → 220ms の音（3.70秒地点・振幅8582＝本文の1.1倍）	午前10時39分、固体ロケットブースタに火が入った。
c209-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（2.56秒地点・振幅13033＝本文の1.2倍） || take2: clean	座布団ほどの板が、回りながら落ちていった。
c218-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 180ms の音（4.05秒地点・振幅8186＝本文の1.1倍） || take2: clean	だが地上から、残りの映像を送ってくれと頼んだ者はいなかった。
c415-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 90ms の音（4.63秒地点・振幅9539＝本文の0.9倍） || take2: clean	断熱材の衝突は、16日間の暮らしに何の影響も与えなかった。
c506-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 170ms の音（2.63秒地点・振幅9673＝本文の1.0倍） || take2: clean	三度とも、飛行中の判断をする側で止まった。
c507-3	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（3.36秒地点・振幅10197＝本文の1.3倍） || take2: clean	写真を欲しがっていたチーム自身には、誰も聞かなかった。
c520-1	clean	2	2	take1: 途中に浮いた音: 200ms（1.94秒地点・振幅11871＝本文の1.3倍／前110ms・後100ms の無音） || take2: clean	翼の前のふち用の式もあった。1984年に氷の弾で合わせたものである。
c521-1	clean	3	3	take1: 末尾に余計な音: 130ms の無音 → 190ms の音（4.13秒地点・振幅9578＝本文の1.1倍） || take2: 末尾に余計な音: 110ms の無音 → 190ms の音（4.23秒地点・振幅13237＝本文の1.6倍） || take3: clean	チームはこう考えた。断熱材は氷より軽いから破れない、と。
c602-3	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 40ms の音（2.84秒地点・振幅9429＝本文の1.1倍） || take2: clean	そこで、命に関わる傷が見つかったとする。
c604-1	clean	2	2	take1: 末尾に余計な音: 460ms の無音 → 40ms の音（2.20秒地点・振幅15825＝本文の2.8倍） || take2: clean	どちらにも、期限がある。
c613-3	clean	2	2	take1: 途中に浮いた音: 190ms（2.70秒地点・振幅22360＝本文の2.9倍／前210ms・後80ms の無音） || take2: clean	二つ。整備が無事故であること。三つ。秒読みが完璧であること。
c617-2	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 130ms の音（1.47秒地点・振幅7086＝本文の1.0倍） || take2: clean	NASAは確かめられなかった。
c702-2	clean	2	2	take1: 途中に浮いた音: 200ms（3.59秒地点・振幅12779＝本文の1.8倍／前90ms・後380ms の無音） || take2: clean	8時15分30秒、軌道を離れる噴射が始まった。2分38秒続く。
c703-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 170ms の音（4.07秒地点・振幅7842＝本文の0.9倍） || take2: clean	そのときの高さは約280キロ。インド洋の上だった。
c718-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（3.67秒地点・振幅9673＝本文の1.0倍） || take2: clean	8時58分20秒、ニューメキシコからテキサスへ入った。
c807-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 130ms の音（3.47秒地点・振幅11281＝本文の1.0倍） || take2: clean	270の機関から、2万5千人以上が加わった。
c912-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 140ms の音（3.38秒地点・振幅9409＝本文の0.9倍） || take2: clean	チャレンジャー号を招いた組織の欠陥は、直っていなかった。
c916-2	real	1	3	take1: 途中に浮いた音: 180ms（3.27秒地点・振幅25711＝本文の3.8倍／前90ms・後110ms の無音） || take2: 途中に浮いた音: 200ms（3.47秒地点・振幅20194＝本文の2.5倍／前130ms・後110ms の無音） || take3: 途中に浮いた音: 180ms（3.25秒地点・振幅27523＝本文の4.1倍／前90ms・後80ms の無音）	事故の記憶は必ず薄れる。だから急げ、と委員会は書いた。
c807-2	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 130ms の音（4.03秒地点・振幅13742＝本文の1.5倍） || take2: clean	延べ150万時間をかけて、四国の半分ほどの広さを 当たった。
