行	型	該当	本文
c101-1	文頭の数字	1	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	同形異音語（一般）	日	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	同形異音語（一般）	日	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	数詞＋助数詞	1974年	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	数詞＋助数詞	3月	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	数詞＋助数詞	3日	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	EL_YOMI 既存	1974年3月3日→千九百七十四年 さんがつみっか×1	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-1	EL_YOMI 既存	37キロ→さんじゅうななキロ×1	1974年3月3日、日曜日の昼。パリの北東37キロの森に、旅客機が落ちた。
c101-2	同形異音語（一般）	人	トルコ航空981便。乗っていた346人は、全員が亡くなった。
c101-2	数詞＋助数詞	346人	トルコ航空981便。乗っていた346人は、全員が亡くなった。
c101-2	EL_YOMI 既存	346人→さんびゃくよんじゅうろくにん×1	トルコ航空981便。乗っていた346人は、全員が亡くなった。
c101-2	EL_YOMI 既存	981便→きゅうはちいちびん×1	トルコ航空981便。乗っていた346人は、全員が亡くなった。
c102-1	§6の語（9.11）	機体	原因は、機体の後ろにある、貨物室のドアだった。
c102-1	§6の語（コロンビア号）	貨物室	原因は、機体の後ろにある、貨物室のドアだった。
c103-1	数詞＋助数詞	2年	実は2年近く前にも、同じ型の旅客機で、同じ位置のドアが空中で外れていた。
c103-1	EL_YOMI 既存	実は2年近く→実は二年近く×1	実は2年近く前にも、同じ型の旅客機で、同じ位置のドアが空中で外れていた。
c103-2	§6の語（コロンビア号）	報告書	フランスの事故報告書は、結論の最後にこう書いている。
c104-2	同形異音語（実績）	話	決めたのは、航空の役所のトップとメーカーの社長の、電話1本の約束だった。
c104-2	数詞＋助数詞	1本	決めたのは、航空の役所のトップとメーカーの社長の、電話1本の約束だった。
c104-2	EL_YOMI 既存	1本→いっぽん×1	決めたのは、航空の役所のトップとメーカーの社長の、電話1本の約束だった。
c105-1	同形異音語（一般）	人	乗客のうち、日本人と確かめられたのは48人。
c105-1	同形異音語（一般）	人	乗客のうち、日本人と確かめられたのは48人。
c105-1	数詞＋助数詞	48人	乗客のうち、日本人と確かめられたのは48人。
c105-1	EL_YOMI 既存	のは48人→のは よんじゅうはちにん×1	乗客のうち、日本人と確かめられたのは48人。
c105-2	同形異音語（一般）	人	その多くは、銀行や商社への入社が決まっていた、若い人たちだった。
c106-1	文頭の数字	1	1976年の国会の記録によれば、この機体は、もとは日本向けに作られていた。
c106-1	数詞＋助数詞	1976年	1976年の国会の記録によれば、この機体は、もとは日本向けに作られていた。
c106-1	§6の語（9.11）	機体	1976年の国会の記録によれば、この機体は、もとは日本向けに作られていた。
c106-1	EL_YOMI 既存	1976年の国会の記録→千九百七十六年の国会の記録×1	1976年の国会の記録によれば、この機体は、もとは日本向けに作られていた。
c106-2	EL_YOMI 既存	6機→ろっき×1	日本の商社が、全日空に売るつもりで注文した6機の、1機だったのである。
c106-2	EL_YOMI 既存	1機→いっき×1	日本の商社が、全日空に売るつもりで注文した6機の、1機だったのである。
c107-1	数詞＋助数詞	3つ	この動画では、3つの問いを追う。
c107-1	EL_YOMI 既存	3つ→みっつ×1	この動画では、3つの問いを追う。
c107-3	§6の語（9.11）	機体	なぜ、その直しが、この機体には入っていなかったのか。
c108-1	1モーラ語＋助詞	手が	手がかりは、身近なところにある。車の「半ドア」だ。
c108-1	鉤括弧	「	手がかりは、身近なところにある。車の「半ドア」だ。
c108-1	鉤括弧	」	手がかりは、身近なところにある。車の「半ドア」だ。
c108-2	同形異音語（一般）	目	閉めたつもりなのに、錠が最後までかかっていない。見た目では分かりにくい。
c109-1	同形異音語（一般）	上	旅客機の半ドアは、ふつう地上では何も起こさない。機内に空気を詰めていないからだ。
c109-2	同形異音語（一般）	上	危ないのは空の上だ。機内の空気が、ドアを外へ強く押すからである。
c110-1	§6の語（9.11）	機体	報告書に載った、墜落の現場の写真だ。矢印は、機体が入ってきた向き。
c110-1	§6の語（コロンビア号）	報告書	報告書に載った、墜落の現場の写真だ。矢印は、機体が入ってきた向き。
c110-2	同形異音語（一般）	目	機体は、森に長さ700メートル、幅100メートルほどの切れ目を残した。
c110-2	数詞＋助数詞	700メートル	機体は、森に長さ700メートル、幅100メートルほどの切れ目を残した。
c110-2	数詞＋助数詞	100メートル	機体は、森に長さ700メートル、幅100メートルほどの切れ目を残した。
c110-2	§6の語（9.11）	機体	機体は、森に長さ700メートル、幅100メートルほどの切れ目を残した。
c110-2	EL_YOMI 既存	700メートル→ななひゃくメートル×1	機体は、森に長さ700メートル、幅100メートルほどの切れ目を残した。
c110-2	EL_YOMI 既存	100メートル→ひゃくメートル×1	機体は、森に長さ700メートル、幅100メートルほどの切れ目を残した。
c111-1	§6の語（9.11）	委員会	この動画は、フランスの事故調査委員会の報告書を、原文で読んで作っている。
c111-1	§6の語（コロンビア号）	委員会	この動画は、フランスの事故調査委員会の報告書を、原文で読んで作っている。
c111-1	§6の語（コロンビア号）	報告書	この動画は、フランスの事故調査委員会の報告書を、原文で読んで作っている。
c112-1	鉤括弧	「	報告書の時刻は、世界の基準の時刻「世界時」で書かれている。
c112-1	鉤括弧	」	報告書の時刻は、世界の基準の時刻「世界時」で書かれている。
c112-1	§6の語（コロンビア号）	報告書	報告書の時刻は、世界の基準の時刻「世界時」で書かれている。
c112-2	同形異音語（実績）	話	この動画では、それに1時間足した、パリの時刻で話す。
c112-2	数詞＋助数詞	1時	この動画では、それに1時間足した、パリの時刻で話す。
c112-2	EL_YOMI 既存	それに1時間足した→それに いちじかん足した×1	この動画では、それに1時間足した、パリの時刻で話す。
c112-3	同形異音語（実績）	話	話は、その日の午前の、パリのオルリー空港から始まる。
c112-3	同形異音語（一般）	日	話は、その日の午前の、パリのオルリー空港から始まる。
c201-1	文頭の数字	9	981便は、トルコのイスタンブールを出て、パリのオルリー空港に寄り、
c201-1	EL_YOMI 既存	981便→きゅうはちいちびん×1	981便は、トルコのイスタンブールを出て、パリのオルリー空港に寄り、
c202-1	数詞＋助数詞	3つ	機体は、アメリカのダグラス社が作ったDC-10。エンジンが3つある大型機だ。
c202-1	§6の語（9.11）	機体	機体は、アメリカのダグラス社が作ったDC-10。エンジンが3つある大型機だ。
c202-1	英字・記号	DC	機体は、アメリカのダグラス社が作ったDC-10。エンジンが3つある大型機だ。
c202-1	EL_YOMI 既存	DC-10→ディーシーテン×1	機体は、アメリカのダグラス社が作ったDC-10。エンジンが3つある大型機だ。
c202-1	EL_YOMI 既存	3つ→みっつ×1	機体は、アメリカのダグラス社が作ったDC-10。エンジンが3つある大型機だ。
c202-2	数詞＋助数詞	1972年	この機体は1972年2月に初めて飛び、12月にトルコ航空に引き渡された。
c202-2	数詞＋助数詞	2月	この機体は1972年2月に初めて飛び、12月にトルコ航空に引き渡された。
c202-2	数詞＋助数詞	12月	この機体は1972年2月に初めて飛び、12月にトルコ航空に引き渡された。
c202-2	§6の語（9.11）	機体	この機体は1972年2月に初めて飛び、12月にトルコ航空に引き渡された。
c202-2	EL_YOMI 既存	機体は1972年2月→機体は せんきゅうひゃくななじゅうにねん 二月×1	この機体は1972年2月に初めて飛び、12月にトルコ航空に引き渡された。
c202-2	EL_YOMI 既存	12月→じゅうにがつ×1	この機体は1972年2月に初めて飛び、12月にトルコ航空に引き渡された。
c203-1	EL_YOMI 既存	3機→さんき×1	トルコ航空は、この型を3機まとめて買っていた。
c203-2	§6の語（9.11）	機体	写真は、同じトルコ航空の、同じ型の機体だ。
c204-1	文頭の数字	3	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	同形異音語（一般）	日	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	同形異音語（一般）	表	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	数詞＋助数詞	3月	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	数詞＋助数詞	3日	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	数詞＋助数詞	11時	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	数詞＋助数詞	2分	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	EL_YOMI 既存	3月3日の午前11時2分→三月みっかの午前十一時二分×1	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-1	EL_YOMI 既存	981便→きゅうはちいちびん×1	3月3日の午前11時2分。981便は、時刻表どおりにオルリー空港に着いた。
c204-2	§6の語（9.11）	機体	機体は、南ターミナルの西にある、A2という場所に止まった。
c204-2	英字・記号	A	機体は、南ターミナルの西にある、A2という場所に止まった。
c204-2	EL_YOMI 既存	A2→エーツー×1	機体は、南ターミナルの西にある、A2という場所に止まった。
c204-3	同形異音語（一般）	人	乗っていた167人のうち、50人がパリで降りた。
c204-3	同形異音語（一般）	人	乗っていた167人のうち、50人がパリで降りた。
c204-3	数詞＋助数詞	167人	乗っていた167人のうち、50人がパリで降りた。
c204-3	数詞＋助数詞	50人	乗っていた167人のうち、50人がパリで降りた。
c204-3	EL_YOMI 既存	167人→ひゃくろくじゅうななにん×1	乗っていた167人のうち、50人がパリで降りた。
c204-3	EL_YOMI 既存	50人→ごじゅうにん×1	乗っていた167人のうち、50人がパリで降りた。
c205-1	同形異音語（一般）	人	そして、ロンドンへ向かう200人あまりが、新たに乗りこんだ。
c205-1	数詞＋助数詞	200人	そして、ロンドンへ向かう200人あまりが、新たに乗りこんだ。
c205-1	EL_YOMI 既存	200人→二百人×1	そして、ロンドンへ向かう200人あまりが、新たに乗りこんだ。
c206-1	同形異音語（実績）	間	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c206-1	同形異音語（実績）	間	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c206-1	数詞＋助数詞	1時	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c206-1	数詞＋助数詞	1時	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c206-1	数詞＋助数詞	30分	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c206-1	EL_YOMI 既存	ふだんは1時間→ふだんは いちじかん×1	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c206-1	EL_YOMI 既存	1時間30分→いちじかん さんじゅっぷん×1	そのため、ふだんは1時間の停留が、1時間30分に延びた。
c207-1	同形異音語（一般）	物	そのあいだに、荷物の積み下ろしと、燃料の補給が進んだ。
c207-1	同形異音語（一般）	下	そのあいだに、荷物の積み下ろしと、燃料の補給が進んだ。
c207-2	同形異音語（一般）	物	後ろの左の貨物室は、荷物を下ろすだけで、何も積まなかった。
c207-2	同形異音語（一般）	下	後ろの左の貨物室は、荷物を下ろすだけで、何も積まなかった。
c207-2	§6の語（コロンビア号）	貨物室	後ろの左の貨物室は、荷物を下ろすだけで、何も積まなかった。
c208-1	同形異音語（一般）	下	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-1	同形異音語（一般）	物	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-1	数詞＋助数詞	3つ	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-1	§6の語（三豊百貨店）	床	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-1	英字・記号	DC	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-1	EL_YOMI 既存	DC-10→ディーシーテン×1	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-1	EL_YOMI 既存	3つ→みっつ×1	DC-10の床の下には、荷物を入れる部屋があり、ドアが3つある。
c208-2	同形異音語（実績）	話	この話の主役は、そのうち後ろの左側のドアだ。
c208-2	同形異音語（実績）	側	この話の主役は、そのうち後ろの左側のドアだ。
c209-1	同形異音語（一般）	物	午前11時35分ごろ。このドアを閉めたのは、空港で荷物を扱う会社の係員だった。
c209-1	数詞＋助数詞	11時	午前11時35分ごろ。このドアを閉めたのは、空港で荷物を扱う会社の係員だった。
c209-1	数詞＋助数詞	35分	午前11時35分ごろ。このドアを閉めたのは、空港で荷物を扱う会社の係員だった。
c209-1	EL_YOMI 既存	11時35分→じゅういちじさんじゅうごふん×1	午前11時35分ごろ。このドアを閉めたのは、空港で荷物を扱う会社の係員だった。
c209-2	同形異音語（一般）	事	パリの空港公団から、仕事を請け負っていた会社である。
c209-3	数詞＋助数詞	1968年	係員は、1968年からこの会社で働いていた。
