行	key	val	前	後	前の聞取	後の聞取
pr04-3	床	ゆか	0.947	1.000	朝のうちに五階の食堂の戸が盛り上がった。	朝のうちに五階の食堂の床が盛り上がった
c107-1	床	ゆか	0.773	0.837	同じ頃、屋上のトカは魚の鱗のように浮き上がり	同じ頃、屋上の床は魚の鱗のように浮き上がり
c602-1	床	ゆか	0.923	1.000	午後二時から四時にかけて、五階のトゥカのコンクリートには	午後二時から四時にかけて。五階の床のコンクリートには
c504-2	床	ゆか	0.931	0.966	梁が受け持つはずの力を、束と柱の継ぎ目だけで受けることになる。	梁が受け持つはずの力を床と柱の継ぎ目だけで受けることになる
c110-3	床	ゆか	0.778	0.778	四階でも柱と床の間にヒビが出ている。	四階でも柱と床の間にヒビが出ている
c103-1	北の棟	きたのむね	0.906	1.000	下の戸江は一階から四階までが売り場で、五階が食堂街だった。	北の棟は一階から四階までが売り場で、五階が食堂街だった。
pr06-2	の棟	のむね	0.875	0.936	同じ大きさの戸音が二つ真ん中の通路で繋がっていた。	同じ大きさの棟が二つ、真ん中の通路で繋がっていた。
c204-1	の棟	のむね	0.878	0.900	立っていたのは同じ大きさの戸枝が二つである。	立っていたのは同じ大きさの胸が二つである。
c701-2	北の棟	きたのむね	0.773	0.930	北の戸への誤解食堂街の北東の側から崩れ始めた。	北の棟の五階、食堂街の北東の側から崩れ始めた。
c713-2	の棟	のむね	0.947	1.000	南の塔は通路が切れた形でその場に残った。	南の棟は通路が切れた形でその場に残った。
c102-1	棟は2つ	むねは2つ	0.958	1.000	まず建物の形を押さえておく。塔は二つに分かれていて	まず建物の形を押さえておく。棟は二つに分かれていて
c204-2	北がA棟	きたがA棟	0.957	1.000	下がA棟で百貨店の売り場、南がB棟で市の断面図では	北がA棟で百貨店の売り場、南がB棟で市の断面図では
c213-1	竣工	しゅんこう	0.926	0.926	新港の検査が終わったのは開店の翌年1990年7月27日	春高の検査が終わったのは開店の翌年、 1990年7月27日
c318-3	竣工	しゅんこう	0.791	0.791	健康の検査が終わったのはその八ヶ月後である。	春高の検査が終わったのはその八ヶ月後である。
c321-1	白書	はくしょ	0.857	1.000	各所には図面を書く、実際に建てる、それを見張る	白書には図面を描く、実際に建てる、それを見張る
c707-2	白書	はくしょ	0.800	0.889	各所は十七時五十五分頃、国会の報告書は十七時五十二分	白書は十七時五十五分頃、国会の報告書は十七時五十二分。
c815-1	白書	はくしょ	0.920	1.000	各所によれば、助け出された三人はいずれも若い人だった。	白書によれば、助け出された三人はいずれも若い人だった。
c405-2	白書	はくしょ	0.947	0.877	前提の一点六倍を超えている。なお、白書はこの冷却塔を四台と数え	前提の一点六倍を超えている。なお、博士はこの冷却塔を四台と数え
c714-2	瓦礫	がれき	0.852	0.943	カラキは地下四階から地下三階の辺りまで積み上がっている。	瓦礫は地下四階から地下三階の辺りまで積み上がっている。
c821-1	瓦礫	がれき	0.864	0.977	カラキを運び出す作業も進んだ。七月十九日の時点で	瓦礫を運び出す作業も進んだ。七月十九日の時点で
