行	テイク数	判定	各テイクの聞取	本文
c112-2	1	採用（文字起こしが台本と合う）	take1: ビキニは日付変更線の西にあるので、アメリカ本土ではまだ二月二十八日だった。	ビキニは日付変更線の西にあるので、アメリカ本土では、まだ2月28日だった。
c209-1	1	採用（文字起こしが台本と合う）	take1: 作戦では三月から五月までに六回の爆発が行われた。	作戦では、3月から5月までに、6回の爆発が行われた。
c210-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 六回のうち三回はTNT火薬に直して一千万トンを超えた。 || take2: 六回のうち三回はTNT火薬に直して一千万トンを超えた。 || take3: 六回のうち三回はTNT火薬に直して一千万トンを超えた。	6回のうち3回は、TNT火薬に直して1000万トンを超えた。
c210-2	1	採用（文字起こしが台本と合う）	take1: その最初の1回が3月1日のブラボーである。	その最初の1回が、3月1日の「ブラボー」である。
c212-1	1	採用（文字起こしが台本と合う）	take1: 実験場は太平洋のマーシャル諸島にある	実験場は、太平洋のマーシャル諸島にある。
c215-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 国本総省の実験だけで二十九の計画が動いていた。 || take2: 国本総省の実験だけで二十九の計画が動いていた。 || take3: 国本総省の実験だけで二十九の計画が動いていた。	国防総省の実験だけで、29の計画が動いていた。
c218-1	1	採用（文字起こしが台本と合う）	take1: 三月一日に試される装置はロスアラモス科学研究所が作った。	3月1日に試される装置は、ロスアラモス科学研究所が作った。
c304-2	1	採用（文字起こしが台本と合う）	take1: 天然のリチウムはほとんどがリチウム7で、リチウム6はわずかだ。	天然のリチウムは、ほとんどがリチウム7で、リチウム6はわずかだ。
c308-1	1	採用（文字起こしが台本と合う）	take1: 報告書はこの装置を兵器そのものではないとした上で、こう書いている。	報告書は、この装置を、兵器そのものではないとしたうえで、こう書いている。
c312-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 一番ありそうな値と比べると二点五倍にあたる || take2: 一番ありそうな値と比べると二点五倍に当たる。 || take3: 一番ありそうな値と比べると二点五倍にあたる。	いちばんありそうな値と比べると、2.5倍にあたる。
c313-2	1	採用（文字起こしが台本と合う）	take1: 実験の四ヶ月余り後、研究所の担当者は国の委員会でこう説明した。	実験の4か月あまりのち、研究所の担当者は、国の委員会でこう説明した。
c317-2	1	採用（文字起こしが台本と合う）	take1: リチウム七の見込み違い説は誤りである。	リチウム7の見込み違い説は、誤りである
c318-2	1	採用（文字起こしが台本と合う）	take1: 当時からの説明と二千二十四年の論文とが食い違ったままである。	当時からの説明と、2024年の論文とが、食い違ったままである。
c323-2	1	採用（文字起こしが台本と合う）	take1: 雲の高さと形は威力にあまり左右されないからだ。	雲の高さと形は、威力にあまり左右されないからだ。
c402-1	2	採用（文字起こしが台本と合う）	take1: 陸域の東の外側には人の住む島々があった。 || take2: 区域の東の外側には人の住む島々があった。	区域の東の外側には、人の住む島々があった。
c404-2	3	要耳（全テイク落ち・所見最少を採用）	take1: ヴァンは高さごとの風を重ね合わせて、灰の落ちる先を予想した。 || take2: ヴァンは高さごとの風を重ね合わせて灰の落ちる先を予想した。 || take3: ハンは高さごとの風を重ね合わせて、灰の落ちる先を予想した。	班は、高さごとの風を重ね合わせて、灰の落ちる先を予想した。
c405-2	2	採用（文字起こしが台本と合う）	take1: 肺の広がりを見積もる方法は、主にネバダの威力の小さい実験の記録をもとにしていた。 || take2: 灰の広がりを見積もる方法は、主にネバダの威力の小さい実験の記録をもとにしていた。	灰の広がりを見積もる方法は、主にネバダの、威力の小さい実験の記録をもとにしていた。
c408-2	1	採用（文字起こしが台本と合う）	take1: 通りがかりの船がいないかを確かめるためである。	通りがかりの船がいないかを、確かめるためである。
c412-3	1	採用（文字起こしが台本と合う）	take1: 雲の行方を見張る飛行機は爆発の二時間後に飛ぶ手はずになった。	雲の行方を見張る飛行機は、爆発の2時間後に飛ぶ手はずになった。
c414-1	2	採用（文字起こしが台本と合う）	take1: 中でも気になる風の向きを報告書はこう書いていた。 || take2: 中でも気になる風の向きを報告書はこう書いている。	なかでも気になる風の向きを、報告書はこう書いている。
