行	key	val	前	後	前の聞取	後の聞取
c105-1	東北東へ	とうほくとうへ	0.920	1.000	船はビキニ環礁から東北高値へ百五十七キロの海の上にいた。	船はビキニ環礁から東北東へ157キロの海の上にいた。
c416-2	東北東の	とうほくとうの	0.951	1.000	爆発の当日、東北たちの海へ船を探す飛行機を追加で飛ばすことにした。	爆発の当日、東北東の海へ船を探す飛行機を追加で飛ばすことにした。
c711-1	この夜の	このよるの	0.902	0.960	1982年の報告書は、この世の司令部をこう書いています。	1982年の報告書は、この夜の司令部をこう書いていた。
c818-3	肝炎	かんえん	0.943	1.000	アメリカ政府の内部の電報や日本の医師の一部は、輸血による甘言を疑っていた。	アメリカ政府の内部の電報や日本の医師の一部は、輸血による肝炎を疑っていた。
c604-2	漁場	ぎょじょう	0.963	1.000	二月二十三日にはマーシャル諸島の近くまで漁坊を移していた。	二月二十三日にはマーシャル諸島の近くまで漁場を移していた。
c215-2	国防総省	こくぼうそうしょう	0.952	1.000	国本総省の実験だけで二十九の計画が動いていた。	国防総省の実験だけで二十九の計画が動いていた。
c607-1	西南西	せいなんせい	0.875	1.000	指南市の空に赤く明るい光が見えた。	西南西の空に赤く明るい光が見えた。
c404-2	班は	ハンは	0.926	0.943	ヴァンは高さごとの風を重ね合わせて、灰の落ちる先を予想した。	ハンは高さごとの風を重ね合わせて灰の落ちる先を予想した。
c713-2	針は	ハリは	0.909	0.844	アリは午後二時五十分から振り切れたままだという。	ハリーは午後に時五十分から振り切れたままだという。
c707-2	着がえた	きがえた	0.769	0.846	ほとんどのものが半袖半ズボンを長袖長ズボンに変えた	ほとんどの者が半袖半ズボンを長袖長ズボンに着替えた。
c421-2	環礁	かんしょう	0.909	0.744	起爆の班のほかは誰も艦長に残らない手順である。	木爆の藩の他は誰も鑑賞に残らない手順である。
c421-3	環礁	かんしょう	0.873	0.909	指令所は爆心から干潮の内側の海を挟んだ向こう岸にあった。	司令所は爆心から環礁の内側の海を挟んだ向こう岸にあった。
c720-3	環礁	かんしょう	0.857	0.929	近くの艦長で漁をしていた十八人も後から駆逐艦に乗せられた。	近くの環礁で漁をしていた十八人も後から駆逐艦に乗せられた。
c713-2	針は	はりは	0.909	0.977	アリは午後二時五十分から振り切れたままだという。	針は午後二時五十分から振り切れたままだという。
