行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c101-1	読み一致		ネンツキニチゴゼンジフンタイヘエヨオノマンナカノビキニカンショオ	ネンツキニチゴゼンジフンタイヘエヨオノマンナカノビキニカンショオ	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。	1954年3月1日午前6時45分、太平洋の真ん中のビキニ環礁。
c101-2	読み一致		アメリカガスイソバクダンノジッケンヲオコナッタ	アメリカガスイソバクダンノジッケンヲオコナッタ	アメリカが、水素爆弾の実験を行った。	アメリカが水素爆弾の実験を行った。
c102-1	読み一致		バクハツハヒロシマノゲンバクノオヨソバイカヤクニナオシテトンブン	バクハツハヒロシマノゲンバクノオヨソバイカヤクニナオシテトンブン	爆発は、広島の原爆のおよそ1000倍。TNT火薬に直して1500万トンぶん。	爆発は広島の原爆のおよそ千倍。TNT火薬に直して千五百万トン分。
c102-2	読みが違う	—→テン	イチバンアリソオトサレタトントクラベルトバイニナル	イチバンアリソオトサレタトントクラベルトテンバイニナル	いちばんありそうとされた600万トンと比べると、2.5倍になる。	一番ありそうとされた六百万トンと比べると二点五倍になる
c103-1	読み一致		アメリカコクボオソオショオノホオコクショモハッキリコオカイテエル	アメリカコクボオソオショオノホオコクショモハッキリコオカイテエル	アメリカ国防総省の報告書も、はっきりこう書いている。	アメリカ国防総省の報告書もはっきりこう書いている。
c103-2	読み一致		バクハツノイリョクハヨソオヨリハルカニオオキカッタ	バクハツノイリョクハヨソオヨリハルカニオオキカッタ	爆発の威力は、予想よりはるかに大きかった	爆発の威力は予想よりはるかに大きかった。
c104-1	読み一致		バクハツデマキアゲラレタホオシャノオヲオビタハイハカゼニノッテヒガシヘナガレタ	バクハツデマキアゲラレタホオシャノオヲオビタハイハカゼニノッテヒガシヘナガレタ	爆発でまき上げられた、放射能を帯びた灰は、風に乗って東へ流れた。	爆発で巻き上げられた放射能を帯びた灰は風に乗って東へ流れた。
c104-2	読み一致		ソノサキノオミニイタノガニッポンノマグロギョセンダイフクリュウマルデアル	ソノサキノオミニイタノガニッポンノマグロギョセンダイフクリュウマルデアル	その先の海にいたのが、日本のマグロ漁船「第五福竜丸」である。	その先の海にいたのが日本のマグロ漁船第五福竜丸である。
c105-1	読みが違う	トオヘ→タカチホ	フネハビキニカンショオカラトオホクトオヘキロノオミノオエニイタ	フネハビキニカンショオカラトオホクタカチホキロノオミノオエニイタ	船は、ビキニ環礁から東北東へ157キロの海の上にいた。	船はビキニ環礁から東北高千穂百五十七キロの海の上にいた。
c105-2	読み一致		ヨアケマエノソラガヒカルノヲノリクミインタチハミテエル	ヨアケマエノソラガヒカルノヲノリクミインタチハミテエル	夜明け前の空が光るのを、乗組員たちは見ている。	夜明け前の空が光るのを乗組員たちは見ている。
c105-3	読み一致		ジカンゴフネノオエニシロイハイガフリハジメタ	ジカンゴフネノオエニシロイハイガフリハジメタ	数時間後、船の上に白い灰が降りはじめた。	数時間後、船の上に白い灰が降り始めた。
c106-1	読み一致		ノッテエタノハニン	ノッテエタノハニン	乗っていたのは23人。	乗っていたのは23人。
c106-2	読みが違う	ヤケド→カショオ	ハイヲアビタノリクミインハシュウカンホドデヤケドノヨオナイタミニクルシミハジメタ	ハイヲアビタノリクミインハシュウカンホドデカショオノヨオナイタミニクルシミハジメタ	灰を浴びた乗組員は、1週間ほどで、やけどのような痛みに苦しみはじめた。	灰を浴びた乗組員は一週間ほどで火傷のような痛みに苦しみ始めた。
c107-1	読みが違う	—→クガ／キ→—	ソノトシノツキフネノムセンチョオダッタクボヤマアイキチサンガナクナッテエル	ソノトシノクガツフネノムセンチョオダッタクボヤマアイキチサンガナクナッテエル	その年の9月、船の無線長だった久保山愛吉さんが亡くなっている。	その年の九月、船の無線長だった久保山愛吉さんが亡くなっている。
c107-2	読み一致		サイダッタ	サイダッタ	40歳だった。	四十歳だった。
c108-1	読み一致		ハイガフッタノハフネノオエダケデハナイ	ハイガフッタノハフネノオエダケデハナイ	灰が降ったのは、船の上だけではない。	灰が降ったのは船の上だけではない。
