場面	一致率	送った文	聞こえた文	送信文
pr01-1	0.966	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。	2010年9月11日火曜日、アメリカ東部はよく晴れた朝だった。	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-2	1.000	この日、4機の旅客機が、続けざまに乗っ取られた。	この日、四機の旅客機が続けざまに乗っ取られた。	この日、4機の旅客機が、続けざまに乗っ取られた。
pr02-1	1.000	4機とも、東海岸から西海岸へ飛ぶ長い路線である。	四機とも東海岸から西海岸へ飛ぶ長い路線である。	4機とも、東海岸から西海岸へ飛ぶ長い路線である。
pr02-2	1.000	長い路線ほど燃料を多く積む。そこが狙われている。	長い路線ほど燃料を多く積む。そこが狙われている。	長い路線ほど燃料を多く積む。そこが狙われている。
pr03-1	0.970	この動画が見ていくのは、その4機と、地上でそれを追っていた人たちである。	この動画が見ていくのは、その四基と、地上でそれを追っていた人たちである。	この動画が見ていくのは、その4機と、地上でそれを追っていた人たちである。
pr03-2	1.000	空の道を見張る管制官と、防空の当直だった。	空の道を見張る管制官と防空の当直だった	空の道を見張るかんせいかんと、防空の当直だった。
pr04-1	1.000	軍が1機目の乗っ取りを知らされたのは、ぶつかる9分前だった。	軍が一機目の乗っ取りを知らされたのは、ぶつかる九分前だった。	軍が1機目の乗っ取りを知らされたのは、ぶつかる9分前だった。
pr04-2	0.957	残りの3機については、墜ちるまで知らされていない。	残りの三機については落ちるまで知らされていない。	残りの3機については、おちるまで知らされていない。
pr04-3	0.828	猶予は9分。そのあとは0分だった	猶予は九分、その後は零分だった。	ゆうよは9分。そのあとは0分だった
pr05-1	1.000	なぜそうなったのかは、2001年という年から見ていく。	なぜそうなったのかは二〇〇一年という年から見ていく。	なぜそうなったのかは、2001年という年から見ていく。
pr05-2	1.000	当時は、飛行機に乗るのが今よりずっと気楽だった。	当時は飛行機に乗るのが今よりずっと気楽だった。	当時は、飛行機に乗るのが今よりずっと気楽だった。
pr05-3	0.950	検査で探していたのは、主に爆弾と拳銃である。	検査で探していたのが主に爆弾と拳銃である。	検査で探していたのは、主に爆弾と拳銃である。
pr06-1	0.957	ハイジャックは、犯人の要求をのんで着陸させるもの。	ハイジャックは犯人の要求を飲んで着陸させるもの。	ハイジャックは、犯人の要求をのんで着陸させるもの。
