行	扱い	理由
pr01-1	音は確定（EL_YOMI でかなを送っている）	2001年＝EL_YOMI『にせんいちねん』で送信＝音は確定（前は『2010年』）
pr01-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr02-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr02-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr03-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr03-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
pr04-1	表記のゆれ（音は正しいと実測）	機目＝聞取『期目』＝いっき／にき（同じ読み）
pr04-2	音は確定（EL_YOMI でかなを送っている）	墜ち＝EL_YOMI『おち』で送信＝音は確定（聞取『落ち』）
pr04-3	音は確定（EL_YOMI でかなを送っている）	猶予＝EL_YOMI『ゆうよ』で送信＝音は確定
pr05-1	音は確定（EL_YOMI でかなを送っている）	2001年＝EL_YOMI『にせんいちねん』で送信＝音は確定（前は『2010年』）
pr05-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr06-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr06-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
pr06-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr07-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr08-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr08-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr09-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr09-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
pr10-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr11-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr11-2	表記のゆれ（音は正しいと実測）	いちばん＝聞取『一番』＝いちばん（同じ読み）
