行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
pr01-1	読み一致		ネンツキニチノユウガタジスギスペエンノカナリアショトオ	ネンツキニチノユウガタジスギスペエンノカナリアショトオ	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。	1977年3月27日の夕方5時過ぎ、スペインのカナリア諸島。
pr01-2	読みが違う	オ→シマ	テネリフェトオニアルクウコオノカッソオロハクモノナカニアッタ	テネリフェトシマニアルクウコオノカッソオロハクモノナカニアッタ	テネリフェ島にある空港の滑走路は、雲の中にあった。	テネリフェと島にある空港の滑走路は雲の中にあった。
pr02-1	読み一致		ソノカッソオロニボオイングガキイタ	ソノカッソオロニボオイングガキイタ	その滑走路に、ボーイング747が2機いた。	その滑走路にボーイング747が二機いた。
pr02-2	読み一致		トオジリョカクキデエチバンオオキカッタキタイデアルドチラニモニンガイタ	トオジリョカクキデエチバンオオキカッタキタイデアルドチラニモニンガイタ	当時、旅客機でいちばん大きかった機体である。どちらにも数百人がいた。	当時、旅客機で一番大きかった機体である。どちらにも数百人がいた。
pr03-1	読み一致		カタホオハリリクノタメニカソクシモオカタホオハマダオナジカッソオロノオエニイタ	カタホオハリリクノタメニカソクシモオカタホオハマダオナジカッソオロノオエニイタ	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-2	読み一致		コノヒニンガナクナッタ	コノヒニンガナクナッタ	この日、583人が亡くなった。	この日、583人が亡くなった。
pr04-1	読み一致		コオクウキノジコデエマモモットモオオイカズデアル	コオクウキノジコデエマモモットモオオイカズデアル	航空機の事故で、いまも最も多い数である。	航空機の事故で今も最も多い数である。
pr04-2	読み一致		ナゼキハオナジカッソオロニイタノカ	ナゼキハオナジカッソオロニイタノカ	なぜ、二機は同じ滑走路にいたのか。	なぜ二機は同じ滑走路にいたのか。
pr04-3	読み一致		キトモクルハズノナイクウコオニイタ	キトモクルハズノナイクウコオニイタ	二機とも、来るはずのない空港にいた	二機とも来るはずのない空港にいた。
pr05-1	読み一致		キハオランダコオクウノビンアサジニアムステルダムヲデテエタ	キハオランダコオクウノビンアサジニアムステルダムヲデテエタ	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。	一機はKLMオランダ航空の四千八百五便。朝九時にアムステルダムを出ていた。
pr05-2	読み一致		モオキハパンアメリカンコオクウノビンデアル	モオキハパンアメリカンコオクウノビンデアル	もう一機は、パンアメリカン航空の1736便である。	もう一機はパンアメリカン航空の1736便である。
pr06-1	読み一致		パンナムキハマエノヒニロサンゼルスヲデテニュウヨオクデジョオインヲカエテエタ	パンナムキハマエノヒニロサンゼルスヲデテニュウヨオクデジョオインヲカエテエタ	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を変えていた。
pr06-2	読み一致		ベツノクニカラトンデキタフタツノビンノユキサキハオナジダッタ	ベツノクニカラトンデキタフタツノビンノユキサキハオナジダッタ	別の国から飛んできた二つの便の、行き先は同じだった。	別の国から飛んできた二つの便の行き先は同じだった。
pr07-1	読み一致		ユキサキハグランカナリアトオノラスパルマスクウコオデアル	ユキサキハグランカナリアトオノラスパルマスクウコオデアル	行き先は、グランカナリア島のラスパルマス空港である。	行き先はグランカナリア島のラスパルマス空港である。
pr07-2	読みが違う	アイダ→マ	キガソラヲトンデエルアイダニソノクウコオノタテモノデバクダンガバクハツシタ	キガソラヲトンデエルマニソノクウコオノタテモノデバクダンガバクハツシタ	二機が空を飛んでいるあいだに、その空港の建物で爆弾が爆発した。	二機が空を飛んでいる間に、その空港の建物で爆弾が爆発した。
pr08-1	読み一致		クウコオハシメラレエキバヲウシナッタビンハトナリノテネリフェトオヘマワサレタ	クウコオハシメラレエキバヲウシナッタビンハトナリノテネリフェトオヘマワサレタ	空港は閉められ、行き場を失った便は隣のテネリフェ島へ回された。	空港は閉められ、行き場を失った便は隣のテネリフェ島へ回された。
pr08-2	読み一致		カッソオロガホンシカナイチイサナクウコオデアル	カッソオロガホンシカナイチイサナクウコオデアル	滑走路が1本しかない、小さな空港である。	滑走路が一本しかない小さな空港である。
pr09-1	読み一致		ソノホンノオエデキハムキアウコトニナル	ソノホンノオエデキハムキアウコトニナル	その1本の上で、二機は向き合うことになる。	その一本の上で二機は向き合うことになる。
pr09-2	読み一致		ジフンビョオキハブツカッタ	ジフンビョオキハブツカッタ	17時06分50秒、二機はぶつかった。	十七時六分五十秒、二機はぶつかった。
pr09-3	読み一致		イキテキタイカラデラレタノハニンダケデアル	イキテキタイカラデラレタノハニンダケデアル	生きて機体から出られたのは、61人だけである。	生きて機体から出られたのは六十一人だけである。
pr10-1	読み一致		コノドオガガツカウキロクハフタツダケデアル	コノドオガガツカウキロクハフタツダケデアル	この動画が使う記録は、二つだけである。	この動画が使う記録は二つだけである。
pr10-2	読み一致		スペエンガダシタジコホオコクショトソオジュウシツノロクオンノカキオコシ	スペエンガダシタジコホオコクショトソオジュウシツノロクオンノカキオコシ	スペインが出した事故報告書と、操縦室の録音の書き起こし。	スペインが出した事故報告書と操縦室の録音の書き起こし
pr10-3	読み一致		ジコクハホオコクショトオナジセカイキョオツウノトケエデエウ	ジコクハホオコクショトオナジセカイキョオツウノトケエデエウ	時刻は、報告書と同じ世界共通の時計で言う。	時刻は報告書と同じ世界共通の時計でいう
pr11-1	読み一致		オイカケルトイハフタツアルヒトツハナゼキガソコニアツマッタノカ	オイカケルトイハフタツアルヒトツハナゼキガソコニアツマッタノカ	追いかける問いは、二つある。一つは、なぜ二機がそこに集まったのか。	追いかける問いは二つある。一つは、なぜ二機がそこに集まったのか。
pr11-2	読み一致		ソシテナゼマダカッソオロニイルトイウコエガトドカナカッタノカ	ソシテナゼマダカッソオロニイルトイウコエガトドカナカッタノカ	そして、なぜ「まだ滑走路にいる」という声が届かなかったのか。	そしてなぜまだ滑走路にいるという声が届かなかったのか。
c101-1	読みが違う	ボオイング→—	ボオイングハジャンボキトヨバレネンカラトビハジメタ	ハジャンボキトヨバレネンカラトビハジメタ	ボーイング747は、ジャンボ機と呼ばれ、1970年から飛び始めた。	Boeing747はジャンボ機と呼ばれ、1970年から飛び始めた。
c101-2	読み一致		コノヒブツカッタキハドチラモコノカタデアル	コノヒブツカッタキハドチラモコノカタデアル	この日ぶつかった二機は、どちらもこの型である。	この日ぶつかった二機はどちらもこの型である。
c102-1	読み一致		ノキタイハトオロクキゴオガトイウネンセエノ	ノキタイハトオロクキゴオガトイウネンセエノ	KLMの機体は、登録記号がPH-BUFという1971年製の747。	KLMの機体は登録記号がPHBUFという1971年製の747。
c102-2	読み一致		コノヒマデニジカントビカイチャクリクシテエタ	コノヒマデニジカントビカイチャクリクシテエタ	この日までに21,195時間飛び、5,202回着陸していた。	この日までに二万一千百九十五時間飛び、五千二百二回着陸していた。
c103-1	読み一致		パンナムノキタイハネンツキニツクラレタモノデアル	パンナムノキタイハネンツキニツクラレタモノデアル	パンナムの機体はN736PA、1970年1月に作られたものである。	パンナムの機体はN736PA。 1970年1月に作られたものである。
c103-2	読み一致		トンダジカンハジカンデキヨリナガクハタライテエタ	トンダジカンハジカンデキヨリナガクハタライテエタ	飛んだ時間は25,725時間で、KLM機より長く働いていた。	飛んだ時間は二万五千七百二十五時間で、KLM機より長く働いていた。
c104-1	読み一致		ノビンハテエキビンデハナイ	ノビンハテエキビンデハナイ	KLMの4805便は、定期便ではない。	KLMの四千八百五便は定期便ではない。
c104-2	読み一致		オランダノリョコオカイシャガカリキッタビンデアル	オランダノリョコオカイシャガカリキッタビンデアル	オランダの旅行会社が借り切った便である。	オランダの旅行会社が借り切った便である。
c104-3	読み一致		アムステルダムトラスパルマスヲオオフクスルヨテエダッタ	アムステルダムトラスパルマスヲオオフクスルヨテエダッタ	アムステルダムとラスパルマスを往復する予定だった。	アムステルダムとラスパルマスを往復する予定だった
c105-1	読み一致		シュッパツハアムステルダムノスキポオルクウコオニチノアサジチョオド	シュッパツハアムステルダムノスキポオルクウコオニチノアサジチョオド	出発はアムステルダムのスキポール空港、27日の朝9時ちょうど。	出発はアムステルダムのスキポール空港。二十七日の朝九時ちょうど。
c105-2	読み一致		ジコノトキニノッテエタノハジョオインニントジョオキャクニンデアル	ジコノトキニノッテエタノハジョオインニントジョオキャクニンデアル	事故のときに乗っていたのは、乗員14人と乗客234人である。	事故の時に乗っていたのは乗員十四人と乗客二百三十四人である。
c106-1	読み一致		ノキチョオハフェルトハイゼンファンザンテントンダジカンハジカン	ノキチョオハフェルトハイゼンファンザンテントンダジカンハジカン	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は一万一千七百時間。
c106-2	読み一致		ソノオチデノジカンハジカンダッタ	ソノオチデノジカンハジカンダッタ	そのうち747での時間は、1,545時間だった。	そのうち七四七での時間は千五百四十五時間だった。
c107-1	読み一致		コノキチョオハノヒコオクンレンデエチバンジョオノタチバニイタヒトデアル	コノキチョオハノヒコオクンレンデエチバンジョオノタチバニイタヒトデアル	この機長は、KLMの飛行訓練でいちばん上の立場にいた人である。	この機長はKLMの飛行訓練で一番上の立場にいた人である。
c107-2	読み一致		キョオカンノシゴトヲネンイジョオツヅケテエタ	キョオカンノシゴトヲネンイジョオツヅケテエタ	教官の仕事を、10年以上続けていた。	教官の仕事を十年以上続けていた。
c108-1	読み一致		フクソオジュウシハミュウルストンダジカンハジカンデアル	フクソオジュウシハミュウルストンダジカンハジカンデアル	副操縦士はミュールス。飛んだ時間は9,200時間である。	副操縦士はミュールス。飛んだ時間は九千二百時間である。
c108-2	読み一致		ソノオチデノジカンハジカンシカナカッタ	ソノオチデノジカンハジカンシカナカッタ	そのうち747での時間は、95時間しかなかった。	そのうち七四七での時間は九五時間しかなかった。
c109-1	読み一致		ノシカクヲトッタノハジコノカゲツアマリマエノツキニチ	ノシカクヲトッタノハジコノカゲツアマリマエノツキニチ	747の資格を取ったのは、事故の2か月あまり前の1月19日。	七四七の資格を取ったのは事故の二ヶ月余り前の1月19日。
c109-2	読み一致		オナジソオジュウシツニジカンノヒトトジカンノヒトガナランデエタ	オナジソオジュウシツニジカンノヒトトジカンノヒトガナランデエタ	同じ操縦室に、1,545時間の人と95時間の人が並んでいた。	同じ操縦室に1545時間の人と95時間の人が並んでいた。
c110-1	読み一致		ソノシカクノシケンヲシタノハダレダッタノカ	ソノシカクノシケンヲシタノハダレダッタノカ	その資格の試験をしたのは、誰だったのか。	その資格の試験をしたのは誰だったのか。
c110-2	読み一致		ソノシカクヲダシタノハコノキチョオダッタ	ソノシカクヲダシタノハコノキチョオダッタ	その資格を出したのは、この機長だった	その資格を出したのはこの機長だった。
c111-1	読み一致		ニンメハコオクウキカンシノスフルウダアデノジカンハジカン	ニンメハコオクウキカンシノスフルウダアデノジカンハジカン	三人目は、航空機関士のスフルーダー。747での時間は543時間。	三人目は航空機関士のスフルーダー。七四七での時間は五百四十三時間。
c111-2	読み一致		コオクウキカンシハエンジンヤネンリョオノソオチヲミハルヤクデアル	コオクウキカンシハエンジンヤネンリョオノソオチヲミハルヤクデアル	航空機関士は、エンジンや燃料の装置を見張る役である。	航空機関士はエンジンや燃料の装置を見張る役である。
c111-3	読み一致		トオジノノソオジュウシツハコノニンデマワシテエタ	トオジノノソオジュウシツハコノニンデマワシテエタ	当時の747の操縦室は、この三人で回していた。	当時の七四七の操縦室はこの三人で回していた。
c112-1	読み一致		モオイッポオノビンヲミルパンナムキガロサンゼルスヲデタノハニチ	モオイッポオノビンヲミルパンナムキガロサンゼルスヲデタノハニチ	もう一方の便を見る。パンナム機がロサンゼルスを出たのは、26日。	もう一方の便を見る。パンナム機がロサンゼルスを出たのは26日。
c112-2	読みが違う	—→エチ	ジコクハセカイキョオツウノトケエデジフントカカレテエル	ジコクハセカイキョオツウノトケエデエチジフントカカレテエル	時刻は、世界共通の時計で1時29分と書かれている。	時刻は世界共通の時計で一時二十九分と書かれている。
c113-1	読み一致		ニュウヨオクノケネディクウコオニジフンニツキジョオインガカワッタ	ニュウヨオクノケネディクウコオニジフンニツキジョオインガカワッタ	ニューヨークのケネディ空港に6時17分に着き、乗員が代わった。	ニューヨークのケネディ空港に六時十七分に着き、乗員が変わった。
c113-2	読みが違う	ル→レ	ネンリョオヲイレジフンニラスパルマスヘムケテリリクシテエル	ネンリョオヲイレジフンニラスパレマスヘムケテリリクシテエル	燃料を入れ、7時42分にラスパルマスへ向けて離陸している。	燃料を入れ、七時四二分にラスパレマスへ向けて離陸している。
c114-1	読み一致		パンナムノキチョオハグラブストンダジカンハジカンデアル	パンナムノキチョオハグラブストンダジカンハジカンデアル	パンナムの機長はグラブス。飛んだ時間は21,043時間である。	パンナムの機長はグラブス。飛んだ時間は二万一千四十三時間である。
c114-2	読み一致		ニハジカンノッテエタ	ニハジカンノッテエタ	747には564時間、乗っていた。	七四七には五百六十四時間乗っていた。
c115-1	読みが違う	グ→ク	フクソオジュウシハブラッグジカンノオチガジカン	フクソオジュウシハブラックジカンノオチガジカン	副操縦士はブラッグ。10,800時間のうち、747が2,796時間。	副操縦士はブラック。 一万八百時間のうち七四七が二千七百九十六時間。
c115-2	読み一致		コオクウキカンシノワアンズハデジカンヲトンデエル	コオクウキカンシノワアンズハデジカンヲトンデエル	航空機関士のワーンズは、747で559時間を飛んでいる。	航空機関士のワーンズは七四七で五百五十九時間を飛んでいる。
c116-1	読み一致		コノニンハチョクゼンノジカンデジカンフンヲトンデエタ	コノニンハチョクゼンノジカンデジカンフンヲトンデエタ	この三人は、直前の24時間で6時間33分を飛んでいた。	この3人は直前の24時間で6時間33分を飛んでいた。
c116-2	読み一致		ニュウヨオクカラテネリフェマデノホンブンデアル	ニュウヨオクカラテネリフェマデノホンブンデアル	ニューヨークからテネリフェまでの、一本ぶんである。	ニューヨークからテネリフェまでの一本分である。
c117-1	読み一致		パンナムキニノッテエタノハジョオインニントジョオキャクニン	パンナムキニノッテエタノハジョオインニントジョオキャクニン	パンナム機に乗っていたのは、乗員16人と乗客378人。	パンナム機に乗っていたのは、乗員十六人と乗客三百七十八人。
c117-2	読み一致		キヨリモヒトガオオイ	キヨリモヒトガオオイ	KLM機よりも、人が多い。	KLM機よりも人が多い。
c117-3	読み一致		ニュウヨオクヲデタジテンデニンガノッテエタコトニナル	ニュウヨオクヲデタジテンデニンガノッテエタコトニナル	ニューヨークを出た時点で、394人が乗っていたことになる。	ニューヨークを出た時点で三百九十四人が乗っていたことになる。
c118-1	読みが違う	アト→ノチ	コノアトテネリフェデコオクウカイシャノジュウギョオインニンガノリコム	コノノチテネリフェデコオクウカイシャノジュウギョオインニンガノリコム	このあとテネリフェで、航空会社の従業員2人が乗り込む。	この後、テネリフェで航空会社の従業員二人が乗り込む。
c118-2	読み一致		ホジョセキニスワッタニンデアル	ホジョセキニスワッタニンデアル	補助席に座った2人である。	補助席に座った二人である。
c118-3	読み一致		キヲアワセルトノッテエタヒトハニンニナッタ	キヲアワセルトノッテエタヒトハニンニナッタ	二機を合わせると、乗っていた人は644人になった。	二基を合わせると乗っていた人は六百四十四人になった。
c119-1	読み一致		ハオオキイブンチジョオデオクバショモヒロクイル	ハオオキイブンチジョオデオクバショモヒロクイル	747は大きいぶん、地上で置く場所も広く要る。	七四七は大きい分、地上で置く場所も広くいる。
c119-2	読み一致		コノヒソレガキイテクル	コノヒソレガキイテクル	この日、それが効いてくる。	この日、それが効いてくる。
c120-1	読み一致		ハアムステルダムカラミナミヘパンナムハニュウヨオクカラヒガシヘ	ハアムステルダムカラミナミヘパンナムハニュウヨオクカラヒガシヘ	KLMはアムステルダムから南へ、パンナムはニューヨークから東へ。	KLMはアムステルダムから南へ、パンナムはニューヨークから東へ
c120-2	読み一致		ベツベツニトンデキタフタツノビンノユキサキハオナジクウコオダッタ	ベツベツニトンデキタフタツノビンノユキサキハオナジクウコオダッタ	別々に飛んできた二つの便の行き先は、同じ空港だった。	別々に飛んできた二つの便の行き先は同じ空港だった。
c201-1	読み一致		ユキサキノラスパルマスクウコオハトナリノグランカナリアトオニアル	ユキサキノラスパルマスクウコオハトナリノグランカナリアトオニアル	行き先のラスパルマス空港は、隣のグランカナリア島にある。	行き先のラスパルマス空港は隣のグランカナリア島にある。
c201-2	読み一致		テネリフェカラハヒコオキデオヨソブンノキョリデアル	テネリフェカラハヒコオキデオヨソブンノキョリデアル	テネリフェからは、飛行機でおよそ25分の距離である。	テネリフェからは飛行機でおよそ二五分の距離である。
c202-1	読みが違う	—→サンガ／キ→—	ツキニチソノクウコオノリョカクタアミナルデバクダンガバクハツシタ	サンガツニチソノクウコオノリョカクタアミナルデバクダンガバクハツシタ	3月27日、その空港の旅客ターミナルで爆弾が爆発した。	三月二十七日、その空港の旅客ターミナルで爆弾が爆発した。
c202-2	読み一致		タテモノノナカニイタヒトタチハソトヘダサレルコトニナッタ	タテモノノナカニイタヒトタチハソトヘダサレルコトニナッタ	建物の中にいた人たちは、外へ出されることになった。	建物の中にいた人たちは外へ出されることになった。
c203-1	読み一致		ホオコクショハダレガシカケタノカヲカイテエナイ	ホオコクショハダレガシカケタノカヲカイテエナイ	報告書は、誰が仕掛けたのかを書いていない。	報告書は誰が仕掛けたのかを書いていない。
c203-2	読みが違う	アト→ゴ	カイテアルノハバクハツガアッタコトトソノアトニオキタコトダケデアル	カイテアルノハバクハツガアッタコトトソノゴニオキタコトダケデアル	書いてあるのは、爆発があったことと、そのあとに起きたことだけである。	書いてあるのは爆発があったことと、その後に起きたことだけである。
c204-1	読み一致		ジッサイニバクハツシタノハヒトツダケダッタ	ジッサイニバクハツシタノハヒトツダケダッタ	実際に爆発したのは、一つだけだった。	実際に爆発したのは一つだけだった。
c204-2	読み一致		ケレドモソレデオワリニハナラナイクウコオニベツノシラセガトドク	ケレドモソレデオワリニハナラナイクウコオニベツノシラセガトドク	けれども、それで終わりにはならない。空港に、別の知らせが届く。	けれども、それで終わりにはならない。空港に別の知らせが届く。
c205-1	読み一致		フタツメガアルカモシレナイトイウシラセデアル	フタツメガアルカモシレナイトイウシラセデアル	二つ目があるかもしれない、という知らせである。	二つ目があるかもしれないという知らせである。
c205-2	読み一致		フタツメノバクダンノヨコクガアッタ	フタツメノバクダンノヨコクガアッタ	二つ目の爆弾の予告があった	二つ目の爆弾の予告があった。
c206-1	読み一致		クウコオハシメラレタソラヲトンデエタビンガイキバヲウシナウ	クウコオハシメラレタソラヲトンデエタビンガイキバヲウシナウ	空港は、閉められた。空を飛んでいた便が、行き場を失う。	空港は閉められた。空を飛んでいた便が行き場を失う。
c206-2	読みが違う	ユ→イ	ラスパルマスヘムカッテエタビンノオオクガユキサキヲカエラレテエル	ラスパルマスヘムカッテエタビンノオオクガイキサキヲカエラレテエル	ラスパルマスへ向かっていた便の多くが、行き先を変えられている。	ラスパルマスへ向かっていた便の多くが行き先を変えられている。
c206-3	読み一致		ダイブブンガテネリフェヘマワサレタトホオコクショハカイテエル	ダイブブンガテネリフェヘマワサレタトホオコクショハカイテエル	大部分がテネリフェへ回された、と報告書は書いている。	大部分がテネリフェへ回されたと報告書は書いている。
c207-1	読み一致		マワサレタサキガテネリフェトオノロスロデオスクウコオデアル	マワサレタサキガテネリフェトオノロスロデオスクウコオデアル	回された先が、テネリフェ島のロス・ロデオス空港である。	回された先がテネリフェ島のロスロデオス空港である。
c207-2	読みが違う	アト→ゴ	キハジフンニパンナムキハソノフンアトノジフンニツイタ	キハジフンニパンナムキハソノフンゴノジフンニツイタ	KLM機は13時38分に、パンナム機はその37分あとの14時15分に着いた。	KLN機は十三時三十八分に、パンナム機はその三十七分後の十四時十五分に着いた。
c208-1	読み一致		パンナムノジョオインハジョオクウデマテナイカトタズネテエタ	パンナムノジョオインハジョオクウデマテナイカトタズネテエタ	パンナムの乗員は、上空で待てないかとたずねていた。	パンナムの乗員は上空で待てないかと尋ねていた。
c208-2	読み一致		ソノヤリトリハロクオンニノコッテエルガケッキョクコノクウコオヘオロサレテエル	ソノヤリトリハロクオンニノコッテエルガケッキョクコノクウコオヘオロサレテエル	そのやりとりは録音に残っているが、結局、この空港へ降ろされている。	そのやり取りは録音に残っているが、結局この空港へ降ろされている。
c209-1	読み一致		ノジョオキャクハサイショハキナイカラダサレナカッタ	ノジョオキャクハサイショハキナイカラダサレナカッタ	KLMの乗客は、最初は機内から出されなかった。	KLMの乗客は最初は機内から出されなかった。
c209-2	読み一致		フンホドシテカラゼンインガバスデタアミナルヘハコバレテエル	フンホドシテカラゼンインガバスデタアミナルヘハコバレテエル	20分ほどしてから、全員がバスでターミナルへ運ばれている。	20分ほどしてから全員がバスでターミナルへ運ばれている。
c210-1	読み一致		バスヲオリルトキジョオキャクハニンズツカアドヲワタサレタ	バスヲオリルトキジョオキャクハニンズツカアドヲワタサレタ	バスを降りるとき、乗客は一人ずつカードを渡された。	バスを降りるとき、乗客は一人ずつカードを渡された。
c210-2	読み一致		ビンノノリツギノキャクデアルコトヲシメスカアドデアル	ビンノノリツギノキャクデアルコトヲシメスカアドデアル	4805便の乗り継ぎの客であることを示すカードである。	四千八百五便の乗り継ぎの客であることを示すカードである。
c211-1	読み一致		パンナムノジョオキャクハニンモオリナカッタ	パンナムノジョオキャクハニンモオリナカッタ	パンナムの乗客は、一人も降りなかった。	パンナムの乗客は一人も降りなかった。
c211-2	読み一致		バスモカアドモコノキタイニハコナカッタ	バスモカアドモコノキタイニハコナカッタ	バスも、カードも、この機体には来なかった。	バスもカードもこの機体には来なかった。
