行	テイク数	判定	各テイクの聞取	本文
pr07-2	1	採用（文字起こしが台本と合う）	take1: 輪切りの筒をつないだ継ぎ目を塞いでいたのは二本のゴムの輪である。	輪切りの筒をつないだ継ぎ目をふさいでいたのは、2本のゴムの輪である。
c103-2	1	採用（文字起こしが台本と合う）	take1: 寒い日はこの水を全部抜くのが普段のやり方だった。	寒い日は、この水を全部抜くのがふだんのやり方だった。
c109-1	1	採用（文字起こしが台本と合う）	take1: 地上の通信箱の一つは氷に覆われて使えなくなった。	地上の通信箱のひとつは、氷におおわれて使えなくなった。
c114-3	1	採用（文字起こしが台本と合う）	take1: 三つ、大きな補助ロケットが空気を吸い込み、氷を巻き込む。	三つ、大きな補助ロケットが空気を吸いこみ、氷を巻きこむ。
c116-2	1	採用（文字起こしが台本と合う）	take1: その副社長は委員会でこう証言している。	その副社長は、委員会でこう証言している。
c206-1	3	採用（文字起こしが台本と合う）	take1: ドナルドマクネイアは物理学の博士。 || take2: ドナルド・マクネイアは物理学の博士。 || take3: ロナルド・マクネイアは物理学の博士。	ロナルド・マクネイアは、物理学の博士。
c208-1	1	採用（文字起こしが台本と合う）	take1: 七人目がクリスタ・マコーリフである。	7人目が、クリスタ・マコーリフである。
c210-1	1	採用（文字起こしが台本と合う）	take1: マコーリフにはこの飛行での仕事があった。	マコーリフには、この飛行での仕事があった。
c304-1	1	採用（文字起こしが台本と合う）	take1: 主エンジンの力で機体は前へぐいとしなる。	主エンジンの力で、機体は前へぐいとしなる。
c304-2	1	採用（文字起こしが台本と合う）	take1: その後まっすぐに戻ろうとしては寝返る。	そのあと、まっすぐに戻ろうとしてはね返る。
c304-3	1	採用（文字起こしが台本と合う）	take1: 現場ではこの動きを弾くという言葉で呼んでいた。	現場では、この動きを「はじく」という言葉で呼んでいた。
c305-2	1	採用（文字起こしが台本と合う）	take1: この時、継ぎ目にかかる力は飛行中のどの瞬間よりも大きい。	このとき継ぎ目にかかる力は、飛行中のどの瞬間よりも大きい。
c306-1	1	採用（文字起こしが台本と合う）	take1: 機体が浮き上がったその直後のことである。	機体が浮き上がった、その直後のことである。
c306-2	1	採用（文字起こしが台本と合う）	take1: 右の補助ロケットの下の継ぎ目の辺りから灰色の煙が出た。	右の補助ロケットの、下の継ぎ目のあたりから灰色の煙が出た。
c408-3	1	採用（文字起こしが台本と合う）	take1: 本体は空気の力でバラバラになった。	本体は、空気の力でばらばらになった
c501-2	1	採用（文字起こしが台本と合う）	take1: 輪切りの筒を運び、現地で積み上げて作る。	輪切りの筒を運び、現地で積み上げて作る。
c504-1	1	採用（文字起こしが台本と合う）	take1: 継ぎ目では上の筒の下の端が出っ張りになる。	継ぎ目では、上の筒の下のはしが出っぱりになる。
c514-3	1	採用（文字起こしが台本と合う）	take1: 塞ぐのはそれより前でなければならない。	ふさぐのは、それより前でなければならない。
c515-3	1	採用（文字起こしが台本と合う）	take1: 冷えたゴムは硬くなり、戻りも遅い。	冷えたゴムは、かたくなり戻りも遅い。
