行	型	該当	本文
c101-1	文頭の数字	1	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	同形異音語（一般）	日	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	数詞＋助数詞	1954年	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	数詞＋助数詞	3月	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	数詞＋助数詞	1日	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	数詞＋助数詞	6時	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	数詞＋助数詞	45分	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	EL_YOMI 既存	1954年→せんきゅうひゃくごじゅうよねん×1	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	EL_YOMI 既存	6時45分→ろくじよんじゅうごふん×1	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-1	EL_YOMI 既存	3月1日→さんがつついたち×1	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。
c101-2	§6の語（テネリフェ）	行った	アメリカが、水素爆弾の実験を行った。
c102-1	数詞＋助数詞	1000倍	爆発は、広島の原爆のおよそ1000倍。TNT火薬に直して1500万トンぶん。
c102-1	英字・記号	TNT	爆発は、広島の原爆のおよそ1000倍。TNT火薬に直して1500万トンぶん。
c102-1	EL_YOMI 既存	1500万トン→せんごひゃくまんトン×1	爆発は、広島の原爆のおよそ1000倍。TNT火薬に直して1500万トンぶん。
c102-1	EL_YOMI 既存	1000倍→せんばい×1	爆発は、広島の原爆のおよそ1000倍。TNT火薬に直して1500万トンぶん。
c102-2	小数	2.5	いちばんありそうとされた600万トンと比べると、2.5倍になる。
c102-2	数詞＋助数詞	5倍	いちばんありそうとされた600万トンと比べると、2.5倍になる。
c102-2	EL_YOMI 既存	600万トン→ろっぴゃくまんトン×1	いちばんありそうとされた600万トンと比べると、2.5倍になる。
c102-2	EL_YOMI 既存	2.5倍→にてんごばい×1	いちばんありそうとされた600万トンと比べると、2.5倍になる。
c103-1	§6の語（9.11）	国防総省	アメリカ国防総省の報告書も、はっきりこう書いている。
c103-1	§6の語（コロンビア号）	国防総省	アメリカ国防総省の報告書も、はっきりこう書いている。
c103-1	§6の語（コロンビア号）	報告書	アメリカ国防総省の報告書も、はっきりこう書いている。
c104-1	同形異音語（一般）	上	爆発でまき上げられた、放射能を帯びた灰は、風に乗って東へ流れた。
c104-2	鉤括弧	「	その先の海にいたのが、日本のマグロ漁船「第五福竜丸」である。
c104-2	鉤括弧	」	その先の海にいたのが、日本のマグロ漁船「第五福竜丸」である。
c105-1	同形異音語（一般）	上	船は、ビキニ環礁から東北東へ157キロの海の上にいた。
c105-1	EL_YOMI 既存	船は、ビキニ環礁から東北東へ→船は、ビキニ環礁からとうほくとうへ×1	船は、ビキニ環礁から東北東へ157キロの海の上にいた。
c105-1	EL_YOMI 既存	157キロ→ひゃくごじゅうななキロ×1	船は、ビキニ環礁から東北東へ157キロの海の上にいた。
c105-3	同形異音語（一般）	上	数時間後、船の上に白い灰が降りはじめた。
c106-1	同形異音語（一般）	人	乗っていたのは23人。
c106-1	数詞＋助数詞	23人	乗っていたのは23人。
c106-1	EL_YOMI 既存	乗っていたのは23人→乗っていたのは にじゅうさんにん×1	乗っていたのは23人。
c106-2	同形異音語（実績）	間	灰を浴びた乗組員は、1週間ほどで、やけどのような痛みに苦しみはじめた。
c106-2	数詞＋助数詞	1週間	灰を浴びた乗組員は、1週間ほどで、やけどのような痛みに苦しみはじめた。
c106-2	EL_YOMI 既存	1週間→いっしゅうかん×1	灰を浴びた乗組員は、1週間ほどで、やけどのような痛みに苦しみはじめた。
