scene	decision	chosen	takes	flags	text
pr05-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 140ms の音（3.17秒地点・振幅9753＝本文の0.9倍） || take2: 末尾に余計な音: 80ms の無音 → 170ms の音（3.03秒地点・振幅9500＝本文の1.0倍） || take3: clean	当時は、飛行機に乗るのが今よりずっと気楽だった。
pr10-1	clean	2	2	take1: 途中に浮いた音: 230ms（2.85秒地点・振幅19984＝本文の2.1倍／前120ms・後80ms の無音） || take2: clean	その朝、アメリカは自分の国の空を、いったん全部閉じた。
c108-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 250ms の音（4.26秒地点・振幅12939＝本文の1.2倍） || take2: clean	11便と175便の機種は、ボーイング767だった。
c117-1	clean	2	2	take1: 途中に浮いた音: 210ms（0.80秒地点・振幅10316＝本文の1.1倍／前80ms・後120ms の無音） || take2: clean	8時20分。アメリカン77便が、ダレス空港を離陸した。
c120-2	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（1.62秒地点・振幅11366＝本文の1.7倍） || take2: 末尾に余計な音: 80ms の無音 → 100ms の音（1.82秒地点・振幅6908＝本文の0.9倍） || take3: 末尾に余計な音: 110ms の無音 → 190ms の音（1.57秒地点・振幅5826＝本文の0.9倍）	4機はすべて空に上がった。
c208-2	clean	2	2	take1: 途中に浮いた音: 220ms（2.46秒地点・振幅18632＝本文の2.2倍／前120ms・後90ms の無音） || take2: clean	「私はこの便で、いまこの高さです」と自動で返す。
c308-3	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 80ms の音（1.57秒地点・振幅7938＝本文の1.2倍） || take2: 末尾に余計な音: 100ms の無音 → 90ms の音（1.67秒地点・振幅5393＝本文の1.1倍）; 先頭に余計な音: 120ms の音（振幅18909＝本文の3.7倍）のあと 90ms の無音 || take3: clean	1機だけの話ではなかった
c421-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 250ms の音（2.39秒地点・振幅12197＝本文の1.1倍） || take2: clean	この便に乗っていた64人が亡くなった。
c512-2	clean	3	3	take1: 末尾に余計な音: 120ms の無音 → 190ms の音（2.92秒地点・振幅12004＝本文の1.3倍）; 途中に浮いた音: 170ms（2.63秒地点・振幅11639＝本文の1.3倍／前90ms・後120ms の無音） || take2: 末尾に余計な音: 100ms の無音 → 190ms の音（2.93秒地点・振幅6874＝本文の0.9倍）; 途中に浮いた音: 170ms（2.66秒地点・振幅9251＝本文の1.3倍／前80ms・後100ms の無音） || take3: clean	減り方は、地図の東から西へ移っていった。
c519-2	real	1	3	take1: 途中に浮いた音: 190ms（2.66秒地点・振幅11968＝本文の1.3倍／前100ms・後250ms の無音） || take2: 途中に浮いた音: 210ms（2.56秒地点・振幅12580＝本文の1.1倍／前130ms・後190ms の無音） || take3: 途中に浮いた音: 190ms（2.51秒地点・振幅13326＝本文の1.4倍／前90ms・後110ms の無音）	手引きに無いことを、その場で決めてやりきった、と書いている。
c520-3	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 100ms の音（2.14秒地点・振幅11960＝本文の1.1倍） || take2: clean	その日のうちに、空はからになった
c605-1	real	1	3	take1: 途中に浮いた音: 210ms（0.98秒地点・振幅9206＝本文の1.3倍／前80ms・後140ms の無音） || take2: 途中に浮いた音: 210ms（0.95秒地点・振幅13927＝本文の1.5倍／前110ms・後140ms の無音） || take3: 途中に浮いた音: 210ms（0.90秒地点・振幅12499＝本文の1.4倍／前90ms・後280ms の無音）	9時28分。管制の無線に、争っている音が流れた。
c618-3	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 130ms の音（2.89秒地点・振幅7545＝本文の1.2倍） || take2: clean	9時57分。機内の反撃が始まった
c702-1	clean	2	2	take1: 途中に浮いた音: 230ms（1.02秒地点・振幅15805＝本文の1.4倍／前90ms・後150ms の無音） || take2: clean	8時46分。マサチューセッツ州のオーティス基地から、
c707-2	clean	3	3	take1: 途中に浮いた音: 220ms（1.14秒地点・振幅9155＝本文の1.6倍／前80ms・後290ms の無音） || take2: 途中に浮いた音: 230ms（1.10秒地点・振幅6881＝本文の1.1倍／前80ms・後90ms の無音） || take3: clean	機内で待機に入った。まだ発進ではない。
c709-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 120ms の音（3.55秒地点・振幅9973＝本文の1.1倍）; 途中に浮いた音: 230ms（0.98秒地点・振幅12904＝本文の1.4倍／前90ms・後100ms の無音） || take2: clean	9時21分。防空司令部に、こんな連絡が入った。
c712-1	clean	3	3	take1: 途中に浮いた音: 150ms（2.39秒地点・振幅20953＝本文の2.2倍／前90ms・後80ms の無音） || take2: 途中に浮いた音: 140ms（2.48秒地点・振幅21747＝本文の2.3倍／前90ms・後80ms の無音） || take3: clean	9時30分に離陸したF-16は、いったん東の海上へ飛んだ。
c714-3	clean	2	2	take1: 先頭に余計な音: 160ms の音（振幅31205＝本文の2.8倍）のあと 110ms の無音 || take2: clean	「撃ってはならない」
c718-1	real	1	3	take1: 途中に浮いた音: 140ms（3.36秒地点・振幅14196＝本文の1.6倍／前100ms・後90ms の無音） || take2: 途中に浮いた音: 150ms（3.02秒地点・振幅17680＝本文の1.7倍／前100ms・後80ms の無音） || take3: 途中に浮いた音: 140ms（3.40秒地点・振幅21947＝本文の2.2倍／前110ms・後90ms の無音）	4機のうち、乗っ取りを事前に軍へ知らされたのは1機だけ。
c901-1	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 210ms の音（4.27秒地点・振幅9860＝本文の1.2倍） || take2: 末尾に余計な音: 100ms の無音 → 140ms の音（3.94秒地点・振幅13353＝本文の1.5倍） || take3: clean	2001年11月、アメリカの議会が法律をひとつ作った。
ep02-1	clean	2	2	take1: 途中に浮いた音: 190ms（1.91秒地点・振幅7490＝本文の1.0倍／前80ms・後80ms の無音） || take2: clean	アメリカン11便。ユナイテッド175便。
ep04-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 90ms の音（3.99秒地点・振幅9459＝本文の1.0倍） || take2: clean	その1時間あまりで、空の決まりは作り替えられることになった。
c224-2	clean	2	2	take1: 途中に浮いた音: 120ms（2.16秒地点・振幅19612＝本文の2.5倍／前110ms・後80ms の無音） || take2: clean	8時46分40秒。1機目がきたとうにぶつかった
c605-1	clean	3	3	take1: 途中に浮いた音: 220ms（0.99秒地点・振幅8069＝本文の1.0倍／前80ms・後120ms の無音） || take2: 途中に浮いた音: 190ms（0.95秒地点・振幅11796＝本文の1.3倍／前90ms・後300ms の無音） || take3: clean	9時28分。かんせいの無線に、争っている音が流れた。
c702-3	clean	2	2	take1: 途中に浮いた音: 170ms（1.87秒地点・振幅7897＝本文の1.1倍／前90ms・後450ms の無音） || take2: clean	11便がきたとうにぶつかった、ちょうどその時刻である。
c709-1	clean	2	2	take1: 途中に浮いた音: 210ms（0.91秒地点・振幅12479＝本文の1.1倍／前100ms・後90ms の無音） || take2: clean	9時21分。ぼうくう司令部に、こんな連絡が入った。
c714-1	clean	2	2	take1: 途中に浮いた音: 200ms（0.74秒地点・振幅10784＝本文の1.2倍／前80ms・後120ms の無音） || take2: clean	10時10分。しゅとの上を飛ぶF-16に、はっきりした指示が届いた。
c716-1	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 160ms の音（3.52秒地点・振幅14427＝本文の1.4倍） || take2: clean	その許可がぼうくう司令部に届いたのは、10時31分。
c222-1	clean	2	2	take1: 途中に浮いた音: 180ms（1.14秒地点・振幅7619＝本文の0.9倍／前100ms・後120ms の無音） || take2: clean	8時46分。オーティス基地のエフじゅうごに、発進が命じられた。
c124-3	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 190ms の音（2.69秒地点・振幅9276＝本文の1.1倍） || take2: clean	そうてい の外から、その朝は始まった
c317-1	real	1	3	take1: 末尾に余計な音: 90ms の無音 → 210ms の音（4.75秒地点・振幅7261＝本文の1.0倍） || take2: 末尾に余計な音: 80ms の無音 → 220ms の音（4.50秒地点・振幅13635＝本文の1.6倍） || take3: 末尾に余計な音: 80ms の無音 → 220ms の音（4.56秒地点・振幅9806＝本文の1.0倍）	クジ3分11秒。175便がみなみとうにぶつかった。
