行	key	val	前	後	前の聞取	後の聞取
c122-1	報せる	しらせる	0.884	0.884	乗っ取りがわかると管制官はまず上司に向くせる	乗っ取りがわかると管制官はまず上司に知らせる。
c514-2	報せ	しらせ	0.844	0.870	点が消えることがこの日初めて良い夢癖になった。	点が消えることがこの日初めて良い知らせになった。
c906-1	報せが	しらせが	0.929	0.947	当時は、ムセが本部を何段も上がってから軍へ渡る決まりだった。	当時は知らせが本部を何段も上がってから軍へ渡る決まりだった。
pr04-2	墜ちる	おちる	0.936	0.957	残りの三機については、すいちるまで知らされていない。	残りの三機については落ちるまで知らされていない。
c718-2	墜ちる	おちる	0.894	0.958	残る三基は現るまで乗っ取りとして伝わっていない。	残る三機は落ちるまで乗っ取りとして伝わっていない。
c715-2	墜ちて	おちて	0.774	0.839	九十三便はその時すでに移していた。	93便はその時すでに落ちていた。
c105-3	便名	びんめい	0.941	1.000	この動画では最後までこの弁名で呼ぶ。	この動画では最後までこの便名で呼ぶ。
ep02-3	便名	びんめい	0.900	1.000	この動画はその四つの弁明だけで組み立てた。	この動画はその四つの便名だけで組み立てた
c809-2	ない便に	ない びんに	0.947	0.947	実際には存在しない弁に向けて飛んでいた。	実際には存在しない瓶に向けて飛んでいた。
c217-2	北棟	きたとう	0.943	0.981	建物を調べた役所の資料では、北道の屋上まで四百十七メートル	建物を調べた役所の資料では、北棟の屋上まで四百十七メートル。
c314-2	北棟	ほくとう	0.698	0.698	十七分の間、町中の関心が北堂に集まっていた。	十七分の間、町中の関心が北東に集まっていた。
c313-1	北棟	きたとう	0.848	0.812	北東の上の方から煙が上がっている。	北棟の上の方から煙がなっている。
c221-2	当直室	とうちょく室	0.909	1.000	ニューヨーク州ローマにある防空の盗聴室だった	ニューヨーク州ローマにある防空の当直室だった。
c505-2	離れた機も	離れた きも	0.927	0.950	搭乗口を離れた基地も動かないまま待たされた。	搭乗口を離れたきも動かないまま待たされた。
c506-2	飛ぶ機だけ	飛ぶ きだけ	0.923	0.947	止められるのはこれから飛ぶ基地だけだった。	止められるのはこれから飛ぶ木だけだった。
c407-3	落ちた機の	落ちた きの	0.894	0.913	州の警察にも落ちたきたの報告がないかを聞いている。	州の警察にも落ちた木の報告がないかを聞いている。
c712-2	首都の方角	しゅとの方角	0.900	0.976	そこから向き直って、使徒の方角へ戻っている。	あそこから向き直って、首都の方角へ戻っている。
c905-1	の側	の がわ	0.938	0.909	変わったのは空港の差だけではない。	変わったのは空港のガワだけではない。
ep06-1	言葉	ことば	0.906	1.000	記録に残っているのは時刻と無線のことかと画面の点である。	記録に残っているのは時刻と無線の言葉と画面の点である。
c710-2	この知らせ	この しらせ	0.824	0.857	このチラシがどこから出たのかは、いかまもわかっていない。	この知らせがどこから出たのかが今もわかっていない。
