行	扱い	理由
pr01-2	直した（辞書）	EL_YOMI「瑞草区」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr04-3	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr05-1	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr06-1	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
pr06-2	直した（辞書）	EL_YOMI「の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr07-1	表記違い	数は全部聞き取れており一致率 89%。差は かな⇄漢字・同音の字当て
pr08-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr08-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr09-3	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
pr10-3	直した（辞書）	EL_YOMI「報道」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c101-1	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c101-2	表記違い	数は全部聞き取れており一致率 86%。差は かな⇄漢字・同音の字当て
c102-1	直した（辞書）	EL_YOMI「棟は2つ」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c102-2	直した（辞書）	EL_YOMI「北の棟／の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c102-3	直した（辞書）	EL_YOMI「北の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c103-1	直した（辞書）	EL_YOMI「北の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c103-3	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c104-1	直した（辞書）	EL_YOMI「建物の異変」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c106-1	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c106-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c107-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c108-3	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c109-1	表記違い	数は全部聞き取れており一致率 90%。差は かな⇄漢字・同音の字当て
c110-1	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c110-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c110-3	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c112-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c112-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c113-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c113-3	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c114-1	表記違い	数は全部聞き取れており一致率 86%。差は かな⇄漢字・同音の字当て
c114-2	表記違い	『朝九時頃・十時頃』＝算用数字の漢数字化だけ。数の照合は通っている
c115-2	直した（辞書）	EL_YOMI「その30分前」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c116-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c201-2	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c203-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c204-1	直した（辞書）	EL_YOMI「の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c204-2	直した（辞書）	EL_YOMI「北がA棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c205-1	直した（辞書）	EL_YOMI「の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c205-3	直した（辞書）	EL_YOMI「の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c207-2	表記違い	数は全部聞き取れており一致率 86%。差は かな⇄漢字・同音の字当て
c208-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c208-2	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c209-2	直した（辞書）	EL_YOMI「な店だったのか」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c210-3	直した（辞書）	EL_YOMI「全国で2番目」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c211-1	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c213-1	直した（辞書）	EL_YOMI「竣工」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c214-1	表記違い	数は全部聞き取れており一致率 89%。差は かな⇄漢字・同音の字当て
c218-2	表記違い	数は全部聞き取れており一致率 90%。差は かな⇄漢字・同音の字当て
c302-1	表記違い	数は全部聞き取れており一致率 87%。差は かな⇄漢字・同音の字当て
c305-2	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c306-1	直した（辞書）	EL_YOMI「ときは7万1,136／床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c306-3	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c309-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c309-3	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c312-2	表記違い	数は全部聞き取れており一致率 93%。差は かな⇄漢字・同音の字当て
c312-3	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c313-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c313-3	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c316-1	直した（辞書）	EL_YOMI「三豊」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c316-2	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c318-3	直した（辞書）	EL_YOMI「竣工」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c321-1	直した（辞書）	EL_YOMI「白書には、図面」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c321-2	直した（辞書）	EL_YOMI「建ったあと」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
