場面	一致率	送った文	聞こえた文	送信文
pr01-1	0.964	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。	1977年3月27日の夕方5時過ぎ、スペインのカナリア諸島。	千九百七十七年三月二十七日の夕方5時すぎ、スペインのカナリア諸島。
pr01-2	0.979	テネリフェ島にある空港の滑走路は、雲の中にあった。	テネリフェと島にある空港の滑走路は雲の中にあった。	テネリフェとうにある空港の滑走路は、雲の中にあった。
pr02-1	1.000	その滑走路に、ボーイング747が2機いた。	その滑走路にボーイング747が二機いた。	その滑走路に、ボーイングナナヨンナナが2機いた。
pr02-2	0.897	当時、旅客機でいちばん大きかった機体である。どちらにも数百人がいた。	当時、旅客機で一番大きかった機体である。どちらにも数百人がいた。	当時、旅客機でいちばん大きかった機体である。どちらにも数百人がいた。
pr03-1	1.000	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-2	1.000	この日、583人が亡くなった。	この日、583人が亡くなった。	この日、583人が亡くなった。
pr04-1	0.914	航空機の事故で、いまも最も多い数である。	航空機の事故で今も最も多い数である。	航空機の事故で、いまも最も多い数である。
pr04-2	1.000	なぜ、二機は同じ滑走路にいたのか。	なぜ二機は同じ滑走路にいたのか。	なぜ、二機は同じ滑走路にいたのか。
pr04-3	1.000	二機とも、来るはずのない空港にいた	二機とも来るはずのない空港にいた。	ニキとも、来るはずのない空港にいた
pr05-1	0.985	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。	一機はKLMオランダ航空の四千八百五便。朝九時にアムステルダムを出ていた。	イッキはKLMオランダ航空の四千八百五便。朝9時にアムステルダムを出ていた。
pr05-2	1.000	もう一機は、パンアメリカン航空の1736便である。	もう一機はパンアメリカン航空の1736便である。	もう一機は、パンアメリカン航空の1736便である。
pr06-1	0.971	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を変えていた。	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。
pr06-2	1.000	別の国から飛んできた二つの便の、行き先は同じだった。	別の国から飛んできた二つの便の行き先は同じだった。	別の国から飛んできた二つの便の、行き先は同じだった。
pr07-1	1.000	行き先は、グランカナリア島のラスパルマス空港である。	行き先はグランカナリア島のラスパルマス空港である。	行き先は、グランカナリアとうのラスパルマス空港である。
pr07-2	0.929	二機が空を飛んでいるあいだに、その空港の建物で爆弾が爆発した。	二機が空を飛んでいる間に、その空港の建物で爆弾が爆発した。	二機が空を飛んでいるあいだに、その空港の建物で爆弾が爆発した。
