scene	decision	chosen	takes	flags	text
c101-1	clean	2	2	take1: 途中に浮いた音: 220ms（3.65秒地点・振幅6658＝本文の1.2倍／前140ms・後100ms の無音） || take2: clean	千九百七十四年 さんがつみっか、日曜日の昼。パリの北東さんじゅうななキロの森に、旅客機が落ちた。
c101-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（8.56秒地点・振幅8090＝本文の1.0倍） || take2: clean	トルコ航空きゅうはちいちびん。乗っていたさんびゃくよんじゅうろくにんは、全員が亡くなった。
c103-3	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 190ms の音（3.01秒地点・振幅6014＝本文の0.9倍） || take2: 末尾に余計な音: 90ms の無音 → 190ms の音（3.09秒地点・振幅5623＝本文の1.0倍） || take3: clean	危険は、前の事故ですでに明らかだった
c106-2	real	1	3	take1: 途中に浮いた音: 150ms（4.75秒地点・振幅19007＝本文の2.8倍／前420ms・後140ms の無音） || take2: 途中に浮いた音: 150ms（4.87秒地点・振幅23320＝本文の2.6倍／前520ms・後90ms の無音） || take3: 途中に浮いた音: 150ms（5.19秒地点・振幅17965＝本文の1.9倍／前420ms・後100ms の無音）	日本の商社が、全日空に売るつもりで注文したろっきの、いっきだったのである。
c107-1	clean	2	2	take1: 途中に浮いた音: 150ms（1.76秒地点・振幅20862＝本文の2.4倍／前640ms・後110ms の無音） || take2: clean	この動画では、みっつの問いを追う。
c109-2	clean	2	2	take1: 末尾に余計な音: 890ms の無音 → 30ms の音（7.41秒地点・振幅14597＝本文の2.4倍） || take2: clean	危ないのは空の上だ。機内の空気が、ドアを外へ強く押すからである。
c110-1	unsure	1	3	take1: 途中に浮いた音: 210ms（0.89秒地点・振幅11691＝本文の1.6倍／前100ms・後390ms の無音） || take2: 途中に浮いた音: 230ms（0.96秒地点・振幅14423＝本文の2.0倍／前80ms・後120ms の無音） || take3: 途中に浮いた音: 240ms（0.86秒地点・振幅16661＝本文の1.8倍／前100ms・後150ms の無音）	報告書に載った、墜落の現場の写真だ。矢印は、機体が入ってきた向き。
c204-3	clean	2	2	take1: 先頭に余計な音: 200ms の音（振幅24826＝本文の3.3倍）のあと 90ms の無音 || take2: clean	乗っていたひゃくろくじゅうななにんのうち、ごじゅうにんがパリで降りた。
c209-1	real	1	3	take1: 末尾に余計な音: 110ms の無音 → 150ms の音（10.01秒地点・振幅7550＝本文の1.0倍） || take2: 末尾に余計な音: 120ms の無音 → 160ms の音（10.40秒地点・振幅8550＝本文の1.2倍） || take3: 末尾に余計な音: 130ms の無音 → 130ms の音（9.61秒地点・振幅7506＝本文の1.0倍）	午前じゅういちじさんじゅうごふんごろ。このドアを閉めたのは、空港で荷物を扱う会社の係員だった。
c210-2	unsure	2	3	take1: 途中に浮いた音: 220ms（3.29秒地点・振幅11829＝本文の1.7倍／前120ms・後130ms の無音）; 途中に浮いた音: 160ms（3.64秒地点・振幅6501＝本文の0.9倍／前130ms・後200ms の無音） || take2: 途中に浮いた音: 230ms（3.18秒地点・振幅11062＝本文の1.5倍／前100ms・後130ms の無音） || take3: 途中に浮いた音: 160ms（3.71秒地点・振幅6201＝本文の1.0倍／前120ms・後150ms の無音）	ボタンを押すとドアが下りて収まり、カチッと鳴った。それから錠のレバーを倒した。
c214-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 170ms の音（3.34秒地点・振幅8136＝本文の1.0倍） || take2: 末尾に余計な音: 100ms の無音 → 150ms の音（3.13秒地点・振幅9710＝本文の1.1倍） || take3: clean	あの小窓が何のためか、知らなかった
c216-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 110ms の音（5.33秒地点・振幅10673＝本文の1.1倍） || take2: clean	ふだん窓を確かめるのは、トルコ航空がオルリーに置いていた主任整備士だった。
c217-1	clean	2	2	take1: 途中に浮いた音: 210ms（6.37秒地点・振幅26364＝本文の3.5倍／前550ms・後150ms の無音） || take2: clean	ただ、荷物の会社の職長は、その確認はときどきしかしていなかった、と話す。
c220-1	clean	2	2	take1: 途中に浮いた音: 250ms（1.47秒地点・振幅14513＝本文の1.6倍／前100ms・後770ms の無音）; 途中に浮いた音: 220ms（7.17秒地点・振幅11594＝本文の1.3倍／前110ms・後340ms の無音） || take2: clean	昼のじゅうにじ さんじゅっぷん さんじゅうびょう、きゅうはちいちびんは東へ向かって滑走路を飛び立った。
c309-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 130ms の音（4.18秒地点・振幅5271＝本文の1.0倍） || take2: clean	機内に空気を詰めることができない。そういう設計だった。
c317-2	clean	3	3	take1: 末尾に余計な音: 120ms の無音 → 110ms の音（6.27秒地点・振幅6802＝本文の1.0倍） || take2: 末尾に余計な音: 100ms の無音 → 120ms の音（5.88秒地点・振幅6340＝本文の0.9倍） || take3: clean	二年近く前の事故の調べでは、スイッチは さんミリに満たない動きで入ると分かった。
c322-1	clean	2	2	take1: 途中に浮いた音: 230ms（2.69秒地点・振幅13407＝本文の1.7倍／前310ms・後170ms の無音） || take2: clean	この弱点は、パリの事故の、ずっと前から知られていた。
c410-2	clean	3	3	take1: 途中に浮いた音: 240ms（3.01秒地点・振幅9967＝本文の1.0倍／前120ms・後560ms の無音） || take2: 途中に浮いた音: 240ms（2.97秒地点・振幅7210＝本文の1.0倍／前130ms・後490ms の無音） || take3: clean	ただし、SBはすすめるものであって、命令ではない。
c419-1	clean	2	2	take1: 途中に浮いた音: 230ms（2.89秒地点・振幅19137＝本文の2.3倍／前410ms・後140ms の無音） || take2: clean	機体は滑走路を右へそれたが、止まった。乗っていた全員が、滑り台で外へ出た。
c420-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 120ms の音（7.80秒地点・振幅6292＝本文の0.9倍） || take2: clean	亡くなった人はいない。けがは、客室乗務員ふたりと乗客きゅうにんの、軽いけがだけだった。
c423-3	real	1	3	take1: 末尾に余計な音: 110ms の無音 → 90ms の音（3.19秒地点・振幅8750＝本文の1.5倍） || take2: 末尾に余計な音: 110ms の無音 → 120ms の音（3.00秒地点・振幅11314＝本文の1.5倍） || take3: 末尾に余計な音: 90ms の無音 → 100ms の音（3.18秒地点・振幅9728＝本文の1.3倍）	閉まって見えたが、錠はかかっていなかった
c509-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 100ms の音（4.86秒地点・振幅7819＝本文の1.0倍） || take2: clean	こうして改修は、命令ではなく、メーカーのSBで進めることになった。
c519-1	clean	2	2	take1: 途中に浮いた音: 120ms（2.76秒地点・振幅14458＝本文の1.8倍／前750ms・後100ms の無音） || take2: clean	六月十九日の二通目は、いっつうめに置き換わるもので、表示の項目は無かった。
c520-1	clean	2	2	take1: 途中に浮いた音: 210ms（0.84秒地点・振幅11294＝本文の1.2倍／前140ms・後1190ms の無音） || take2: clean	七月みっか、ダグラスは新しいSB、ごじゅうにの さんじゅうななを出す。
c521-1	unsure	1	3	take1: 途中に浮いた音: 130ms（5.41秒地点・振幅15273＝本文の2.3倍／前190ms・後110ms の無音） || take2: 途中に浮いた音: 120ms（5.10秒地点・振幅9116＝本文の1.2倍／前530ms・後130ms の無音） || take3: 末尾に余計な音: 100ms の無音 → 130ms の音（5.95秒地点・振幅9225＝本文の1.3倍）; 途中に浮いた音: 110ms（5.15秒地点・振幅19236＝本文の2.8倍／前440ms・後100ms の無音）	八月なのかの時点で、ごじゅうにの さんじゅうななを済ませた機体は、いっきも無かった。
