行	key	val	判定	狙った音	巻き添えの疑い	前の聞取	後の聞取
c122-1	報せる	しらせる	採用	シラセル		乗っ取りがわかると管制官はまず上司に向くせる	乗っ取りがわかると管制官はまず上司に知らせる。
c514-2	報せ	しらせ	採用	シラセ		点が消えることがこの日初めて良い夢癖になった。	点が消えることがこの日初めて良い知らせになった。
c906-1	報せが	しらせが	採用	シラセガ		当時は、ムセが本部を何段も上がってから軍へ渡る決まりだった。	当時は知らせが本部を何段も上がってから軍へ渡る決まりだった。
pr04-2	墜ちる	おちる	採用	オチル		残りの三機については、すいちるまで知らされていない。	残りの三機については落ちるまで知らされていない。
c718-2	墜ちる	おちる	採用	オチル		残る三基は現るまで乗っ取りとして伝わっていない。	残る三機は落ちるまで乗っ取りとして伝わっていない。
c715-2	墜ちて	おちて	採用	オチテ		九十三便はその時すでに移していた。	93便はその時すでに落ちていた。
c105-3	便名	びんめい	採用	ビンメエ		この動画では最後までこの弁名で呼ぶ。	この動画では最後までこの便名で呼ぶ。
ep02-3	便名	びんめい	採用	ビンメエ		この動画はその四つの弁明だけで組み立てた。	この動画はその四つの便名だけで組み立てた
c809-2	ない便に	ない びんに	採用	ナイビンニ		実際には存在しない弁に向けて飛んでいた。	実際には存在しない瓶に向けて飛んでいた。
c217-2	北棟	きたとう	採用	キタトオ		建物を調べた役所の資料では、北道の屋上まで四百十七メートル	建物を調べた役所の資料では、北棟の屋上まで四百十七メートル。
c314-2	北棟	ほくとう	採用	ホクトオ	キタ→ホク	十七分の間、町中の関心が北堂に集まっていた。	十七分の間、町中の関心が北東に集まっていた。
c313-1	北棟	きたとう	採用	キタトオ	アガ→ナ	北東の上の方から煙が上がっている。	北棟の上の方から煙がなっている。
c221-2	当直室	とうちょく室	採用	トオチョクシツ		ニューヨーク州ローマにある防空の盗聴室だった	ニューヨーク州ローマにある防空の当直室だった。
c505-2	離れた機も	離れた きも	採用	ハナレタキモ		搭乗口を離れた基地も動かないまま待たされた。	搭乗口を離れたきも動かないまま待たされた。
c506-2	飛ぶ機だけ	飛ぶ きだけ	採用	トブキダケ		止められるのはこれから飛ぶ基地だけだった。	止められるのはこれから飛ぶ木だけだった。
c407-3	落ちた機の	落ちた きの	採用	オチタキノ		州の警察にも落ちたきたの報告がないかを聞いている。	州の警察にも落ちた木の報告がないかを聞いている。
c712-2	首都の方角	しゅとの方角	採用	シュトノホオガク	—→ア	そこから向き直って、使徒の方角へ戻っている。	あそこから向き直って、首都の方角へ戻っている。
c905-1	の側	の がわ	採用	ノガワ		変わったのは空港の差だけではない。	変わったのは空港のガワだけではない。
ep06-1	言葉	ことば	採用	コトバ		記録に残っているのは時刻と無線のことかと画面の点である。	記録に残っているのは時刻と無線の言葉と画面の点である。
c710-2	この知らせ	この しらせ	採用	コノシラセ	ハ→ガ	このチラシがどこから出たのかは、いかまもわかっていない。	この知らせがどこから出たのかが今もわかっていない。
c310-2	管制にも	かんせいにも	採用	カンセエニモ	タ→マ	ただし、その情報は官邸にも軍にも回っていない。	まだし、その情報は管制にも軍にも回っていない。
c220-2	管制官は	かんせいかんは	採用	カンセエカンハ		訓練か本物かと聞かれ、訓練ではないと答えた。	訓練か本物かと聞かれ、管制官は訓練ではないと答えた。
c321-3	空の扱い	そらの扱い	採用	ソラノアツカイ		ここから先、全米のソロの扱いが変わっていく。	ここから先、全米の空の扱いが変わっていく。
c814-2	いつ火が	いつ ひが	効かなかった	イツヒガ	ヒ→ニチ	建物側の時計はいつ木がどこへ回ったかを合わせるためのもの。	建物側の時計はいつ日がどこへ回ったかを合わせるためのもの
c708-1	ラングレー機	ラングレーき	採用	ラングレエキ		この時、ラングル駅の向かう先として考えられていたのは	この時ラングレー、気の向かう先として考えられていたのは
