行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
pr01-2	読み一致		カンコクノシュトソオルミズクサクニアッタヒャッカテンガクズレオチタ	カンコクノシュトソオルミズクサクニアッタヒャッカテンガクズレオチタ	韓国の首都ソウル、瑞草区にあった百貨店が崩れ落ちた。	韓国の首都ソウル水草区にあった百貨店が崩れ落ちた。
pr04-3	読みが違う	ユカ→ト	アサノオチニカイノショクドオノユカガモリアガッタ	アサノオチニカイノショクドオノトガモリアガッタ	朝のうちに、5階の食堂の床が盛り上がった	朝のうちに五階の食堂の戸が盛り上がった。
pr05-1	読みが違う	ミトヨ→フン	ミトヨヒャッカテンガミセヲヒライタノハネンノツキデアル	フンヒャッカテンガミセヲヒライタノハネンノツキデアル	三豊百貨店が店を開いたのは、1989年の12月である。	三分百貨店が店を開いたのは 1989年の12月である。
pr06-2	読みが違う	ムネ→トオン	オナジオオキサノムネガツマンナカノツウロデツナガッテエタ	オナジオオキサノトオンガフタツマンナカノツウロデツナガッテエタ	同じ大きさの棟が2つ、真ん中の通路でつながっていた。	同じ大きさの戸音が二つ真ん中の通路でつながっていた
pr10-3	読みが違う	ホ→コ	ホオドオハツカワナイ	コオドオハツカワナイ	報道は使わない。	行動は使わない
c101-1	読みが違う	ミトヨ→フン	ネンツキニチモクヨオビミトヨヒャッカテンハコノヒモミセヲアケタ	ネンツキニチモクヨオビフンヒャッカテンハコノヒモミセヲアケタ	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。	1995年6月29日木曜日。三分百貨店はこの日も店を開けた。
c102-1	読みが違う	ムネ→トオ	マズタテモノノカタチヲオサエテオクムネハツニワカレテエテ	マズタテモノノカタチヲオサエテオクトオハフタツニワカレテエテ	まず、建物の形を押さえておく。棟は2つに分かれていて、	まず建物の形を押さえておく。塔は二つに分かれていて
c102-3	読みが違う	アト→ノチ／ム→ト	コノアトクズレルノハキタノムネノホオデアル	コノノチクズレルノハキタノトネノホオデアル	このあと崩れるのは、北の棟のほうである。	この後崩れるのは北の戸根の方である。
c103-1	読みが違う	キ→シ／ムネ→トコオ	キタノムネハカイカラカイマデガウリバデカイガショクドオガイダッタ	シタノトコオハカイカラカイマデガウリバデカイガショクドオガイダッタ	北の棟は、1階から4階までが売り場で、5階が食堂街だった。	下の戸江は一階から四階までが売り場で、五階が食堂街だった
c104-1	読みが違う	タテモノ→セエブツ	タテモノノイヘンハコノヒガハジメテデハナカッタ	セエブツノイヘンハコノヒガハジメテデハナカッタ	建物の異変は、この日が初めてではなかった。	生物の異変はこの日が初めてではなかった。
c107-1	読みが違う	ユ→ト	オナジコロオクジョオノユカハサカナノオロコノヨオニウキアガリ	オナジコロオクジョオノトカハサカナノオロコノヨオニウキアガリ	同じころ、屋上の床は魚のうろこのように浮き上がり、	同じ頃、屋上のトカは魚の鱗のように浮き上がり
c112-1	読み一致		オナジジカンニモオヒトツノコトガワカッテエタ	オナジジカンニモオヒトツノコトガワカッテエタ	同じ時間に、もう一つのことが分かっていた。	同じ時間にもう一つのことがわかっていた。
c201-2	読みが違う	ミトヨ→フン／ミトヨ→フン	ミトヨヒャッカテンヲモッテエタノハミトヨケンセツサンギョオトイウカイシャデアル	フンヒャッカテンヲモッテエタノハフンケンセツサンギョオトイウカイシャデアル	三豊百貨店を持っていたのは、三豊建設産業という会社である。	三分百貨店を持っていたのは三分建設産業という会社である。
c204-1	読みが違う	ムネ→トエダ	タッテエタノハオナジオオキサノムネガツデアル	タッテエタノハオナジオオキサノトエダガフタツデアル	建っていたのは、同じ大きさの棟が2つである。	立っていたのは同じ大きさの戸枝が二つである。
c204-2	読みが違う	キ→シ	キタガトオデヒャッカテンノオリバミナミガトオデシノダンメンズデハ	シタガトオデヒャッカテンノオリバミナミガトオデシノダンメンズデハ	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、	下がA棟で百貨店の売り場、南がB棟で市の断面図では
c205-1	読みが違う	ムネ→トオ	ツノムネハマンナカノガラスバリノツウロデツナガッテエタ	フタツノトオハマンナカノガラスバリノツウロデツナガッテエタ	2つの棟は、真ん中のガラス張りの通路でつながっていた。	二つの塔は真ん中のガラス張りの通路で繋がっていた
c208-1	読み一致		ウリバニハモヨオシゴトノタレマクガイクツモサガッテエタ	ウリバニハモヨオシゴトノタレマクガイクツモサガッテエタ	売り場には、催しごとの垂れ幕がいくつも下がっていた。	売り場には模様師ごとの垂れ幕がいくつも下がっていた。
c208-2	読み一致		カイニモトクセツノオリバガアッタコトガシャシンカラワカル	カイニモトクセツノオリバガアッタコトガシャシンカラワカル	5階にも特設の売り場があったことが、写真から分かる。	五階にも特設の売り場があったことが写真からわかる。
c209-2	読みが違う	ダ→ガア	ドレクライオオキナミセダッタノカハツギノスウジデワカル	ドレクライオオキナミセガアッタノカハツギノスウジデワカル	どれくらい大きな店だったのかは、次の数字で分かる。	どれくらい大きな店があったのかは次の数字でわかる。
c211-1	読みが違う	ミトヨ→フン／アイダ→マ	ツマリミトヨヒャッカテンハヒライテカラネンノアイダニ	ツマリフンヒャッカテンハヒライテカラネンノマニ	つまり三豊百貨店は、開いてから5年のあいだに、	つまり三分百貨店は開いてから五年の間に
c213-1	読みが違う	ュ→—／—→シチガ／キ→—	シュンコオノケンサガオワッタノハカイテンノヨクネンネンツキニチ	シンコオノケンサガオワッタノハカイテンノヨクネンネンシチガツニチ	竣工の検査が終わったのは、開店の翌年、1990年7月27日。	新港の検査が終わったのは開店の翌年、 千九百九十年七月二十七日。
c305-2	読みが違う	ミトヨ→フン	ミトヨケンセツガシタウケニダシネンツキカラネンツキマデツヅイタ	フンケンセツガシタウケニダシネンツキカラネンツキマデツヅイタ	三豊建設が下請けに出し、1987年11月から1988年11月まで続いた。	三分建設が下請けに出し、 1987年11月から 1988年11月まで続いた。
c306-3	読み一致		ヘエホオメエトルテニスコオトメンブンフエテエル	ヘエホオメエトルテニスコオトメンブンフエテエル	2,069平方メートル、テニスコート8面ぶん増えている。	二千六十九平方メートル。テニスコート八面分増えている。
c312-2	読みが違う	エガ→カ	ズメンヲエガクセッケエジッサイニタテルシコオ	ズメンヲカクセッケエジッサイニタテルシコオ	図面を描く設計。実際に建てる施工。	図面を書く設計、実際に建てる施工
c312-3	読み一致		ソシテズメンドオリニタッテエルカヲミルカンリデアル	ソシテズメンドオリニタッテエルカヲミルカンリデアル	そして図面どおりに建っているかを見る監理である。	そして図面通りに建っているかを見る管理である。
c313-1	読み一致		コノタテモノデハセッケエトカンリヲオナジセッケエジムショガウケモッタ	コノタテモノデハセッケエトカンリヲオナジセッケエジムショガウケモッタ	この建物では、設計と監理を同じ設計事務所が受け持った。	この建物では設計と管理を同じ設計事務所が受け持った。
c313-3	読みが違う	タテ→ケン／ミトヨ→フン	タテオモデアルミトヨケンセツガジブンデオコナッテエル	ケンオモデアルフンケンセツガジブンデオコナッテエル	建て主である三豊建設が自分で行っている。	建主である三分建設が自分で行っている
c316-1	読みが違う	ミトヨ→フン	ミトヨケンセツノジョオゲンハウォンコノヒャッカテンノコオジハウォン	フンケンセツノジョオゲンハウォンコノヒャッカテンノコオジハウォン	三豊建設の上限は18億ウォン。この百貨店の工事は228億ウォン。	三分建設の上限は十八億ウォン。この百貨店の工事は二百二十八億ウォン。
c318-3	読みが違う	ュ→—／アト→ゴ	シュンコオノケンサガオワッタノハソノカゲツアトデアル	シンコオノケンサガオワッタノハソノカゲツゴデアル	竣工の検査が終わったのは、その8か月あとである。	進行の検査が終わったのはその八ヶ月後である。
c321-1	読みが違う	ハ→カ	ハクショニハズメンヲエガクジッサイニタテルソレヲミハル	カクショニハズメンヲエガクジッサイニタテルソレヲミハル	白書には、図面を描く、実際に建てる、それを見張る、	各所には図面を描く、実際に建てる、それを見張る
c321-2	読みが違う	アト→ノチ	タッタアトテエレヲスルトイウダンカイゴトニ	タッタノチテエレヲスルトイウダンカイゴトニ	建ったあと手入れをする、という段階ごとに、	立った後手入れをするという段階ごとに
c403-3	読み一致		オクジョオニノッテエタコトニナル	オクジョオニノッテエタコトニナル	屋上に載っていたことになる。	屋上に乗っていたことになる
c404-1	読みが違う	ユ→ト	ハンケツブンニヨレバオクジョオノユカハヘエホオメエトルアタリ	ハンケツブンニヨレバオクジョオノトカハヘエホオメエトルアタリ	判決文によれば、屋上の床は1平方メートルあたり、	判決文によれば、屋上のトカは一平方メートル当たり
c404-2	読み一致		キログラムノニモツヲノセルゼンテエデセッケエサレテエタ	キログラムノニモツヲノセルゼンテエデセッケエサレテエタ	240キログラムの荷物を載せる前提で設計されていた。	百四十キログラムの荷物を載せる前提で設計されていた
c409-1	読みが違う	ッ→ン	コッカイノホオコクショハカンゼンニカイタイセズツトンノブヒンニワケテ	コンカイノホオコクショハカンゼンニカイタイセズヒトツトンノブヒンニワケテ	国会の報告書は、完全に解体せず、1つ8トンの部品に分けて、	今回の報告書は完全に解体せず、一つ八トンの部品に分けて
c410-2	読みが違う	サ→オ	ボオスイソオノオエニカブセルオサエコンクリイトデアル	ボオスイソオノオエニカブセルオオエコンクリイトデアル	防水層の上にかぶせる、押えコンクリートである。	防水層の上にかぶせる覆えコンクリートである。
c412-2	読みが違う	アト→ノチ／ダ→ガ	レエキャクトオヲヒキズッタアトニヒビガソダッタ	レエキャクトオヲヒキズッタノチニヒビガソガッタ	冷却塔を引きずった跡に、ひびが育った	冷却塔を引きずった後にヒビがそがった
c417-2	読みが違う	ハ→ツ	ソノオモサヲジカニウケルカイノハシラトハシラトユカノハギメデアル	ソノオモサヲジカニウケルカイノハシラトハシラトユカノツギメデアル	その重さを直に受ける5階の柱と、柱と床の接ぎ目である。	その重さを直に受ける五階の柱と、柱と床の継ぎ目である
c418-1	読み一致		コノジテンデオクジョオニハセッケエニナイオモサガノッテエタ	コノジテンデオクジョオニハセッケエニナイオモサガノッテエタ	この時点で、屋上には設計に無い重さが載っていた。	この時点で屋上には設計にない重さが乗っていた。
c502-1	読み一致		コノタテモノニハソノヤナガナカッタハシラノオエニアツイイタヲオキ	コノタテモノニハソノヤナガナカッタハシラノオエニアツイイタヲオキ	この建物には、その梁が無かった。柱の上に厚い板を置き、	この建物にはその梁がなかった。柱の上に厚い板を置き
c502-2	読み一致		ソノオエニユカヲジカニノセテエル	ソノオエニユカヲジカニノセテエル	その上に床をじかに載せている。	その上に床を直に乗せている
c503-1	読み一致		ヤナガナイトテンジョオガタイラニナリカイノタカサヲヒククオサエラレル	ヤナガナイトテンジョオガタイラニナリカイノタカサヲヒククオサエラレル	梁が無いと天井が平らになり、階の高さを低くおさえられる。	梁がないと天井が平らになり、階の高さを低く抑えられる。
c504-2	読みが違う	ユカ→コオ／ハ→ツ	ヤナガウケモツハズノチカラヲユカトハシラノハギメダケデウケルコトニナル	ヤナガウケモツハズノチカラヲコオトハシラノツギメダケデウケルコトニナル	梁が受け持つはずの力を、床と柱の接ぎ目だけで受けることになる。	梁が受け持つはずの力を、高と柱の継ぎ目だけで受けることになる。
c506-1	読みが違う	ハ→ツ	ハシラノカンカクガナガイホドユカハタレヤスクハギメニハチカラガカカル	ハシラノカンカクガナガイホドユカハタレヤスクツギメニハチカラガカカル	柱の間隔が長いほど、床は垂れやすく、接ぎ目には力がかかる。	柱の間隔が長いほど床は垂れやすく、継ぎ目には力がかかる。
c506-2	読みが違う	ヤナ→ハリ	ヤナガナクテシカモカンカクガナガイジョオケンハキビシイホオダッタ	ハリガナクテシカモカンカクガナガイジョオケンハキビシイホオダッタ	梁が無くて、しかも間隔が長い。条件は厳しいほうだった。	張りがなくて、しかも間隔が長い。条件は厳しい方だった。
c514-1	読みが違う	ト→タ	ソコヨリフカクシズムホドユカガタレルノヲトメルチカラハヨワクナル	ソコヨリフカクシズムホドユカガタレルノヲタメルチカラハヨワクナル	そこより深く沈むほど、床が垂れるのを止める力は弱くなる。	そこより深く沈むほど、床が垂れるのを溜める力は弱くなる。
c517-1	読み一致		イチバンヒクイトコロデハセンチカラセンチシズンデエタ	イチバンヒクイトコロデハセンチカラセンチシズンデエタ	いちばん低い所では、13センチから18センチ沈んでいた。	一番低いところでは 十三センチから十八センチ沈んでいた。
c518-3	読み一致		アツサセンチノソノイタガカショマルゴトツイテエナカッタ	アツサセンチノソノイタガカショマルゴトツイテエナカッタ	厚さ15センチのその板が、1か所まるごと付いていなかった。	厚さ十五センチのその板が一箇所丸ごとついていなかった。
c601-1	読みが違う	ユ→ト	ハナシヲクズレタヒノゴゴニモドスアサカラユカガモリアガリ	ハナシヲクズレタヒノゴゴニモドスアサカラトカガモリアガリ	話を、崩れた日の午後にもどす。朝から床が盛り上がり、	話を崩れた日の午後に戻す。朝から渡河が盛り上がり
c602-1	読みが違う	ユ→トゥ	ゴゴジカラジニカケテカイノユカノコンクリイトニハ	ゴゴジカラジニカケテカイノトゥカノコンクリイトニハ	午後2時から4時にかけて。5階の床のコンクリートには、	午後二時から四時にかけて、五階のトゥカのコンクリートには
c603-2	読みが違う	—→ニチ／ビ→—／カ→ナツ	カイトカイノヒビトチンカハコノジカンニサラニススンダ	カイトカイノニチヒトチンナツハコノジカンニサラニススンダ	4階と5階のひびと沈下は、この時間にさらに進んだ。	四階と五階の日比と珍夏はこの時間にさらに進んだ。
c605-2	読みが違う	コノタテモノノコオゾオヲケエサンシテセッケエシタノハコノヒトデアル→—	コノタテモノノコオゾオヲケエサンシテセッケエシタノハコノヒトデアル		この建物の構造を計算して設計したのは、この人である。	[outro music]
c610-2	読みが違う	アサジゴロカラカンブシャチョオカイチョオヘトジュンニツタワッテエル→—	アサジゴロカラカンブシャチョオカイチョオヘトジュンニツタワッテエル		朝9時ごろから、幹部・社長・会長へと順に伝わっている。	[outro music]
c701-2	読みが違う	ムネ→トヘ	キタノムネノカイショクドオガイノホクトオノガワカラクズレハジメタ	キタノトヘノカイショクドオガイノホクトオノガワカラクズレハジメタ	北の棟の5階、食堂街の北東の側から崩れはじめた。	北の戸への五階食堂街の北東の側から崩れ始めた。
c703-1	読み一致		コノホンハカイノツヨサヲケエサンスルトキニ	コノホンハゴカイノツヨサヲケエサンスルトキニ	この2本は、5階の強さを計算するときに、	この二本は誤解の強さを計算するときに
c707-2	読みが違う	ハ→カ	ハクショハジフンゴロコッカイノホオコクショハジフン	カクショハジフンゴロコッカイノホオコクショハジフン	白書は17時55分ごろ、国会の報告書は17時52分。	各所は十七時五十五分頃、国会の報告書は十七時五十二分
c707-3	読みが違う	チ→ジ／ペエ→—	チケンノホオコクハペエジニヨッテジフンゴロトモハバデモカイテエル	ジケンノホオコクハジニヨッテジフンゴロトモハバデモカイテエル	地検の報告は、頁によって17時57分ごろとも、幅でも書いている。	事件の報告は四時によって十七時五十七分頃とも幅でも書いている。
c708-2	読み一致		イチバンアタラシクイチバンオオクノキロクガトッテエルネデアル	イチバンアタラシクイチバンオオクノキロクガトッテエルネデアル	いちばん新しく、いちばん多くの記録が採っている値である。	一番新しく、一番多くの記録が取っている値である。
c711-1	読み一致		ヤナガナイツクリデハユカガオチルトキニハシラモイッショニタオレル	ヤナガナイツクリデハユカガオチルトキニハシラモイッショニタオレル	梁が無い作りでは、床が落ちるときに柱も一緒に倒れる。	梁がない造りでは、床が落ちる時に柱も一緒に倒れる
c711-3	読み一致		ウケトメルモノガナイママシタヘシタヘトツヅイタノデアル	ウケトメルモノガナイママシタヘシタヘトツヅイタノデアル	受け止めるものが無いまま、下へ下へと続いたのである。	受け止めるものがないまま、下へ下へと続いたのである。
c713-1	読みが違う	ムネ→トオヘ	クズレタノハキタノムネトマンナカノレンケツツウロデアル	クズレタノハキタノトオヘトマンナカノレンケツツウロデアル	崩れたのは、北の棟と、真ん中の連結通路である。	崩れたのは北の塔へと真ん中の連結通路である。
c713-2	読みが違う	ムネ→トオ	ミナミノムネハツウロガキレタカタチデソノバニノコッタ	ミナミノトオハツウロガキレタカタチデソノバニノコッタ	南の棟は、通路が切れた形でその場に残った。	南の塔は通路が切れた形でその場に残った。
c714-2	読みが違う	ガレ→カラ	ガレキハチカカイカラチカカイノアタリマデツミアガッテエル	カラキハチカカイカラチカカイノアタリマデツミアガッテエル	瓦礫は、地下4階から地下3階のあたりまで積み上がっている。	カラキは地下四階から地下三階の辺りまで積み上がっている。
