場面	一致率	送った文	聞こえた文	送信文
pr01-1	0.947	1995年6月29日、木曜日の夕方5時55分ごろのことである。	1995年6月29日、木曜日の夕方5時55分頃のことである。	1995年6月29日、木曜日の夕方5時55分ごろのことである。
pr01-2	0.851	韓国の首都ソウル、瑞草区にあった百貨店が崩れ落ちた。	韓国の首都ソウル、ソチョクにあった百貨店が崩れ落ちた。	韓国の首都ソウル、ソチョくにあった百貨店が崩れ落ちた。
pr02-1	0.898	崩れはじめたのは、5階にあった食堂街の北東の側である。	崩れ始めたのは五階にあった食堂街の北東の壁である。	崩れはじめたのは、5階にあった食堂街の北東の側である。
pr02-2	0.933	地上5階、地下4階の建物が、ひと続きに落ちていった。	地上五階、地下四階の建物が一続きに落ちていった。	地上5階、地下4階の建物が、ひと続きに落ちていった。
pr03-1	0.902	この事故で502人が亡くなり、937人がけがをしている。	この事故で五百二人が亡くなり、九百三十七人が怪我をしている。	この事故で五百二人が亡くなり、937人がけがをしている。
pr03-2	0.958	その502人のうち、半分以上が21歳から30歳だった。	その五百二人のうち、半分以上が二十一歳から三十歳だった。	その五百二人のうち、半分以上が21歳から30歳だった。
pr04-1	1.000	なぜ、これだけの人が建物の中に残っていたのか。	なぜこれだけの人が建物の中に残っていたのか。	なぜ、これだけの人が建物の中に残っていたのか。
pr04-2	0.933	崩れたその日、建物は朝から合図を出しつづけていた。	崩れたその日、建物は朝から合図を出し続けていた。	崩れたその日、建物は朝から合図を出しつづけていた。
pr04-3	1.000	朝のうちに、5階の食堂の床が盛り上がった	朝のうちに五階の食堂の床が盛り上がった。	朝のうちに、5階の食堂のゆかが盛り上がった
pr05-1	0.958	三豊百貨店が店を開いたのは、1989年の12月である。	三分百貨店が店を開いたのは1989年の12月である。	サンプン百貨店が店を開いたのは、1989年の12月である。
pr05-2	0.960	崩れたのは、そこから5年半しかたっていない建物だった。	崩れたのはそこから五年半しか建っていない建物だった。	崩れたのは、そこから5年半しかたっていない建物だった。
pr06-1	0.875	地上5階、地下4階。いちばん高いところで27.6メートル。	地上五階、地下四階。一番高いところで27.6メートル。	地上5階、地下4階。いちばん高いところで27.6メートル。
pr06-2	1.000	同じ大きさの棟が2つ、真ん中の通路でつながっていた。	同じ大きさの棟が二つ、真ん中の通路でつながっていた。	同じ大きさのむねが2つ、真ん中の通路でつながっていた。
pr07-1	0.894	会員として名前を登録していた人が76,500人あまり。	会員として名前を登録していた人が七万六千五百人余り。	会員として名前を登録していた人がナナマンロクセンゴヒャクニンあまり。
pr07-2	1.000	売り上げは全国の百貨店で7番目という、大きな店だった。	売り上げは全国の百貨店で七番目という大きな店だった。	売り上げは全国の百貨店で7番目という、大きな店だった。
pr08-1	0.885	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。	五階の食堂の床が盛り上がったのが朝八時から十時の間。	5階の食堂のゆかが盛り上がったのが、朝8時から10時のあいだ。
pr08-2	0.704	昼をすぎたころには、柱のまわりの床が15センチ下がっていた。	チルを過ぎた頃には、柱の周りの床が15cm下がっていた。	昼をすぎたころには、柱のまわりのゆかが15センチ下がっていた。
pr09-1	1.000	それでも店は閉められず、客も従業員も中に残された。	それでも店は閉められず、客も従業員も中に残された。	それでも店は閉められず、客も従業員も中に残された。
pr09-2	0.913	生きて助け出された人は、17日目まで出つづけている。	生きて助け出された人は十七日目まで出続けている。	生きて助け出された人は、17日目まで出つづけている。
pr09-3	1.000	7月19日までに、932人が瓦礫から助け出された。	7月19日までに932人が瓦礫から助け出された。	7月19日までに、932人ががれきから助け出された。
pr10-1	1.000	この動画が使うのは、公の記録だけである。ソウル市がまとめた白書、	この動画が使うのは公の記録だけである。ソウル市がまとめた白書	この動画が使うのは、公の記録だけである。ソウル市がまとめた白書、
pr10-2	1.000	国会と検察の調査報告、そして裁判所の判決文。	国会と検察の調査報告、そして裁判所の判決文。	国会と検察の調査報告、そして裁判所の判決文。
pr10-3	1.000	報道は使わない。	報道は使わない。	報道は使わない。
pr11-1	1.000	追いかける問いは二つある。なぜこの建物は、	追いかける問いは二つある。なぜこの建物は	追いかける問いは二つある。なぜこの建物は、
pr11-2	1.000	崩れるような形になっていったのか。そしてなぜ、	崩れるような形になっていったのか。そしてなぜ	崩れるような形になっていったのか。そしてなぜ、
pr11-3	1.000	中にいた人たちは外に出されなかったのか。	中にいた人たちは外に出されなかったのか。	中にいた人たちは外に出されなかったのか。
c101-1	0.963	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。	1995年6月29日木曜日。三分百貨店はこの日も店を開けた。	1995年6月29日、木曜日。サンプン百貨店はこの日も店を開けた。
c101-2	0.857	その朝いちばんに動いたのは、施設の責任者だった。	その朝一番に動いたのは施設の責任者だった。	その朝いちばんに動いたのは、施設の責任者だった。
c102-1	1.000	まず、建物の形を押さえておく。棟は2つに分かれていて、	まず建物の形を押さえておく。棟は二つに分かれていて	まず、建物の形を押さえておく。むねは2つに分かれていて、
c102-2	1.000	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場。	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場。	きたのむねが百貨店の売り場、南のむねがスポーツ施設と売り場。
c102-3	0.824	このあと崩れるのは、北の棟のほうである。	この後崩れるのは北の棟の方である。	このあと崩れるのは、きたのむねのほうである。
c103-1	0.923	北の棟は、1階から4階までが売り場で、5階が食堂街だった。	下の宗は一階から四階までが売り場で、五階が食堂街だった。	きたのむねは、1階から4階までが売り場で、5階が食堂街だった。
c103-2	1.000	地下1階は食品売り場、地下2階と3階が駐車場である。	地下一階は食品売り場、地下二階と三階が駐車場である。	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-3	0.884	地下4階は機械室で、人がふだん入る場所ではない。	地下四階は機械室で人が普段入る場所ではない。	地下4階は機械室で、人がふだん入る場所ではない。
c104-1	1.000	建物の異変は、この日が初めてではなかった。	建物の異変はこの日が初めてではなかった。	たてものの異変は、この日が初めてではなかった。
c104-2	0.920	2か月前の4月中旬、5階の天井と壁から水がもれている。	二ヶ月前の四月中旬、五階の天井と壁から水が漏れている。	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-3	0.960	6月21日には、4階と5階で水もれを止める工事をした。	六月二十一日には四階と五階で水漏れを止める工事をした。	6月21日には、4階と5階で水もれを止める工事をした。
c105-1	1.000	6月の初めには、4階の照明売り場で建物が揺れ、	六月の初めには四階の照明売り場で建物が揺れ	6月の初めには、4階の照明売り場で建物が揺れ、
c105-2	1.000	天井の照明が落ちている。報告を受けて、	天井の照明が落ちている。報告を受けて	天井の照明が落ちている。報告を受けて、
c105-3	1.000	屋上にある冷却塔の水の量が調節された。	屋上にある冷却塔の水の量が調節された。	屋上にある冷却塔の水の量が調節された。
c106-1	0.880	そして6月29日、朝の8時から10時のあいだのことである。	そして六月二十九日、朝の八時から十時の間のことである。	そして6月29日、朝の8時から10時のあいだのことである。
c106-2	0.936	5階にある食堂の床が盛り上がり、天井が沈みはじめた。	五階にある食堂の床が盛り上がり、天井が沈み始めた。	5階にある食堂のゆかが盛り上がり、天井が沈みはじめた。
c106-3	1.000	施設の責任者が現場を確かめ、その食堂を休業にしている。	施設の責任者が現場を確かめ、その食堂を休業にしている。	施設の責任者が現場を確かめ、その食堂を休業にしている。
c107-1	0.837	同じころ、屋上の床は魚のうろこのように浮き上がり、	同じ頃、屋上の床は魚の鱗のように浮き上がり	同じころ、屋上のゆかは魚のうろこのように浮き上がり、
c107-2	1.000	一部は下に向かってたわんでいた。報告書が書いている言葉だ。	一部は下に向かってたわんでいた。報告書が書いている言葉だ。	一部は下に向かってたわんでいた。報告書が書いている言葉だ。
c108-1	0.930	10時から12時にかけて。4階の貴金属売り場では、	十時から十二時にかけて。四階の貴金属売り場では	10時から12時にかけて。4階の貴金属売り場では、
c108-2	1.000	揺れとともに天井が5センチ沈んだ。5階の別の食堂でも、	揺れとともに天井が五センチ沈んだ。五階の別の食堂でも	揺れとともに天井が5センチ沈んだ。5階の別の食堂でも、
c108-3	1.000	床が盛り上がり、天井が沈んでいる。	床が盛り上がり、天井が沈んでいる。	ゆかが盛り上がり、天井が沈んでいる。
c109-1	0.897	社長らが5階と屋上を見てまわり、	社長らが五階と屋上を見て回り	社長らが5階と屋上を見てまわり、
c109-2	1.000	5階の一部の食堂は、この時間に出入りを止めている。	五階の一部の食堂はこの時間に出入りを止めている。	5階の一部の食堂は、この時間に出入りを止めている。
c110-1	0.878	昼の12時から午後2時のあいだ。5階の北側では、	昼の十二時から午後二時の間、五階の北側では	昼の12時から午後2時のあいだ。5階の北側では、
c110-2	0.905	食堂のほとんどで、壁と床の両方にひびが入った。	食堂のほとんどで、壁と床の両方にヒビが入った。	食堂のほとんどで、壁とゆかの両方にひびが入った。
c110-3	0.778	4階でも、柱と床のあいだにひびが出ている。	四階でも柱と床の間にヒビが出ている。	4階でも、柱とゆかのあいだにひびが出ている。
c111-1	1.000	この時間に、屋上の冷却塔は止められ、ガスも切られた。	この時間に屋上の冷却塔は止められ、ガスも切られた。	この時間に、屋上の冷却塔は止められ、ガスも切られた。
c111-2	1.000	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。	五階の食堂の大部分と四階の貴金属売り場は営業をやめている。	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c111-3	1.000	それでも、店そのものは開いたままだった。	それでも店そのものは開いたままだった。	それでも、店そのものは開いたままだった。
c112-1	0.947	同じ時間に、もう一つのことが分かっていた。	同じ時間にもう一つのことがわかっていた。	同じ時間に、もう一つのことが分かっていた。
c112-2	0.778	5階の柱のまわりの床が15センチ沈んだ	五階の柱の周りの床が15cm沈んだ。	5階の柱のまわりのゆかが15センチ沈んだ
c113-1	0.977	15センチは、文庫本の縦の長さとほぼ同じである。	十五センチは文庫本の縦の長さとほぼ同じである。	15センチは、文庫本の縦の長さとほぼ同じである。
c113-2	0.882	床がそれだけ下がったということは、	美由香がそれだけ下がったということは	ゆかがそれだけ下がったということは、
c113-3	0.939	床を支えていたものが、もう効いていないということだ。	ゆかを支えていたものがもう効いていないということだ。	ゆかを支えていたものが、もう効いていないということだ。
c114-1	0.863	この日のできごとは、その日のうちに会社の上まで伝わった。	この日の出来事はその日のうちに会社の上まで伝わった。	この日のできごとは、その日のうちに会社の上まで伝わった。
c114-2	0.826	幹部に届いたのが朝9時ごろ、社長には10時ごろである。	幹部に届いたのが朝九時頃、社長には十時頃である。	幹部に届いたのが朝9時ごろ、社長には10時ごろである。
c115-1	0.914	会長に報告が入ったのは、午後2時半ごろ。	会長に報告が入ったのは午後二時半頃。	会長に報告が入ったのは、午後2時半ごろ。
c115-2	1.000	その30分前には対策の会議が開かれ、社長が役員に説明している。	その30分前には対策の会議が開かれ、社長が役員に説明している。	その サンジュップンまえには対策の会議が開かれ、社長が役員に説明している。
