行	扱い	理由
pr01-1	直した（EL_YOMI）	1977年3月27日の夕方→千九百七十七年三月二十七日の夕方
pr01-2	直した（EL_YOMI）	テネリフェ島にある→テネリフェとうにある
pr02-1	直した（EL_YOMI）	747→ナナヨンナナ
pr02-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
pr04-3	直した（EL_YOMI）	二機とも→ニキとも
pr05-1	直した（EL_YOMI）	一機はKLM→イッキはKLM／4805便→四千八百五便
pr06-1	表記のゆれ（読みは同じ）	代えて→『変えて』＝かえて
pr07-1	直した（EL_YOMI）	グランカナリア島→グランカナリアとう
pr07-2	表記のゆれ（読みは同じ）	あいだ→『間』（janome がマと読んだだけ）
pr08-1	直した（EL_YOMI）	隣のテネリフェ島へ→隣のテネリフェとうへ
pr09-2	数は正しい（先頭ゼロの誤報）	『十七時六分五十秒』
pr10-3	表記のゆれ（読みは同じ）	言う→『いう』
c101-1	直した（EL_YOMI）	747→ナナヨンナナ
c102-1	直した（EL_YOMI）	747→ナナヨンナナ
c102-2	直した（EL_YOMI）	21,195時間飛び、5,202回着陸→ニマンイッセンヒャクキュウジュウゴ時間飛び、ゴセンニヒャクニ回着陸
c103-2	直した（EL_YOMI）	25,725時間→ニマンゴセンナナヒャクニジュウゴ時間
c104-1	直した（EL_YOMI）	4805便→四千八百五便
c106-1	直した（EL_YOMI）	11,700時間→イチマンイッセンナナヒャク時間
c106-2	直した（EL_YOMI）	747での時間は、1,545時間→ナナヨンナナでの時間は、センゴヒャクヨンジュウゴ時間
c107-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c108-2	直した（EL_YOMI）	747→ナナヨンナナ
c109-1	直した（EL_YOMI）	747の資格を取ったのは、事故の2か月あまり前の1月19日→ナナヨンナナの資格を取ったのは、事故の2か月あまり前のイチガツ19日
c109-2	直した（EL_YOMI）	1,545時間の人→センゴヒャクヨンジュウゴ時間の人
c111-1	直した（EL_YOMI）	747→ナナヨンナナ
c111-3	直した（EL_YOMI）	747→ナナヨンナナ
c112-2	表記のゆれ（読みは同じ）	1時29分→『一時二十九分』（janome の読み違い）
c113-1	表記のゆれ（読みは同じ）	代わった→『変わった』
c113-2	表記のゆれ（聞取の揺れ）	2周目だけ『ラスパレマス・七時四二分』。同じ音の1周目は正しい
c114-1	直した（EL_YOMI）	21,043時間→ニマンイッセンヨンジュウサン時間
c114-2	直した（EL_YOMI）	747→ナナヨンナナ
c115-1	要耳🔴 名前「ブラッグ」	元の音は2回とも『ブラッグ』。数（10,800・747）をカナにした後は、取り直し3テイク＋句点のあと空白＋漢数字の計5テイクとも『ブラ**ック**』＝数を直すと名前の語尾が変わる。数が正しい今の音を残した
c115-2	直した（EL_YOMI）	747→ナナヨンナナ
c117-1	直した（EL_YOMI）	乗客378人→乗客サンビャクナナジュウハチニン
c118-1	表記のゆれ（読みは同じ）	このあと→『この後』
c118-2	取り直し（文字起こし合格）	1テイク
c118-3	表記のゆれ（読みは同じ）	二機→『二基』＝にき
c119-1	直した（EL_YOMI）	747→ナナヨンナナ
c201-1	直した（EL_YOMI）	グランカナリア島→グランカナリアとう
