scene	decision	chosen	takes	flags	text
pr09-2	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 150ms の音（2.80秒地点・振幅7845＝本文の1.0倍） || take2: 末尾に余計な音: 100ms の無音 → 190ms の音（2.92秒地点・振幅10984＝本文の1.4倍） || take3: clean	17時06分50秒、二機はぶつかった。
pr11-1	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 40ms の音（4.32秒地点・振幅13845＝本文の1.6倍） || take2: 末尾に余計な音: 130ms の無音 → 50ms の音（4.90秒地点・振幅11115＝本文の1.4倍） || take3: clean	追いかける問いは、二つある。一つは、なぜ二機がそこに集まったのか。
c115-1	clean	2	2	take1: 途中に浮いた音: 220ms（1.80秒地点・振幅22515＝本文の2.8倍／前160ms・後80ms の無音） || take2: clean	副操縦士はブラッグ。10,800時間のうち、747が2,796時間。
c116-2	clean	2	2	take1: 途中に浮いた音: 130ms（1.95秒地点・振幅19435＝本文の1.8倍／前80ms・後110ms の無音） || take2: clean	ニューヨークからテネリフェまでの、一本ぶんである。
c209-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 90ms の音（3.26秒地点・振幅13462＝本文の1.1倍） || take2: clean	KLMの乗客は、最初は機内から出されなかった。
c211-2	unsure	1	3	take1: 末尾に余計な音: 80ms の無音 → 210ms の音（2.43秒地点・振幅6782＝本文の1.0倍） || take2: 末尾に余計な音: 100ms の無音 → 170ms の音（2.31秒地点・振幅9304＝本文の1.2倍） || take3: 末尾に余計な音: 90ms の無音 → 120ms の音（2.44秒地点・振幅7674＝本文の1.0倍）	バスも、カードも、この機体には来なかった。
c305-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 220ms の音（3.62秒地点・振幅10417＝本文の1.2倍） || take2: clean	この日、駐機場は、回されてきた機体ですっかり埋まった。
c310-2	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（2.15秒地点・振幅20121＝本文の2.2倍） || take2: 末尾に余計な音: 90ms の無音 → 140ms の音（2.21秒地点・振幅9443＝本文の1.2倍） || take3: clean	あいだにいた3機は、先に出ていった。
c406-2	clean	2	2	take1: 途中に浮いた音: 220ms（3.48秒地点・振幅14447＝本文の1.5倍／前170ms・後450ms の無音） || take2: clean	機長は、ラスパルマスでの給油を避けたかったのだろう、と。
c408-1	clean	2	2	take1: 末尾に余計な音: 260ms の無音 → 100ms の音（3.66秒地点・振幅8327＝本文の1.0倍） || take2: clean	この量があれば、ラスパルマスで入れ直さなくてもよかった。
c417-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 140ms の音（2.58秒地点・振幅7214＝本文の1.0倍）; 先頭に余計な音: 200ms の音（振幅31711＝本文の4.2倍）のあと 80ms の無音 || take2: clean	返ってきた答えは、はっきりしたものではなかった。
c419-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 190ms の音（4.85秒地点・振幅7700＝本文の0.9倍） || take2: clean	自分の限界を決められないこの不確かさは、心理の面で大きな要素だった。
