行	型	該当	本文
pr01-1	文頭の数字	1	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr01-1	同形異音語（一般）	日	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr01-1	数詞＋助数詞	1986年	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr01-1	数詞＋助数詞	1月	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr01-1	数詞＋助数詞	28日	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr01-2	同形異音語（一般）	下	鉄の足場から、30センチほどのつららが何本も下がっている。
pr01-2	数詞＋助数詞	30センチ	鉄の足場から、30センチほどのつららが何本も下がっている。
pr02-1	数詞＋助数詞	11時	午前11時38分、スペースシャトル「チャレンジャー号」が飛び立った。
pr02-1	数詞＋助数詞	38分	午前11時38分、スペースシャトル「チャレンジャー号」が飛び立った。
pr02-1	鉤括弧	「	午前11時38分、スペースシャトル「チャレンジャー号」が飛び立った。
pr02-1	鉤括弧	」	午前11時38分、スペースシャトル「チャレンジャー号」が飛び立った。
pr02-2	同形異音語（一般）	上	打ち上げは、これで25回目だった。
pr02-2	同形異音語（一般）	目	打ち上げは、これで25回目だった。
pr02-2	数詞＋助数詞	25回	打ち上げは、これで25回目だった。
pr02-2	§6の語（コロンビア号）	打ち上げ	打ち上げは、これで25回目だった。
pr03-1	同形異音語（一般）	上	その73秒後、機体は空の上でばらばらに壊れた。
pr03-1	数詞＋助数詞	73秒	その73秒後、機体は空の上でばらばらに壊れた。
pr03-1	§6の語（9.11）	機体	その73秒後、機体は空の上でばらばらに壊れた。
pr03-2	同形異音語（一般）	人	乗っていた7人は、全員が亡くなっている。
pr03-2	数詞＋助数詞	7人	乗っていた7人は、全員が亡くなっている。
pr04-1	同形異音語（一般）	上	なぜ、この打ち上げは止まらなかったのか。
pr04-1	§6の語（コロンビア号）	打ち上げ	なぜ、この打ち上げは止まらなかったのか。
pr05-1	文頭の数字	7	7人のうち2人は、職業の宇宙飛行士ではなかった。
pr05-1	同形異音語（一般）	人	7人のうち2人は、職業の宇宙飛行士ではなかった。
