行	型	該当	本文
pr01-1	文頭の数字	1	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	同形異音語（実績）	方	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	同形異音語（一般）	日	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	数詞＋助数詞	1977年	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	数詞＋助数詞	3月	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	数詞＋助数詞	27日	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	数詞＋助数詞	5時	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-1	§6の語（テネリフェ）	カナリア諸島	1977年3月27日の夕方5時すぎ、スペインのカナリア諸島。
pr01-2	§6の語（テネリフェ）	テネリフェ	テネリフェ島にある空港の滑走路は、雲の中にあった。
pr01-2	§6の語（テネリフェ）	滑走路	テネリフェ島にある空港の滑走路は、雲の中にあった。
pr02-1	§6の語（テネリフェ）	滑走路	その滑走路に、ボーイング747が2機いた。
pr02-2	同形異音語（一般）	人	当時、旅客機でいちばん大きかった機体である。どちらにも数百人がいた。
pr02-2	§6の語（9.11）	機体	当時、旅客機でいちばん大きかった機体である。どちらにも数百人がいた。
pr03-1	同形異音語（実績）	方	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-1	同形異音語（実績）	方	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-1	同形異音語（一般）	上	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-1	§6の語（テネリフェ）	離陸	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-1	§6の語（テネリフェ）	滑走路	片方は離陸のために加速し、もう片方はまだ同じ滑走路の上にいた。
pr03-2	同形異音語（一般）	日	この日、583人が亡くなった。
pr03-2	同形異音語（一般）	人	この日、583人が亡くなった。
pr03-2	数詞＋助数詞	583人	この日、583人が亡くなった。
pr04-2	§6の語（テネリフェ）	二機	なぜ、二機は同じ滑走路にいたのか。
pr04-2	§6の語（テネリフェ）	滑走路	なぜ、二機は同じ滑走路にいたのか。
pr04-3	§6の語（テネリフェ）	二機	二機とも、来るはずのない空港にいた
pr05-1	数詞＋助数詞	9時	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。
pr05-1	§6-1の語	K	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。
pr05-1	§6の語（テネリフェ）	一機	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。
pr05-1	英字・記号	KLM	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。
pr05-2	§6の語（テネリフェ）	一機	もう一機は、パンアメリカン航空の1736便である。
pr06-1	同形異音語（一般）	日	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。
pr06-1	§6の語（9.11）	乗員	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。
pr06-1	§6の語（テネリフェ）	パンナム	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。
pr07-1	§6の語（テネリフェ）	グランカナリア	行き先は、グランカナリア島のラスパルマス空港である。
pr07-1	§6の語（テネリフェ）	ラスパルマス	行き先は、グランカナリア島のラスパルマス空港である。
pr07-2	同形異音語（一般）	物	二機が空を飛んでいるあいだに、その空港の建物で爆弾が爆発した。
pr07-2	§6の語（テネリフェ）	二機	二機が空を飛んでいるあいだに、その空港の建物で爆弾が爆発した。
pr08-1	§6の語（テネリフェ）	テネリフェ	空港は閉められ、行き場を失った便は隣のテネリフェ島へ回された。
pr08-2	数詞＋助数詞	1本	滑走路が1本しかない、小さな空港である。
pr08-2	§6の語（テネリフェ）	滑走路	滑走路が1本しかない、小さな空港である。
pr09-1	同形異音語（一般）	上	その1本の上で、二機は向き合うことになる。
pr09-1	数詞＋助数詞	1本	その1本の上で、二機は向き合うことになる。
pr09-1	§6の語（テネリフェ）	二機	その1本の上で、二機は向き合うことになる。
pr09-2	文頭の数字	1	17時06分50秒、二機はぶつかった。
pr09-2	数詞＋助数詞	17時	17時06分50秒、二機はぶつかった。
pr09-2	数詞＋助数詞	06分	17時06分50秒、二機はぶつかった。
pr09-2	数詞＋助数詞	50秒	17時06分50秒、二機はぶつかった。
pr09-2	§6の語（テネリフェ）	二機	17時06分50秒、二機はぶつかった。
pr09-3	同形異音語（一般）	生	生きて機体から出られたのは、61人だけである。
pr09-3	同形異音語（一般）	人	生きて機体から出られたのは、61人だけである。
pr09-3	数詞＋助数詞	61人	生きて機体から出られたのは、61人だけである。
pr09-3	§6の語（9.11）	機体	生きて機体から出られたのは、61人だけである。
pr10-2	§6の語（9.11）	操縦室	スペインが出した事故報告書と、操縦室の録音の書き起こし。
pr10-2	§6の語（コロンビア号）	報告書	スペインが出した事故報告書と、操縦室の録音の書き起こし。
pr10-2	§6の語（テネリフェ）	操縦室	スペインが出した事故報告書と、操縦室の録音の書き起こし。
pr10-2	§6の語（テネリフェ）	書き起こし	スペインが出した事故報告書と、操縦室の録音の書き起こし。
pr10-3	§6の語（コロンビア号）	報告書	時刻は、報告書と同じ世界共通の時計で言う。
pr11-1	同形異音語（一般）	一	追いかける問いは、二つある。一つは、なぜ二機がそこに集まったのか。
pr11-1	§6の語（テネリフェ）	二機	追いかける問いは、二つある。一つは、なぜ二機がそこに集まったのか。
pr11-2	鉤括弧	「	そして、なぜ「まだ滑走路にいる」という声が届かなかったのか。
pr11-2	鉤括弧	」	そして、なぜ「まだ滑走路にいる」という声が届かなかったのか。
pr11-2	§6の語（テネリフェ）	滑走路	そして、なぜ「まだ滑走路にいる」という声が届かなかったのか。
c101-1	数詞＋助数詞	1970年	ボーイング747は、ジャンボ機と呼ばれ、1970年から飛び始めた。
c101-2	同形異音語（一般）	日	この日ぶつかった二機は、どちらもこの型である。
c101-2	§6の語（テネリフェ）	二機	この日ぶつかった二機は、どちらもこの型である。
c102-1	数詞＋助数詞	1971年	KLMの機体は、登録記号がPH-BUFという1971年製の747。
c102-1	§6-1の語	K	KLMの機体は、登録記号がPH-BUFという1971年製の747。
c102-1	§6の語（9.11）	機体	KLMの機体は、登録記号がPH-BUFという1971年製の747。
c102-1	英字・記号	KLM	KLMの機体は、登録記号がPH-BUFという1971年製の747。
c102-1	英字・記号	PH	KLMの機体は、登録記号がPH-BUFという1971年製の747。
c102-1	英字・記号	BUF	KLMの機体は、登録記号がPH-BUFという1971年製の747。
c102-2	同形異音語（一般）	日	この日までに21,195時間飛び、5,202回着陸していた。
c102-2	数詞＋助数詞	195時	この日までに21,195時間飛び、5,202回着陸していた。
c102-2	数詞＋助数詞	202回	この日までに21,195時間飛び、5,202回着陸していた。
c102-2	§6の語（テネリフェ）	着陸	この日までに21,195時間飛び、5,202回着陸していた。
c102-2	桁区切りの数	21,195	この日までに21,195時間飛び、5,202回着陸していた。
c102-2	桁区切りの数	5,202	この日までに21,195時間飛び、5,202回着陸していた。
c103-1	数詞＋助数詞	1970年	パンナムの機体はN736PA、1970年1月に作られたものである。
c103-1	数詞＋助数詞	1月	パンナムの機体はN736PA、1970年1月に作られたものである。
c103-1	§6の語（9.11）	機体	パンナムの機体はN736PA、1970年1月に作られたものである。
c103-1	§6の語（テネリフェ）	パンナム	パンナムの機体はN736PA、1970年1月に作られたものである。
c103-1	英字・記号	N	パンナムの機体はN736PA、1970年1月に作られたものである。
c103-1	英字・記号	PA	パンナムの機体はN736PA、1970年1月に作られたものである。
c103-2	同形異音語（実績）	間	飛んだ時間は25,725時間で、KLM機より長く働いていた。
c103-2	同形異音語（実績）	間	飛んだ時間は25,725時間で、KLM機より長く働いていた。
c103-2	数詞＋助数詞	725時	飛んだ時間は25,725時間で、KLM機より長く働いていた。
c103-2	§6-1の語	K	飛んだ時間は25,725時間で、KLM機より長く働いていた。
c103-2	桁区切りの数	25,725	飛んだ時間は25,725時間で、KLM機より長く働いていた。
c103-2	英字・記号	KLM	飛んだ時間は25,725時間で、KLM機より長く働いていた。
c104-1	§6-1の語	K	KLMの4805便は、定期便ではない。
c104-1	英字・記号	KLM	KLMの4805便は、定期便ではない。
c104-3	§6の語（テネリフェ）	ラスパルマス	アムステルダムとラスパルマスを往復する予定だった。
c105-1	同形異音語（一般）	日	出発はアムステルダムのスキポール空港、27日の朝9時ちょうど。
c105-1	数詞＋助数詞	27日	出発はアムステルダムのスキポール空港、27日の朝9時ちょうど。
c105-1	数詞＋助数詞	9時	出発はアムステルダムのスキポール空港、27日の朝9時ちょうど。
c105-1	§6の語（テネリフェ）	スキポール	出発はアムステルダムのスキポール空港、27日の朝9時ちょうど。
c105-2	同形異音語（一般）	人	事故のときに乗っていたのは、乗員14人と乗客234人である。
c105-2	同形異音語（一般）	人	事故のときに乗っていたのは、乗員14人と乗客234人である。
c105-2	数詞＋助数詞	14人	事故のときに乗っていたのは、乗員14人と乗客234人である。
c105-2	数詞＋助数詞	234人	事故のときに乗っていたのは、乗員14人と乗客234人である。
c105-2	§6の語（9.11）	乗員	事故のときに乗っていたのは、乗員14人と乗客234人である。
c106-1	同形異音語（実績）	間	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	同形異音語（実績）	間	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	数詞＋助数詞	700時	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	§6-1の語	K	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	§6の語（テネリフェ）	フェルトハイゼン	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	§6の語（テネリフェ）	ファン・ザンテン	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	桁区切りの数	11,700	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-1	英字・記号	KLM	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は11,700時間。
c106-2	同形異音語（実績）	間	そのうち747での時間は、1,545時間だった。
c106-2	同形異音語（実績）	間	そのうち747での時間は、1,545時間だった。
c106-2	数詞＋助数詞	545時	そのうち747での時間は、1,545時間だった。
c106-2	桁区切りの数	1,545	そのうち747での時間は、1,545時間だった。
c107-1	同形異音語（一般）	上	この機長は、KLMの飛行訓練でいちばん上の立場にいた人である。
c107-1	同形異音語（一般）	人	この機長は、KLMの飛行訓練でいちばん上の立場にいた人である。
c107-1	§6-1の語	K	この機長は、KLMの飛行訓練でいちばん上の立場にいた人である。
c107-1	英字・記号	KLM	この機長は、KLMの飛行訓練でいちばん上の立場にいた人である。
c107-2	同形異音語（一般）	事	教官の仕事を、10年以上続けていた。
c107-2	数詞＋助数詞	10年	教官の仕事を、10年以上続けていた。
c108-1	同形異音語（実績）	間	副操縦士はミュールス。飛んだ時間は9,200時間である。
c108-1	同形異音語（実績）	間	副操縦士はミュールス。飛んだ時間は9,200時間である。
c108-1	数詞＋助数詞	200時	副操縦士はミュールス。飛んだ時間は9,200時間である。
c108-1	§6の語（テネリフェ）	副操縦士	副操縦士はミュールス。飛んだ時間は9,200時間である。
