scene	decision	chosen	takes	flags	text
c619-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（2.98秒地点・振幅9411＝本文の1.2倍） || take2: clean	そこにあった時間は、2時間45分だった。
pr03-2	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 170ms の音（5.55秒地点・振幅11034＝本文の1.1倍） || take2: 末尾に余計な音: 100ms の無音 → 130ms の音（5.47秒地点・振幅11311＝本文の0.9倍） || take3: clean	その502人のうち、半分以上が21歳から30歳だった。
pr04-3	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（3.37秒地点・振幅17611＝本文の1.8倍） || take2: 末尾に余計な音: 90ms の無音 → 130ms の音（3.31秒地点・振幅24449＝本文の2.4倍） || take3: clean	朝のうちに、5階の食堂のゆかが盛り上がった
pr07-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 170ms の音（4.63秒地点・振幅14605＝本文の1.2倍） || take2: clean	売り上げは全国の百貨店で7番目という、大きな店だった。
pr09-3	clean	2	2	take1: 末尾に余計な音: 2330ms の無音 → 80ms の音（7.50秒地点・振幅8642＝本文の1.0倍） || take2: clean	7月19日までに、932人ががれきから助け出された。
pr11-2	clean	2	2	take1: 途中に浮いた音: 120ms（1.68秒地点・振幅17204＝本文の1.3倍／前120ms・後120ms の無音） || take2: clean	崩れるような形になっていったのか。そしてなぜ、
c111-3	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（2.82秒地点・振幅10731＝本文の1.1倍） || take2: clean	それでも、店そのものは開いたままだった。
c114-1	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（4.10秒地点・振幅9512＝本文の1.0倍） || take2: clean	この日のできごとは、その日のうちに会社の上まで伝わった。
c202-1	clean	2	2	take1: 途中に浮いた音: 210ms（5.24秒地点・振幅30923＝本文の2.7倍／前1040ms・後80ms の無音） || take2: clean	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c204-2	clean	2	2	take1: 末尾に余計な音: 300ms の無音 → 170ms の音（7.19秒地点・振幅23450＝本文の2.2倍）; 途中に浮いた音: 210ms（1.58秒地点・振幅19458＝本文の1.8倍／前330ms・後80ms の無音） || take2: clean	きたがA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-3	unsure	1	3	take1: 先頭に余計な音: 130ms の音（振幅18016＝本文の1.3倍）のあと 130ms の無音 || take2: 末尾に余計な音: 80ms の無音 → 130ms の音（4.71秒地点・振幅15437＝本文の1.1倍）; 先頭に余計な音: 130ms の音（振幅14556＝本文の1.1倍）のあと 120ms の無音 || take3: 先頭に余計な音: 130ms の音（振幅22582＝本文の1.8倍）のあと 130ms の無音	1階から3階が売り場、4階と5階がスポーツ施設だった。
c205-3	clean	2	2	take1: 途中に浮いた音: 220ms（3.31秒地点・振幅13426＝本文の1.0倍／前80ms・後110ms の無音） || take2: clean	なお、この先に出てくる看板は、崩れずに残った南のむねのものだ。
c207-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 170ms の音（4.87秒地点・振幅20920＝本文の2.1倍） || take2: clean	その6つの階のうち、5階だけが売り場ではなく食堂街だった。
c218-2	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（2.71秒地点・振幅15988＝本文の1.3倍） || take2: 末尾に余計な音: 100ms の無音 → 160ms の音（2.79秒地点・振幅15449＝本文の1.3倍）; 途中に浮いた音: 230ms（1.43秒地点・振幅27881＝本文の2.4倍／前140ms・後80ms の無音） || take3: clean	はじめの計画は、百貨店ではなかった
c308-1	clean	2	2	take1: 先頭に余計な音: 130ms の音（振幅30933＝本文の2.5倍）のあと 110ms の無音 || take2: clean	国会の報告書が書いているのは、次の一行である。
c311-2	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 140ms の音（2.90秒地点・振幅19630＝本文の2.0倍） || take2: clean	報告書が数えただけで11か所あった。
c313-1	clean	3	3	take1: 途中に浮いた音: 240ms（1.45秒地点・振幅25501＝本文の2.4倍／前310ms・後80ms の無音） || take2: 末尾に余計な音: 100ms の無音 → 140ms の音（4.47秒地点・振幅14677＝本文の1.3倍）; 途中に浮いた音: 240ms（1.38秒地点・振幅26972＝本文の2.3倍／前200ms・後110ms の無音） || take3: clean	この建物では、設計と監理を同じ設計事務所が受け持った。
c314-2	real	1	3	take1: 途中に浮いた音: 180ms（3.83秒地点・振幅23902＝本文の1.8倍／前80ms・後420ms の無音） || take2: 途中に浮いた音: 200ms（3.57秒地点・振幅18425＝本文の1.7倍／前80ms・後420ms の無音） || take3: 途中に浮いた音: 220ms（3.52秒地点・振幅26732＝本文の2.0倍／前80ms・後260ms の無音）	報告書はこれを、工事の一貫性を失った、と書いている。
c321-2	real	1	3	take1: 先頭に余計な音: 160ms の音（振幅30444＝本文の3.0倍）のあと 130ms の無音 || take2: 先頭に余計な音: 130ms の音（振幅30580＝本文の3.4倍）のあと 160ms の無音 || take3: 先頭に余計な音: 140ms の音（振幅24781＝本文の2.3倍）のあと 160ms の無音	たったあと手入れをする、という段階ごとに、
c402-2	clean	2	2	take1: 先頭に余計な音: 120ms の音（振幅18426＝本文の2.0倍）のあと 120ms の無音 || take2: clean	1基あたりの重さは28.7トン。中に水を入れると45.5トンになる。
c403-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 240ms の音（7.52秒地点・振幅26241＝本文の1.7倍） || take2: clean	それが3基。あわせて136.5トン、乗用車90台ぶんの重さが、
c408-2	clean	2	2	take1: 途中に浮いた音: 210ms（3.81秒地点・振幅9189＝本文の1.0倍／前80ms・後510ms の無音） || take2: clean	ゆかに設計どおり以上の重さがかからないようにすべきだった、としている。
c409-1	clean	2	2	take1: 先頭に余計な音: 140ms の音（振幅31119＝本文の2.4倍）のあと 120ms の無音 || take2: clean	こっかいの報告書は、完全に解体せず、1つ8トンの部品に分けて、
c409-3	unsure	1	3	take1: 途中に浮いた音: 200ms（3.30秒地点・振幅20952＝本文の2.1倍／前100ms・後310ms の無音） || take2: 途中に浮いた音: 170ms（3.22秒地点・振幅14001＝本文の1.2倍／前110ms・後400ms の無音） || take3: 途中に浮いた音: 200ms（3.39秒地点・振幅21087＝本文の1.9倍／前100ms・後430ms の無音）	民事の判決は、解体せずに丸ごと引きずった、と書いている。
c411-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 110ms の音（2.69秒地点・振幅17966＝本文の1.6倍） || take2: clean	実際にかぶせてあったのは、15センチだった。
c412-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 170ms の音（2.95秒地点・振幅8075＝本文の1.3倍） || take2: 末尾に余計な音: 90ms の無音 → 170ms の音（2.87秒地点・振幅9745＝本文の1.3倍） || take3: clean	冷却塔を引きずった跡に、ひびがそだった
c413-2	real	1	3	take1: 途中に浮いた音: 160ms（1.17秒地点・振幅18416＝本文の1.7倍／前100ms・後130ms の無音） || take2: 途中に浮いた音: 170ms（1.36秒地点・振幅15437＝本文の1.7倍／前140ms・後140ms の無音） || take3: 途中に浮いた音: 160ms（1.26秒地点・振幅9450＝本文の1.0倍／前90ms・後140ms の無音）	冷却塔が通っていった経路。この2つを中心に、
c505-2	clean	2	2	take1: 途中に浮いた音: 250ms（4.35秒地点・振幅13149＝本文の1.3倍／前470ms・後90ms の無音） || take2: clean	判決文は、ふつうの建物では見かけないほど長い、と書いている。
c506-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 190ms の音（5.41秒地点・振幅10274＝本文の1.6倍） || take2: clean	梁が無くて、しかも間隔が長い。条件は厳しいほうだった。
c512-2	real	1	3	take1: 途中に浮いた音: 140ms（3.20秒地点・振幅14646＝本文の1.1倍／前90ms・後120ms の無音） || take2: 途中に浮いた音: 150ms（3.22秒地点・振幅17106＝本文の1.5倍／前80ms・後90ms の無音） || take3: 途中に浮いた音: 140ms（3.31秒地点・振幅17464＝本文の1.8倍／前110ms・後100ms の無音）	ゆかの上のほうには、ゆかが垂れるのを止める鉄筋を入れる。
c516-2	unsure	1	3	take1: 途中に浮いた音: 190ms（2.16秒地点・振幅7894＝本文の1.1倍／前120ms・後560ms の無音） || take2: 途中に浮いた音: 170ms（2.16秒地点・振幅7012＝本文の1.1倍／前100ms・後490ms の無音） || take3: 途中に浮いた音: 160ms（2.13秒地点・振幅8865＝本文の1.0倍／前110ms・後480ms の無音）	4センチから6センチ深かった、と書いている。
c518-2	real	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（2.50秒地点・振幅10714＝本文の1.0倍） || take2: 末尾に余計な音: 100ms の無音 → 170ms の音（2.45秒地点・振幅11752＝本文の0.9倍） || take3: 末尾に余計な音: 100ms の無音 → 170ms の音（2.39秒地点・振幅20300＝本文の1.4倍）	多くの場所で5センチほど薄かった。
c518-3	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（4.02秒地点・振幅10714＝本文の1.1倍）; 途中に浮いた音: 120ms（2.13秒地点・振幅16631＝本文の1.6倍／前300ms・後120ms の無音） || take2: 末尾に余計な音: 100ms の無音 → 120ms の音（4.28秒地点・振幅15362＝本文の1.6倍）; 途中に浮いた音: 120ms（2.29秒地点・振幅11516＝本文の1.2倍／前360ms・後100ms の無音） || take3: 末尾に余計な音: 110ms の無音 → 120ms の音（4.20秒地点・振幅15348＝本文の1.3倍）; 途中に浮いた音: 130ms（2.21秒地点・振幅16005＝本文の1.4倍／前260ms・後140ms の無音）	厚さ15センチのその板が、1か所まるごと付いていなかった。
c521-1	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（3.70秒地点・振幅11083＝本文の1.4倍） || take2: 末尾に余計な音: 80ms の無音 → 110ms の音（3.73秒地点・振幅20599＝本文の2.3倍） || take3: 末尾に余計な音: 100ms の無音 → 130ms の音（3.79秒地点・振幅10008＝本文の1.2倍）	しかも先を曲げて引っかける留め方も、されていなかった。
c522-1	clean	2	2	take1: 途中に浮いた音: 140ms（4.08秒地点・振幅11181＝本文の1.1倍／前100ms・後80ms の無音） || take2: clean	重い屋上。細い柱。沈んだ鉄筋。
c605-1	clean	2	2	take1: 途中に浮いた音: 210ms（1.06秒地点・振幅13282＝本文の1.1倍／前80ms・後640ms の無音） || take2: clean	午後3時10分、一人の構造技術者が現場に着いた。
c608-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（3.52秒地点・振幅11201＝本文の0.9倍） || take2: clean	その文の前半は、建物の状態についてだった。
c612-1	clean	2	2	take1: 途中に浮いた音: 190ms（1.33秒地点・振幅12854＝本文の0.9倍／前120ms・後960ms の無音） || take2: clean	午後5時30分。施設の部門の担当者たちが、
c618-2	clean	2	2	take1: 先頭に余計な音: 160ms の音（振幅31464＝本文の4.7倍）のあと 160ms の無音 || take2: clean	はっきり書いている。
c705-2	clean	3	3	take1: 途中に浮いた音: 190ms（0.96秒地点・振幅14941＝本文の1.2倍／前110ms・後260ms の無音） || take2: 途中に浮いた音: 180ms（0.95秒地点・振幅15232＝本文の1.2倍／前120ms・後260ms の無音） || take3: clean	行き場を失って、となりの柱のほうへ回される。
c709-1	clean	2	2	take1: 先頭に余計な音: 150ms の音（振幅30548＝本文の2.6倍）のあと 80ms の無音 || take2: clean	国会の報告書は、崩れた順番をこう判断している。
c709-2	clean	2	2	take1: 末尾に余計な音: 1670ms の無音 → 110ms の音（6.53秒地点・振幅30778＝本文の2.4倍） || take2: clean	まず屋上と5階のゆかが落ち、その下の階が続いた、と。
c710-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（3.36秒地点・振幅16997＝本文の1.2倍） || take2: clean	先に落ちたのは、屋上と5階のゆかだった
c711-2	clean	2	2	take1: 末尾に余計な音: 130ms の無音 → 130ms の音（3.63秒地点・振幅10444＝本文の1.2倍） || take2: clean	落ちたゆかは、下の階のゆかに直接ぶつかっていった。
c713-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 130ms の音（3.86秒地点・振幅8991＝本文の0.9倍） || take2: clean	南のむねは、通路が切れた形でその場に残った。
c716-2	unsure	1	3	take1: 先頭に余計な音: 190ms の音（振幅27940＝本文の3.1倍）のあと 130ms の無音 || take2: 先頭に余計な音: 200ms の音（振幅26020＝本文の2.6倍）のあと 140ms の無音 || take3: 先頭に余計な音: 150ms の音（振幅32563＝本文の3.4倍）のあと 120ms の無音	知っている人はまだ誰もいなかった。
c807-1	clean	2	2	take1: 途中に浮いた音: 170ms（2.04秒地点・振幅13565＝本文の1.2倍／前140ms・後360ms の無音） || take2: clean	7月19日までに入った消防・警察・軍・市の職員は、のべ6万8,808人。
c810-1	clean	3	3	take1: 末尾に余計な音: 140ms の無音 → 140ms の音（4.82秒地点・振幅20233＝本文の1.9倍）; 途中に浮いた音: 150ms（4.53秒地点・振幅10854＝本文の1.0倍／前140ms・後140ms の無音） || take2: 途中に浮いた音: 150ms（4.24秒地点・振幅14132＝本文の1.2倍／前90ms・後110ms の無音） || take3: clean	家族は、人を探す貼り紙に名前と顔写真を書いて貼っていった。
c811-1	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 140ms の音（2.98秒地点・振幅18810＝本文の2.0倍） || take2: 末尾に余計な音: 80ms の無音 → 120ms の音（2.84秒地点・振幅15659＝本文の1.5倍） || take3: clean	行方不明者 の数は、なかなか固まらなかった。
c812-1	clean	2	2	take1: 途中に浮いた音: 130ms（6.83秒地点・振幅11148＝本文の1.1倍／前80ms・後80ms の無音） || take2: clean	7月9日の朝8時20分ごろ。崩れてから230時間がたっていた。
c905-2	real	1	3	take1: 途中に浮いた音: 220ms（1.14秒地点・振幅14750＝本文の1.3倍／前110ms・後270ms の無音） || take2: 途中に浮いた音: 190ms（1.17秒地点・振幅11434＝本文の1.2倍／前100ms・後400ms の無音） || take3: 途中に浮いた音: 200ms（1.19秒地点・振幅14818＝本文の1.3倍／前100ms・後260ms の無音）	戸籍の整理によって、30人が亡くなったこととして確定した。
c911-2	clean	2	2	take1: 途中に浮いた音: 190ms（0.84秒地点・振幅28133＝本文の3.0倍／前270ms・後80ms の無音） || take2: clean	1つは、百貨店が誰でも出入りできる場所だったこと。
c912-2	clean	2	2	take1: 途中に浮いた音: 210ms（3.63秒地点・振幅14080＝本文の1.3倍／前470ms・後390ms の無音） || take2: clean	夕食の支度のために人が集まる時間だった、と白書は書いている。
ep03-2	unsure	1	3	take1: 途中に浮いた音: 160ms（1.23秒地点・振幅26924＝本文の2.8倍／前320ms・後100ms の無音） || take2: 途中に浮いた音: 180ms（1.35秒地点・振幅30480＝本文の3.0倍／前300ms・後90ms の無音） || take3: 途中に浮いた音: 140ms（1.22秒地点・振幅30929＝本文の2.9倍／前240ms・後110ms の無音）	実際に建て、たったあと手入れをする、という段階に分かれる。
ep05-3	unsure	1	3	take1: 途中に浮いた音: 180ms（3.22秒地点・振幅28087＝本文の2.9倍／前270ms・後150ms の無音） || take2: 途中に浮いた音: 240ms（2.93秒地点・振幅28711＝本文の2.9倍／前200ms・後110ms の無音） || take3: 途中に浮いた音: 250ms（3.26秒地点・振幅30035＝本文の3.0倍／前310ms・後110ms の無音）	禁錮1年6か月とされた2人には、執行猶予がついている。
ep09-1	clean	3	3	take1: 途中に浮いた音: 240ms（1.95秒地点・振幅12880＝本文の1.2倍／前100ms・後360ms の無音） || take2: 末尾に余計な音: 100ms の無音 → 100ms の音（3.74秒地点・振幅10277＝本文の1.0倍） || take3: clean	どこか一つの段階が悪かった、という判決ではなかった。
ep11-1	real	1	3	take1: 途中に浮いた音: 200ms（2.73秒地点・振幅25879＝本文の2.1倍／前140ms・後480ms の無音） || take2: 途中に浮いた音: 190ms（2.62秒地点・振幅20167＝本文の1.8倍／前140ms・後300ms の無音） || take3: 途中に浮いた音: 180ms（2.78秒地点・振幅26492＝本文の2.1倍／前150ms・後520ms の無音）	火災・爆発・崩壊といった、自然災害ではない事故を災難と決め、
ep13-2	clean	2	2	take1: 末尾に余計な音: 930ms の無音 → 200ms の音（3.84秒地点・振幅11360＝本文の1.0倍） || take2: clean	いちばん多くの人が亡くなった事故になるだろう、と。
ep13-3	clean	2	2	take1: 途中に浮いた音: 230ms（5.20秒地点・振幅11258＝本文の1.2倍／前100ms・後80ms の無音） || take2: clean	自然災害をのぞけば、それまでの最多は326人が亡くなった船の沈没である。
ep14-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（5.92秒地点・振幅8961＝本文の1.0倍） || take2: clean	会社の上まで伝わってもいた。それでも、店は開いたままだった。
c506-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 110ms の音（5.09秒地点・振幅8116＝本文の1.0倍） || take2: 末尾に余計な音: 90ms の無音 → 170ms の音（5.35秒地点・振幅11058＝本文の1.3倍） || take3: clean	はりが無くて、しかも間隔が長い。条件は厳しいほうだった。
c705-2	real	1	3	take1: 途中に浮いた音: 180ms（0.98秒地点・振幅12573＝本文の1.2倍／前110ms・後230ms の無音） || take2: 途中に浮いた音: 180ms（1.04秒地点・振幅10835＝本文の1.2倍／前110ms・後260ms の無音） || take3: 途中に浮いた音: 210ms（1.04秒地点・振幅10156＝本文の1.1倍／前110ms・後240ms の無音）	いきばを失って、となりの柱のほうへ回される。
c506-2	real	1	3	take1: 末尾に余計な音: 90ms の無音 → 140ms の音（5.38秒地点・振幅15576＝本文の2.1倍） || take2: 末尾に余計な音: 100ms の無音 → 160ms の音（5.68秒地点・振幅8718＝本文の1.0倍） || take3: 末尾に余計な音: 80ms の無音 → 160ms の音（5.36秒地点・振幅8157＝本文の1.1倍）	はりが無くて、しかも間隔が長い。条件は厳しいほうだった。
c506-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 170ms の音（5.14秒地点・振幅8128＝本文の1.0倍） || take2: clean	はりが無くて、しかも間隔が長い。条件は厳しいほうだった。
c506-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 140ms の音（5.30秒地点・振幅15162＝本文の2.2倍） || take2: clean	はりが無くて、しかも間隔が長い。条件は厳しいほうだった。
c522-1	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 190ms の音（4.21秒地点・振幅8543＝本文の1.1倍） || take2: 途中に浮いた音: 130ms（4.22秒地点・振幅9321＝本文の0.9倍／前90ms・後130ms の無音） || take3: 末尾に余計な音: 90ms の無音 → 220ms の音（4.66秒地点・振幅15054＝本文の1.6倍）	重い屋上。ほそい柱。沈んだ鉄筋。
c807-1	unsure	1	3	take1: 途中に浮いた音: 200ms（1.94秒地点・振幅14373＝本文の1.3倍／前120ms・後430ms の無音） || take2: 途中に浮いた音: 240ms（1.87秒地点・振幅16396＝本文の1.6倍／前130ms・後130ms の無音） || take3: 途中に浮いた音: 190ms（1.81秒地点・振幅16594＝本文の1.6倍／前110ms・後290ms の無音）	7月19日までに入った消防・警察・軍・市の職員は、のべ68,808人。
c821-2	clean	3	3	take1: 途中に浮いた音: 210ms（3.75秒地点・振幅30689＝本文の2.8倍／前100ms・後140ms の無音） || take2: 末尾に余計な音: 110ms の無音 → 200ms の音（5.40秒地点・振幅10046＝本文の1.0倍） || take3: clean	運び出す34,000トンのうち、サンマンハッピャクキュウジュウニトンが終わっている。
c520-2	unsure	1	3	take1: 先頭に余計な音: 190ms の音（振幅25829＝本文の2.4倍）のあと 80ms の無音 || take2: 先頭に余計な音: 170ms の音（振幅29714＝本文の2.6倍）のあと 100ms の無音 || take3: 先頭に余計な音: 180ms の音（振幅31406＝本文の2.8倍）のあと 90ms の無音	てっきんの太さの、40倍である。実際に入っていた長さは、
c807-1	unsure	2	3	take1: 途中に浮いた音: 200ms（2.00秒地点・振幅13914＝本文の1.3倍／前130ms・後370ms の無音）; 途中に浮いた音: 180ms（8.49秒地点・振幅30833＝本文の2.9倍／前140ms・後100ms の無音） || take2: 途中に浮いた音: 210ms（2.04秒地点・振幅21038＝本文の1.9倍／前140ms・後430ms の無音） || take3: 途中に浮いた音: 210ms（1.89秒地点・振幅15259＝本文の1.5倍／前130ms・後250ms の無音）	7月19日までに入った消防・警察・軍・市の職員は、のべロクマンハッセンハッピャクハチニン。
c821-2	clean	2	2	take1: 途中に浮いた音: 200ms（4.04秒地点・振幅29851＝本文の3.2倍／前280ms・後110ms の無音） || take2: clean	運び出すサンマンヨンセントンのうち、サンマンハッピャクキュウジュウニトンが終わっている。
c522-1	clean	3	3	take1: 末尾に余計な音: 130ms の無音 → 220ms の音（5.94秒地点・振幅7554＝本文の0.9倍）; 途中に浮いた音: 140ms（5.67秒地点・振幅7841＝本文の0.9倍／前80ms・後130ms の無音） || take2: 途中に浮いた音: 110ms（5.75秒地点・振幅14878＝本文の1.3倍／前90ms・後180ms の無音） || take3: clean	おもい おくじょう。ほそい柱。沈んだ鉄筋。
