行	型	該当	本文
pr01-1	文頭の数字	2	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr01-1	同形異音語（一般）	日	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr01-1	数詞＋助数詞	2003年	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr01-1	数詞＋助数詞	2月	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr01-1	数詞＋助数詞	1日	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr01-1	§6の語（コロンビア号）	ケネディ宇宙センター	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr02-1	同形異音語（実績）	間	着陸の予定は、現地時間の午前9時16分だった。
pr02-1	数詞＋助数詞	9時	着陸の予定は、現地時間の午前9時16分だった。
pr02-1	数詞＋助数詞	16分	着陸の予定は、現地時間の午前9時16分だった。
pr02-2	数詞＋助数詞	9時	だがコロンビア号は、9時00分18秒、テキサスの空でばらばらになった。
pr02-2	数詞＋助数詞	00分	だがコロンビア号は、9時00分18秒、テキサスの空でばらばらになった。
pr02-2	数詞＋助数詞	18秒	だがコロンビア号は、9時00分18秒、テキサスの空でばらばらになった。
pr03-1	同形異音語（一般）	人	乗っていたのは7人。全員が亡くなった。
pr03-1	数詞＋助数詞	7人	乗っていたのは7人。全員が亡くなった。
pr04-1	同形異音語（一般）	日	原因は、この日ではない。16日前の打ち上げにある。
pr04-1	同形異音語（一般）	上	原因は、この日ではない。16日前の打ち上げにある。
pr04-1	数詞＋助数詞	16日	原因は、この日ではない。16日前の打ち上げにある。
pr04-1	§6の語（コロンビア号）	打ち上げ	原因は、この日ではない。16日前の打ち上げにある。
pr04-2	§6の語（9.11）	機体	技術者は、軌道の機体を撮ってくれと求めた。
pr04-2	§6の語（コロンビア号）	軌道	技術者は、軌道の機体を撮ってくれと求めた。
pr05-1	同形異音語（一般）	上	打ち上げは2003年1月16日、午前10時39分。
pr05-1	同形異音語（一般）	日	打ち上げは2003年1月16日、午前10時39分。
pr05-1	数詞＋助数詞	2003年	打ち上げは2003年1月16日、午前10時39分。
pr05-1	数詞＋助数詞	1月	打ち上げは2003年1月16日、午前10時39分。
pr05-1	数詞＋助数詞	16日	打ち上げは2003年1月16日、午前10時39分。
pr05-1	数詞＋助数詞	10時	打ち上げは2003年1月16日、午前10時39分。
pr05-1	数詞＋助数詞	39分	打ち上げは2003年1月16日、午前10時39分。
pr05-1	§6の語（コロンビア号）	打ち上げ	打ち上げは2003年1月16日、午前10時39分。
pr05-2	小数	81.7	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
pr05-2	数詞＋助数詞	7秒	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
pr05-2	§6の語（SL-1）	覆う	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
pr05-2	§6の語（コロンビア号）	断熱材	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
pr06-1	小数	81.7	はがれたのが81.7秒。左の翼に当たったのが81.9秒。
pr06-1	小数	81.9	はがれたのが81.7秒。左の翼に当たったのが81.9秒。
pr06-1	数詞＋助数詞	7秒	はがれたのが81.7秒。左の翼に当たったのが81.9秒。
pr06-1	数詞＋助数詞	9秒	はがれたのが81.7秒。左の翼に当たったのが81.9秒。
pr06-1	§6の語（コロンビア号）	翼	はがれたのが81.7秒。左の翼に当たったのが81.9秒。
pr06-2	小数	0.2	そのあいだ、わずか0.2秒である。
pr06-2	数詞＋助数詞	2秒	そのあいだ、わずか0.2秒である。
pr07-1	同形異音語（一般）	日	気づいたのは翌日。一晩かけて現像したフィルムに写っていた。
pr07-2	§6の語（コロンビア号）	翼	技術者たちは、翼のどこが傷ついたのかを知ろうとした。
pr08-1	§6の語（コロンビア号）	軌道	軌道にいるコロンビア号を、望遠鏡か衛星で撮ってほしい。
pr09-1	文頭の数字	7	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。
pr09-1	同形異音語（一般）	人	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。
pr09-1	数詞＋助数詞	7人	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。
pr09-1	鉤括弧	「	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。
pr09-1	鉤括弧	」	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。
pr09-2	§6の語（コロンビア号）	翼	翼に穴が開いているとは、知らないままだった。
pr10-1	同形異音語（一般）	表	委員会は、乗員の最期の細かい事実は公表しないと決めている。
pr10-1	§6の語（9.11）	委員会	委員会は、乗員の最期の細かい事実は公表しないと決めている。
pr10-1	§6の語（9.11）	乗員	委員会は、乗員の最期の細かい事実は公表しないと決めている。
pr10-1	§6の語（コロンビア号）	委員会	委員会は、乗員の最期の細かい事実は公表しないと決めている。
pr11-1	§6の語（コロンビア号）	報告書	背骨になるのは、1冊の報告書である。
pr11-2	数詞＋助数詞	2003年	アメリカが作った独立の調査委員会が、2003年8月に出した。
pr11-2	数詞＋助数詞	8月	アメリカが作った独立の調査委員会が、2003年8月に出した。
pr11-2	§6の語（9.11）	委員会	アメリカが作った独立の調査委員会が、2003年8月に出した。
pr11-2	§6の語（コロンビア号）	委員会	アメリカが作った独立の調査委員会が、2003年8月に出した。
pr11-3	§6の語（9.11）	委員会	ここでは、事故調査委員会と呼ぶ。
pr11-3	§6の語（コロンビア号）	委員会	ここでは、事故調査委員会と呼ぶ。
pr12-2	同形異音語（一般）	一	一つ。かけら一つで、なぜ機体が壊れたのか。
pr12-2	同形異音語（一般）	一	一つ。かけら一つで、なぜ機体が壊れたのか。
pr12-2	§6の語（9.11）	機体	一つ。かけら一つで、なぜ機体が壊れたのか。
c101-1	同形異音語（一般）	日	コロンビア号が初めて飛んだのは、1981年4月12日。
c101-1	数詞＋助数詞	1981年	コロンビア号が初めて飛んだのは、1981年4月12日。
c101-1	数詞＋助数詞	4月	コロンビア号が初めて飛んだのは、1981年4月12日。
c101-1	数詞＋助数詞	12日	コロンビア号が初めて飛んだのは、1981年4月12日。
c102-1	同形異音語（一般）	人	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。
c102-1	数詞＋助数詞	2人	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。
c102-1	§6の語（コロンビア号）	ヤング	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。
c102-1	§6の語（コロンビア号）	クリッペン	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。
c102-2	文頭の数字	2	2日あまり回り、カリフォルニアの空軍基地に降りた。
c102-2	同形異音語（一般）	日	2日あまり回り、カリフォルニアの空軍基地に降りた。
c102-2	数詞＋助数詞	2日	2日あまり回り、カリフォルニアの空軍基地に降りた。
c103-1	数詞＋助数詞	3つ	スペースシャトルは、3つの部品で1組になっている。
c103-2	同形異音語（一般）	人	人が乗るオービタ。燃料をためる外部タンク。
c103-2	§6の語（コロンビア号）	オービタ	人が乗るオービタ。燃料をためる外部タンク。
c103-2	§6の語（コロンビア号）	外部タンク	人が乗るオービタ。燃料をためる外部タンク。
c103-3	同形異音語（一般）	上	打ち上げを担う、固体ロケットブースタが2本。
c103-3	数詞＋助数詞	2本	打ち上げを担う、固体ロケットブースタが2本。
c103-3	§6の語（コロンビア号）	打ち上げ	打ち上げを担う、固体ロケットブースタが2本。
c103-3	§6の語（コロンビア号）	固体ロケット	打ち上げを担う、固体ロケットブースタが2本。
c104-1	§6の語（コロンビア号）	オービタ	オービタは、小型の旅客機ほどの大きさがある。
c105-1	同形異音語（一般）	上	打ち上げのときの重さは、約2,040トン。
c105-1	§6の語（コロンビア号）	打ち上げ	打ち上げのときの重さは、約2,040トン。
c105-2	数詞＋助数詞	8分	それを8分あまりで、音の25倍の速さまで加速する。
c105-2	数詞＋助数詞	25倍	それを8分あまりで、音の25倍の速さまで加速する。
c106-1	§6の語（コロンビア号）	外部タンク	いちばん大きいのは、真ん中のオレンジ色の外部タンクである。
c106-2	小数	46.9	全長は約46.9メートル、太さは約8.4メートルある。
c106-2	小数	8.4	全長は約46.9メートル、太さは約8.4メートルある。
c106-2	数詞＋助数詞	9メートル	全長は約46.9メートル、太さは約8.4メートルある。
c106-2	数詞＋助数詞	4メートル	全長は約46.9メートル、太さは約8.4メートルある。
c107-2	§6の語（コロンビア号）	断熱材	沸かさず、外に氷を作らないために、断熱材で覆ってある。
c108-1	§6の語（コロンビア号）	断熱材	断熱材はよく効いていて、表面は少しひんやりする程度。
c108-2	小数	2.5	厚さは約2.5センチ（1インチ）ほどしかない。
c108-2	数詞＋助数詞	5センチ	厚さは約2.5センチ（1インチ）ほどしかない。
c108-2	数詞＋助数詞	1インチ	厚さは約2.5センチ（1インチ）ほどしかない。
c109-1	数詞＋助数詞	2本	オービタの先と外部タンクは、2本の支柱でつないである。
c109-1	§6の語（コロンビア号）	オービタ	オービタの先と外部タンクは、2本の支柱でつないである。
c109-1	§6の語（コロンビア号）	外部タンク	オービタの先と外部タンクは、2本の支柱でつないである。
c109-2	§6の語（コロンビア号）	バイポッド	バイポッドという。その付け根だけは、機械で吹き付けられない。
c109-3	1モーラ語＋助詞	手で	人の手で吹き付け、乾かしてから、手で削って形を作っていた。
c109-3	同形異音語（一般）	人	人の手で吹き付け、乾かしてから、手で削って形を作っていた。
c110-1	同形異音語（一般）	上	その手作りの盛り上がりを調べる方法は、ひとつだけだった。
c110-2	1モーラ語＋助詞	目で	検査は、目で見るだけだった
c110-2	同形異音語（一般）	目	検査は、目で見るだけだった
c111-1	§6の語（コロンビア号）	翼	翼の前のふちは、RCCという炭素の板でできている。
c111-1	§6の語（コロンビア号）	前のふち	翼の前のふちは、RCCという炭素の板でできている。
c111-1	§6の語（コロンビア号）	RCC	翼の前のふちは、RCCという炭素の板でできている。
c111-1	§6の語（コロンビア号）	炭素	翼の前のふちは、RCCという炭素の板でできている。
c111-1	英字・記号	RCC	翼の前のふちは、RCCという炭素の板でできている。
c111-2	同形異音語（実績）	方	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
c111-2	数詞＋助数詞	22枚	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
c111-2	§6の語（コロンビア号）	強化炭素	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
c111-2	§6の語（コロンビア号）	炭素	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
c111-2	§6の語（コロンビア号）	翼	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
c112-1	§6の語（コロンビア号）	再突入	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。
c112-1	§6の語（コロンビア号）	翼	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。
c112-1	§6の語（コロンビア号）	前のふち	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。
c112-3	同形異音語（一般）	下	RCCは、その骨組みを約177度より下に保つためにある。
c112-3	§6の語（コロンビア号）	RCC	RCCは、その骨組みを約177度より下に保つためにある。
c112-3	英字・記号	RCC	RCCは、その骨組みを約177度より下に保つためにある。
c113-1	§6の語（コロンビア号）	RCC	RCCの設計の決まりには、耐えるべき力が書いてある。
c113-1	英字・記号	RCC	RCCの設計の決まりには、耐えるべき力が書いてある。
c113-2	小数	0.008	その値は0.008ジュール。1円玉を80センチ落とすほどの力。
c113-2	数詞＋助数詞	80センチ	その値は0.008ジュール。1円玉を80センチ落とすほどの力。
c114-3	数詞＋助数詞	1986年	うち1機は1986年に失われ、代わりの機体が1992年に加わった。
c114-3	数詞＋助数詞	1992年	うち1機は1986年に失われ、代わりの機体が1992年に加わった。
c114-3	§6の語（9.11）	機体	うち1機は1986年に失われ、代わりの機体が1992年に加わった。
c115-1	§6の語（9.11）	機体	コロンビア号だけ、古い基準で作られていて機体が重かった。
c115-2	§6の語（9.11）	機体	中に気密室を残していた、ただ1機の機体でもあった。
c116-1	同形異音語（一般）	物	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。
c116-1	§6の語（コロンビア号）	軌道	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。
c116-2	§6の語（9.11）	機体	だからこの機体は、研究のための飛行に多く使われた。
c117-1	文頭の数字	2	2003年1月、コロンビア号は初飛行から22年目に入っていた。
c117-1	同形異音語（一般）	目	2003年1月、コロンビア号は初飛行から22年目に入っていた。
c117-1	数詞＋助数詞	2003年	2003年1月、コロンビア号は初飛行から22年目に入っていた。
c117-1	数詞＋助数詞	1月	2003年1月、コロンビア号は初飛行から22年目に入っていた。
c117-1	数詞＋助数詞	22年	2003年1月、コロンビア号は初飛行から22年目に入っていた。
c117-2	同形異音語（一般）	下	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c117-2	同形異音語（一般）	物	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c117-2	同形異音語（一般）	上	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c117-2	数詞＋助数詞	44パーセント	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c117-2	§6の語（コロンビア号）	耐熱	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c117-2	§6の語（コロンビア号）	RCC	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c117-2	英字・記号	RCC	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c118-1	数詞＋助数詞	44枚	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
c118-1	数詞＋助数詞	41枚	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
c118-1	§6の語（コロンビア号）	翼	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
c118-1	§6の語（コロンビア号）	前のふち	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
c118-1	§6の語（コロンビア号）	RCC	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
