行	検査	何が	台本	聞取
pr06-1	1字の入れ替え	代	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を変えていた。
pr10-3	1字の入れ替え	言	時刻は、報告書と同じ世界共通の時計で言う。	時刻は報告書と同じ世界共通の時計でいう
c113-1	1字の入れ替え	代	ニューヨークのケネディ空港に6時17分に着き、乗員が代わった。	ニューヨークのケネディ空港に六時十七分に着き、乗員が変わった。
c118-3	1字の入れ替え	機	二機を合わせると、乗っていた人は644人になった。	二基を合わせると乗っていた人は六百四十四人になった。
c119-1	1字の入れ替え	要	747は大きいぶん、地上で置く場所も広く要る。	七四七は大きい分、地上で置く場所も広くいる。
c213-1	1字の入れ替え	停	KLM機は、駐機場に入れなかった。停められたのは誘導路である。	KLM機は駐機場に入れなかった。止められたのは誘導路である。
c214-1	1字の入れ替え	機	そのうしろに、3機が順に並んだ。	その後ろに三基が順に並んだ。
c215-1	頭欠け	None→1	いちばんうしろに、パンナムの747が停まった。	一番後ろにパンナムの747が止まった。
c215-1	1字の入れ替え	停	いちばんうしろに、パンナムの747が停まった。	一番後ろにパンナムの747が止まった。
c307-1	1字の入れ替え	行	平行誘導路が機体で埋まると、出ていく機体は通れなくなる。	平常誘導路が機体で埋まると出ていく機体は通れなくなる。
c309-1	1字の入れ替え	付	ただし、注意が付いていた。地上走行で問題が起きるかもしれない、と。	ただし注意がついていた。地上走行で問題が起きるかもしれないと。
c310-2	1字の入れ替え	機	あいだにいた3機は、先に出ていった。	間にいた三基は先に出て行った。
c316-1	同形異音語	側	30側の端は、610メートル。	三十川の橋は六百十メートル。
c316-1	1字の入れ替え	端	30側の端は、610メートル。	三十川の橋は六百十メートル。
c316-2	同形異音語	側	12側の端は、629メートル。	十二川の橋は六百二十九メートル。
c316-2	1字の入れ替え	端	12側の端は、629メートル。	十二川の橋は六百二十九メートル。
c316-3	頭欠け	None→1	いちばん高いのは、C-3という出口のあたりだと報告書は書いている。	一番高いのはC3という出口の辺りだと報告書は書いている。
c321-1	1字の入れ替え	足	行き先は、すぐ隣の島である。それでも、ここで足すことにした。	行き先はすぐ隣の島である。それでもここで絶つことにした。
c412-1	1字の入れ替え	延	変わったあとは、一切、延ばせない。	変わった後は一切伸ばせない。
c417-2	1字の入れ替え	無	ある時刻より前に離陸できるなら、問題は無さそうだ。	ある時刻より前に離陸できるなら問題はなさそうだ。
c508-2	1字の入れ替え	進	このころには、進入してくる側も、同じくらいまで下がっている。	この頃には侵入してくる側も同じくらいまで下がっている。
c510-2	1字の入れ替え	進	進入の側は500メートルで、ときどき5キロに戻る。	侵入の側は五百メートルで、時々五キロに戻る。
