scene	decision	chosen	takes	flags	text
c101-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 140ms の音（3.30秒地点・振幅12971＝本文の1.5倍） || take2: 末尾に余計な音: 90ms の無音 → 140ms の音（3.22秒地点・振幅10922＝本文の1.4倍） || take3: clean	アメリカが、水素爆弾の実験を行った。
c102-1	clean	2	2	take1: 末尾に余計な音: 1270ms の無音 → 40ms の音（11.40秒地点・振幅7215＝本文の1.1倍） || take2: clean	爆発は、広島の原爆のおよそせんばい。TNT火薬に直してせんごひゃくまんトンぶん。
c103-2	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（3.46秒地点・振幅7142＝本文の1.1倍） || take2: 末尾に余計な音: 110ms の無音 → 170ms の音（3.67秒地点・振幅5669＝本文の0.9倍） || take3: clean	爆発の威力は、予想よりはるかに大きかった
c104-1	real	1	3	take1: 途中に浮いた音: 210ms（4.08秒地点・振幅13505＝本文の1.7倍／前100ms・後440ms の無音） || take2: 途中に浮いた音: 190ms（4.17秒地点・振幅7592＝本文の1.2倍／前140ms・後370ms の無音） || take3: 途中に浮いた音: 220ms（4.31秒地点・振幅12994＝本文の1.8倍／前100ms・後310ms の無音）	爆発でまき上げられた、放射能を帯びた灰は、風に乗って東へ流れた。
c107-2	unsure	1	3	take1: 末尾に余計な音: 1030ms の無音 → 40ms の音（2.11秒地点・振幅9285＝本文の1.1倍） || take2: 末尾に余計な音: 120ms の無音 → 220ms の音（0.89秒地点・振幅10274＝本文の1.0倍） || take3: 末尾に余計な音: 120ms の無音 → 220ms の音（0.90秒地点・振幅8773＝本文の1.1倍）	よんじゅっさいだった。
c110-2	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 240ms の音（5.20秒地点・振幅13527＝本文の1.3倍）; 途中に浮いた音: 130ms（4.96秒地点・振幅14100＝本文の1.4倍／前350ms・後110ms の無音） || take2: 先頭に余計な音: 130ms の音（振幅28519＝本文の2.9倍）のあと 80ms の無音 || take3: clean	実験の司令部はそれを知りながら、遅い風なので心配ないと見て撃っている。
c112-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（7.68秒地点・振幅7619＝本文の0.9倍） || take2: clean	ビキニは日付変更線の西にあるので、アメリカ本土では、まだ にがつ にじゅうはちにちだった。
c201-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（5.59秒地点・振幅11396＝本文の1.6倍） || take2: clean	アメリカで水素爆弾の開発が始まったのは、せんきゅうひゃくごじゅうねんのことだった。
c208-2	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 200ms の音（6.20秒地点・振幅7595＝本文の1.2倍） || take2: 末尾に余計な音: 90ms の無音 → 120ms の音（6.12秒地点・振幅13152＝本文の1.9倍） || take3: clean	それを試すのが、せんきゅうひゃくごじゅうよねん春の「キャッスル作戦」だった。
c209-2	real	1	3	take1: 途中に浮いた音: 140ms（2.51秒地点・振幅19894＝本文の2.1倍／前790ms・後100ms の無音） || take2: 途中に浮いた音: 140ms（2.48秒地点・振幅24928＝本文の3.1倍／前850ms・後80ms の無音） || take3: 途中に浮いた音: 130ms（2.30秒地点・振幅17204＝本文の1.7倍／前750ms・後80ms の無音）	ごかいがビキニ環礁、いっかいがエニウェトク環礁である。
