場面	一致率	送った文	聞こえた文	送信文
pr01-1	1.000	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。	1986年1月28日の朝、アメリカフロリダの発射台は凍っていた。	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr01-2	0.981	鉄の足場から、30センチほどのつららが何本も下がっている。	鉄の足場から三十センチほどのつららが何本も下がっている。	鉄の足場から、30センチほどのつららが何本も下がっている。
pr02-1	1.000	午前11時38分、スペースシャトル「チャレンジャー号」が飛び立った。	午前11時38分、スペースシャトルチャレンジャー号が飛び立った。	午前11時38分、スペースシャトル「チャレンジャー号」が飛び立った。
pr02-2	1.000	打ち上げは、これで25回目だった。	打ち上げはこれで25回目だった。	打ち上げは、これで25回目だった。
pr03-1	0.810	その73秒後、機体は空の上でばらばらに壊れた。	その七十三秒後、機体は空の上でバラバラに壊れた。	その73秒後、機体は空の上でばらばらに壊れた。
pr03-2	1.000	乗っていた7人は、全員が亡くなっている。	乗っていた七人は全員が亡くなっている。	乗っていた7人は、全員が亡くなっている。
pr04-1	1.000	なぜ、この打ち上げは止まらなかったのか。	なぜこの打ち上げは止まらなかったのか。	なぜ、この打ち上げは止まらなかったのか。
pr04-2	0.909	前の夜、飛んでよいかを決める会議が開かれている。	前の夜、飛んで良いかを決める会議が開かれていた。	前の夜、飛んでよいかを決める会議が開かれている。
pr04-3	0.828	技術者は、ひとりも賛成しなかった	技術者は一人も賛成しなかった。	技術者は、ひとりも賛成しなかった
pr05-1	1.000	7人のうち2人は、職業の宇宙飛行士ではなかった。	七人のうち二人は職業の宇宙飛行士ではなかった。	7人のうち2人は、職業の宇宙飛行士ではなかった。
pr05-2	1.000	そのうち1人は、ニューハンプシャー州で教えていた現役の教師である。	そのうち一人はニューハンプシャー州で教えていた現役の教師である。	そのうち1人は、ニューハンプシャー州で教えていた現役の教師である。
pr05-3	1.000	名前を、クリスタ・マコーリフという。	名前をクリスタ・マコーリフという。	名前を、クリスタ・マコーリフという。
pr06-1	1.000	教えていたのは、中学生と高校生である。	教えていたのは中学生と高校生である。	教えていたのは、中学生と高校生である。
pr06-2	0.900	乗員に加わったのは、打ち上げの半年前だった。	上院に加わったのは打ち上げの半年前だった。	乗員に加わったのは、打ち上げの半年前だった。
pr07-1	0.963	壊れた原因は、機体の横に付いた細長い補助ロケットにあった。	壊れた原因は機体の横についた細長い補助ロケットにあった。	壊れた原因は、機体の横に付いた細長い補助ロケットにあった。
pr07-2	0.952	輪切りの筒をつないだ継ぎ目をふさいでいたのは、2本のゴムの輪である。	輪切りの筒をつないだ継ぎ目を塞いでいたのは二本のゴムの輪である。	わぎりの筒をつないだ継ぎ目をふさいでいたのは、2本のゴムの輪である。
pr07-3	1.000	太さは7ミリほど。自転車のタイヤのゴムに近い。	太さは七ミリほど。自転車のタイヤのゴムに近い。	太さは7ミリほど。自転車のタイヤのゴムに近い。
pr08-1	0.958	この日の気温は、摂氏2.2度。華氏でいえば36度である。	この日の気温は摂氏2.2度、華氏で言えば36度である。	この日の気温は、摂氏2.2度。華氏でいえば36度である。
pr08-2	0.978	過去のどの打ち上げよりも、摂氏で8.3度低かった。	過去のどの打ち上げよりも摂氏で八点三度低かった。	過去のどの打ち上げよりも、摂氏で8.3度低かった。
pr08-3	0.818	ゴムは冷えると硬くなり、すきまをふさぐのが遅れる。	ゴムは冷えると硬くなり、隙間を塞ぐのが遅れる。	ゴムは冷えると硬くなり、すきまをふさぐのが遅れる。
pr09-1	0.870	氷は、夜のあいだに発射台そのものにも張りついていた。	氷は夜の間に発射台そのものにも張り付いていた。	氷は、夜のあいだに発射台そのものにも張りついていた。
pr09-2	1.000	乗員が逃げるための通路まで、凍りついていた。	乗員が逃げるための通路まで凍りついていた。	乗員が逃げるための通路まで、凍りついていた。
pr10-1	0.963	この動画が使うのは、大統領の委員会がまとめた報告書である。	この動画が扱うのは、大統領の委員会がまとめた報告書である。	この動画が使うのは、大統領の委員会がまとめた報告書である。
pr10-2	1.000	1986年6月6日に出された、事故の調査報告書。	1986年6月6日に出された事故の調査報告書。	1986年6月6日に出された、事故の調査報告書。
