行	テイク数	判定	各テイクの聞取	本文
c101-2	1	採用（文字起こしが台本と合う）	take1: トルコ航空981便乗っていた346人は全員が亡くなった。	トルコ航空981便。乗っていた346人は、全員が亡くなった。
c303-1	1	採用（文字起こしが台本と合う）	take1: 高い空では機内の空気の圧力を外より高く保っている。これを与圧という。	高い空では、機内の空気の圧力を、外より高く保っている。これを「与圧」という。
c403-2	2	採用（文字起こしが台本と合う）	take1: 先方の貨物ドアが開いた。 || take2: 前方の貨物ドアが開いた。	前方の貨物ドアが開いた。
c416-2	1	採用（文字起こしが台本と合う）	take1: 客室の床の一部が下の貨物室へ落ち込んだ。	客室の床の一部が、下の貨物室へ落ちこんだ。
c418-1	1	採用（文字起こしが台本と合う）	take1: 機首を上げ下げする舵の効きが悪く、機長は左右のエンジンの力も借りて機首を支えた。	機首を上げ下げする舵の効きが悪く、機長は左右のエンジンの力も借りて機首を支えた。
c423-1	1	採用（文字起こしが台本と合う）	take1: NTSBは出発の準備で錠が正しくかからなかったことを原因とした。	NTSBは、出発の準備で、錠が正しくかからなかったことを原因とした。
c510-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 元上官は後の公聴会でこう説明している。簡単な部品で直せるとわかった。 || take2: 元長官は後の公聴会でこう説明している。簡単な部品で直せるとわかった。 || take3: 元上官は後の公聴会でこう説明している。簡単な部品で直せるとわかった。	元長官は、のちの公聴会でこう説明している。簡単な部品で直せると分かった。
c602-2	1	採用（文字起こしが台本と合う）	take1: 扱いは推奨。つまり勧めるだけで命令ではない。	扱いは「推奨」。つまり、すすめるだけで、命令ではない。
c607-2	1	採用（文字起こしが台本と合う）	take1: 旅客機の売り込みをめぐる汚職、ロッキード事件を調べる衆議院の委員会だった。	旅客機の売りこみをめぐる汚職、ロッキード事件を調べる衆議院の委員会だった。
c703-1	1	採用（文字起こしが台本と合う）	take1: 機長が飛んだ時間は合わせて七千時間を超えていた。	機長が飛んだ時間は、あわせて7000時間を超えていた。
c710-1	2	要耳（全テイク落ち・所見最少を採用）	take1: 荷貨が崩れ、座席の一部とともに乗客六人が機体の外へ投げ出された。 || take2: トゥカが崩れ、座席の一部とともに乗客六人が機体の外へ投げ出された。	床が崩れ、座席の一部とともに、乗客6人が機体の外へ投げ出された。
c712-1	2	採用（文字起こしが台本と合う）	take1: 断ったのは機首を上げ下げする尾翼の昇降舵などを動かすケーブルだ。 || take2: 傷んだのは、機種を上げ下げする尾翼の昇降舵などを動かすケーブルだ。	傷んだのは、機首を上げ下げする尾翼の「昇降舵」などを動かすケーブルだ。
c713-1	1	採用（文字起こしが台本と合う）	take1: 機首は下がり、速さはみるみる上がっていった。	機首は下がり、速さはみるみる上がっていった。
c821-1	1	採用（文字起こしが台本と合う）	take1: 要因は重なっていた。SB五十二の三十七が一部しか行われていなかったこと。	要因は重なっていた。SB 52-37が、一部しか行われていなかったこと。
c905-2	1	採用（文字起こしが台本と合う）	take1: 床下の貨物室に大きな穴が開いても、床が崩れないようにせよという命令だ。	床下の貨物室に大きな穴が開いても、床が崩れないようにせよ、という命令だ。
c906-2	1	採用（文字起こしが台本と合う）	take1: 畳一枚より少し大きい	畳1枚より、少し大きい。
c917-2	2	採用（文字起こしが台本と合う）	take1: 直す手立てもあった。だが、それは命令ではなく約束に任される。 || take2: 直す手立てもあった。だが、それは命令ではなく約束に任された。	直す手立てもあった。だが、それは命令ではなく、約束に任された。
