行	検査	何が	台本	聞取
pr01-2	字の欠け	区瑞草	韓国の首都ソウル、瑞草区にあった百貨店が崩れ落ちた。	韓国の首都ソウル、ソチョクにあった百貨店が崩れ落ちた。
pr05-1	1字の入れ替え	豊	三豊百貨店が店を開いたのは、1989年の12月である。	三分百貨店が店を開いたのは 1989年の12月である。
c101-1	1字の入れ替え	豊	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。	1995年6月29日木曜日。三分百貨店はこの日も店を開けた。
c102-3	1字の入れ替え	棟	このあと崩れるのは、北の棟のほうである。	この後崩れるのは北の宗の方である。
c112-1	1字の入れ替え	分	同じ時間に、もう一つのことが分かっていた。	同じ時間にもう一つのことがわかっていた。
c201-2	1字の入れ替え	豊	三豊百貨店を持っていたのは、三豊建設産業という会社である。	三分百貨店を持っていたのは三分建設産業という会社である。
c204-1	字の欠け	建棟	建っていたのは、同じ大きさの棟が2つである。	立っていたのは同じ大きさの胸が二つである。
c208-1	1字の入れ替え	催	売り場には、催しごとの垂れ幕がいくつも下がっていた。	売り場には模様師ごとの垂れ幕がいくつも下がっていた。
c208-2	1字の入れ替え	分	5階にも特設の売り場があったことが、写真から分かる。	五階にも特設の売り場があったことが写真からわかる。
c209-2	1字の入れ替え	分	どれくらい大きな店だったのかは、次の数字で分かる。	どれくらい大きな店があったのかは次の数字でわかる。
c211-1	1字の入れ替え	豊	つまり三豊百貨店は、開いてから5年のあいだに、	つまり三分百貨店は開いてから五年の間に
c213-1	字の欠け	工竣	竣工の検査が終わったのは、開店の翌年、1990年7月27日。	春高の検査が終わったのは開店の翌年、 1990年7月27日
c305-2	1字の入れ替え	豊	三豊建設が下請けに出し、1987年11月から1988年11月まで続いた。	三分建設が下請けに出し、年十一月から年十一月まで続いた。
c306-3	頭欠け	2→2069	2,069平方メートル、テニスコート8面ぶん増えている。	二千六十九平方メートル。テニスコート八面分増えている。
c312-2	1字の入れ替え	描	図面を描く設計。実際に建てる施工。	図面を書く設計、実際に建てる施工
c312-3	1字の入れ替え	監	そして図面どおりに建っているかを見る監理である。	そして図面通りに建っているかを見る管理である。
c313-1	1字の入れ替え	監	この建物では、設計と監理を同じ設計事務所が受け持った。	この建物では設計と管理を同じ設計事務所が受け持った。
c313-3	1字の入れ替え	豊	建て主である三豊建設が自分で行っている。	建主である三分建設が自分で行っている
c316-1	1字の入れ替え	豊	三豊建設の上限は18億ウォン。この百貨店の工事は228億ウォン。	三分建設の上限は十八億ウォン。この百貨店の工事は二百二十八億ウォン。
c318-3	字の欠け	工竣	竣工の検査が終わったのは、その8か月あとである。	春高の検査が終わったのはその八ヶ月後である。
c321-2	頭欠け	建→た	建ったあと手入れをする、という段階ごとに、	たったあと手入れをするという段階ごとに
c321-2	1字の入れ替え	建	建ったあと手入れをする、という段階ごとに、	たったあと手入れをするという段階ごとに
c403-3	1字の入れ替え	載	屋上に載っていたことになる。	屋上に乗っていたことになる
c412-2	1字の入れ替え	跡	冷却塔を引きずった跡に、ひびが育った	冷却塔を引きずった後にヒビが育った。
c413-3	同形異音語	床	床のひびが長いあいだ育っていた、というのが判決の認定である。	由香の日々が長い間育っていたというのが判決の認定である。
c417-2	1字の入れ替え	接	その重さを直に受ける5階の柱と、柱と床の接ぎ目である。	その重さを直に受ける五階の柱と柱と床の継ぎ目である
c418-1	字の欠け	無載	この時点で、屋上には設計に無い重さが載っていた。	この時点で屋上には設計にない重さが乗っていた。
c502-1	1字の入れ替え	無	この建物には、その梁が無かった。柱の上に厚い板を置き、	この建物にはその梁がなかった。柱の上に厚い板を置き
c502-2	1字の入れ替え	載	その上に床をじかに載せている。	その上に床を直に乗せている
c503-1	1字の入れ替え	無	梁が無いと天井が平らになり、階の高さを低くおさえられる。	梁がないと天井が平らになり、階の高さを低く抑えられる。
c504-2	1字の入れ替え	接	梁が受け持つはずの力を、床と柱の接ぎ目だけで受けることになる。	梁が受け持つはずの力を床と柱の継ぎ目だけで受けることになる
c506-1	1字の入れ替え	接	柱の間隔が長いほど、床は垂れやすく、接ぎ目には力がかかる。	柱の間隔が長いほど床は垂れやすく、継ぎ目には力がかかる。
c506-2	字の欠け	梁無	梁が無くて、しかも間隔が長い。条件は厳しいほうだった。	張りがなくて、しかも間隔が長い。条件は厳しい方だった。
c517-1	頭欠け	None→1	いちばん低い所では、13センチから18センチ沈んでいた。	一番低いところでは 十三センチから十八センチ沈んでいた。
c517-1	1字の入れ替え	所	いちばん低い所では、13センチから18センチ沈んでいた。	一番低いところでは 十三センチから十八センチ沈んでいた。
c518-1	同形異音語	柱	柱のまわりの床は、板とあわせて45センチの厚さにするはずが、	頭の周りの床は板と合わせて四十五センチの厚さにするはずが
c518-3	1字の入れ替え	付	厚さ15センチのその板が、1か所まるごと付いていなかった。	厚さ十五センチのその板が一箇所丸ごとついていなかった。
c601-1	同形異音語	床	話を、崩れた日の午後にもどす。朝から床が盛り上がり、	話を崩れた日の午後に戻す。朝から由佳が盛り上がり
c603-2	同形異音語	下	4階と5階のひびと沈下は、この時間にさらに進んだ。	四階と五階の日比と珍夏はこの時間にさらに進んだ。
c603-2	1字の入れ替え	沈	4階と5階のひびと沈下は、この時間にさらに進んだ。	四階と五階の日比と珍夏はこの時間にさらに進んだ。
c703-1	1字の入れ替え	階	この2本は、5階の強さを計算するときに、	この二本は誤解の強さを計算するときに
c705-1	同形異音語	床	床が柱から外れると、その柱が支えていた重さは、	ゆかが柱から外れると、その柱が支えていた重さは
c705-1	頭欠け	床→ゆ	床が柱から外れると、その柱が支えていた重さは、	ゆかが柱から外れると、その柱が支えていた重さは
c707-3	字の欠け	地検頁	地検の報告は、頁によって17時57分ごろとも、幅でも書いている。	治験の報告はページによって十七時五十七分頃とも幅でも書いている。
c708-2	頭欠け	None→1	いちばん新しく、いちばん多くの記録が採っている値である。	一番新しく、一番多くの記録が取っている値である。
c708-2	1字の入れ替え	採	いちばん新しく、いちばん多くの記録が採っている値である。	一番新しく、一番多くの記録が取っている値である。
c711-1	字の欠け	作無	梁が無い作りでは、床が落ちるときに柱も一緒に倒れる。	梁がない造りでは、床が落ちる時に柱も一緒に倒れる。
c711-3	1字の入れ替え	無	受け止めるものが無いまま、下へ下へと続いたのである。	受け止めるものがないまま、下へ下へと続いたのである。
c811-1	1字の入れ替え	者	行方不明者の数は、なかなか固まらなかった。	行方不明がの数はなかなか固まらなかった。
c819-3	頭欠け	数→カ	数は、この時点でもまだ動いていたことになる。	カズはこの時点でもまだ動いていたことになる。
c819-3	1字の入れ替え	数	数は、この時点でもまだ動いていたことになる。	カズはこの時点でもまだ動いていたことになる。
c901-1	頭欠け	瑞→ソ	瑞草区の区民会館に、合同の焼香所が作られた。	ソチョクの区民会館に合同の焼香所が作られた
c901-1	字の欠け	瑞草	瑞草区の区民会館に、合同の焼香所が作られた。	ソチョクの区民会館に合同の焼香所が作られた
c903-1	1字の入れ替え	分	遺体が見つからないまま行方が分からない人は、	遺体が見つからないまま行方がわからない人は
ep08-2	1字の入れ替え	無	崩壊とのあいだに因果関係は無いと判断し、	崩壊との間に因果関係はないと判断し
ep10-2	字の欠け	公布	災難管理法という。公布されたその日から動き始めている。	災難管理法という、交付されたその日から動き始めている。
ep13-2	頭欠け	None→1	いちばん多くの人が亡くなった事故になるだろう、と。	一番多くの人が亡くなった事故になるだろうと。
