場面	一致率	送った文	聞こえた文	送信文
c101-1	0.966	1954年3月1日、午前6時45分。太平洋のまん中の、ビキニ環礁。	1954年3月1日午前6時45分、太平洋の真ん中のビキニ環礁。	せんきゅうひゃくごじゅうよねんさんがつついたち、午前ろくじよんじゅうごふん。太平洋のまん中の、ビキニ環礁。
c101-2	1.000	アメリカが、水素爆弾の実験を行った。	アメリカが水素爆弾の実験を行った。	アメリカが、水素爆弾の実験を行った。
c102-1	0.833	爆発は、広島の原爆のおよそ1000倍。TNT火薬に直して1500万トンぶん。	爆発は広島の原爆のおよそ千倍。TNT火薬に直して千五百万トン分。	爆発は、広島の原爆のおよそせんばい。TNT火薬に直してせんごひゃくまんトンぶん。
c102-2	0.830	いちばんありそうとされた600万トンと比べると、2.5倍になる。	一番ありそうとされた六百万トンと比べると二点五倍になる	いちばんありそうとされたろっぴゃくまんトンと比べると、にてんごばいになる。
c103-1	1.000	アメリカ国防総省の報告書も、はっきりこう書いている。	アメリカ国防総省の報告書もはっきりこう書いている。	アメリカ国防総省の報告書も、はっきりこう書いている。
c103-2	1.000	爆発の威力は、予想よりはるかに大きかった	爆発の威力は予想よりはるかに大きかった。	爆発の威力は、予想よりはるかに大きかった
c104-1	0.966	爆発でまき上げられた、放射能を帯びた灰は、風に乗って東へ流れた。	爆発で巻き上げられた放射能を帯びた灰は風に乗って東へ流れた。	爆発でまき上げられた、放射能を帯びた灰は、風に乗って東へ流れた。
c104-2	1.000	その先の海にいたのが、日本のマグロ漁船「第五福竜丸」である。	その先の海にいたのが日本のマグロ漁船第五福竜丸である。	その先の海にいたのが、日本のマグロ漁船「第五福竜丸」である。
c105-1	1.000	船は、ビキニ環礁から東北東へ157キロの海の上にいた。	船はビキニ環礁から東北東へ157キロの海の上にいた。	船は、ビキニ環礁からとうほくとうへひゃくごじゅうななキロの海の上にいた。
c105-2	1.000	夜明け前の空が光るのを、乗組員たちは見ている。	夜明け前の空が光るのを乗組員たちは見ている。	夜明け前の空が光るのを、乗組員たちは見ている。
c105-3	0.914	数時間後、船の上に白い灰が降りはじめた。	数時間後、船の上に白い灰が降り始めた。	数時間後、船の上に白い灰が降りはじめた。
c106-1	1.000	乗っていたのは23人。	乗っていたのは23人。	乗っていたのは にじゅうさんにん。
c106-2	0.871	灰を浴びた乗組員は、1週間ほどで、やけどのような痛みに苦しみはじめた。	灰を浴びた乗組員は一週間ほどで火傷のような痛みに苦しみ始めた。	灰を浴びた乗組員は、いっしゅうかんほどで、やけどのような痛みに苦しみはじめた。
c107-1	1.000	その年の9月、船の無線長だった久保山愛吉さんが亡くなっている。	その年の九月、船の無線長だった久保山愛吉さんが亡くなっている。	その年のくがつ、船の無線長だった久保山あいきちさんが亡くなっている。
c107-2	0.909	40歳だった。	四十歳だった。	よんじゅっさいだった。
c108-1	1.000	灰が降ったのは、船の上だけではない。	灰が降ったのは船の上だけではない。	灰が降ったのは、船の上だけではない。
c108-2	0.968	東の島々でも、住民239人とアメリカ兵28人が、灰の放射線を浴びた。	東の島々でも住民二百三十九人とアメリカ兵二十八人が肺の放射線を浴びた。	東の島々でも、住民二百三十九人とアメリカ兵 にじゅうはちにんが、灰の放射線を浴びた。
