# 12本目⑤a 取り直しの計画（2026-09-23）。行ID<TAB>必須の語（聞取が書く字・空＝既定の判定だけ）<TAB>最大テイク<TAB>なぜ
# 🔴 行頭の崩れ（位置の型＝feedback-tts-misreads-are-positional）。el_retake は頭に「　、」を足して振り直す
c112-2	ビキニは	3	行頭 ビキニは→土肥沖には
c209-1	作戦	3	行頭 作戦→北朝鮮
c212-1	実験場	3	行頭 実験場→実験所
c215-2	国防総省	3	行頭 国防総省→北凡総省
c218-1		3	行頭 さんがつついたち→西さんが五月一日（数の余り5で落ちる）
c308-1	書いている	3	行頭 報告書→申告書（1回目は 報告書 で合格したが行末が『書いています』に崩れた＝2回目は行末を必須にし、行頭は目で見る）
c313-2	実験	3	行頭 実験→事件（促音が落ちた）
c317-2	リチウム	3	★ 行頭 リチウム→ビチウム
c318-2	当時	3	行頭 当時→教授
c402-1	区域	3	行頭 区域→陸域
c404-2	班は	3	行頭 班は→ファンは
c405-2	灰の広がり	3	行頭 灰の→火の
c412-3	雲の行方	3	行頭 雲の→山野の
c420-2	装置	3	行頭 装置→操縦士
c421-2	起爆	3	行頭 起爆→被爆
c519-1	流れていた	3	行頭 灰を→愛を（灰は CRITICAL_EP で見る）＋行末 流れていた→流れていった
c602-1	第五福竜丸	3	行頭 第五福竜丸→第五幅。龍丸
c607-1	西南西	3	行頭 西南西→西南、獅子
c622-1	灰を	3	行頭 灰を→愛を
c624-2	出港	3	行頭 出港→事故
c713-2	針は	3	行頭 針は→パリは
c722-1	倍	3	行頭 浴びた→マビタ（頭欠けで見る）＋行末 じゅうにばい→十二パー
c805-2	第五福竜丸	3	行頭 第五福竜丸→バイ五福。竜丸
c806-2	船と魚	3	行頭 船と→骨と（⚠️ 十二月→十二、二月 の重複は判定に掛からない＝結果を目で見る）
c815-2	実験場	3	行頭 実験場→県庁
c816-2	久保山	3	行頭 久保山→坪山（実名）
c903-2	ロンゲラップ	3	行頭 ロンゲラップ→ノンゲラップ
c907-1	ロンゲラップ	3	行頭 ロンゲラップ→ドンゲラップ
c909-3	その後	3	行頭 その後は→そのガとは
c913-2	ロンゲラップ	3	★ 行頭 ロンゲラップ→ドンゲラップ
c916-2	実験	3	行頭 実験→復権
c917-1	福竜丸	3	行頭 第五福竜丸→第五、福留丸
# 🔴 行末が変わる・切れる
c304-2	わずかだ	3	行末 わずかだ→わずか
c323-2	からだ	3	行末 からだ→からです
c408-2	ためである	3	行末 ためである→ためです
c414-1	書いている	3	行末 書いている→書いていた
c505-2	深さである	3	行末 深さである→深さです
c514-1	めた	3	行末 降りはじめた→降り始める
c617-2	ようだと	3	行末 ようだ、と→ようだ
c707-2	着	3	行末 着がえた→換えた
c906-1	書かれている	3	行末 書かれている→書かれていた
c915-3	灰だ	3	行末 雲の灰だ→雲の配置
# ⚠️ 行の途中（テイクの揺れか聞取の癖か分からないもの。取り直して別テイクで確かめる）
c210-1	TNT	3	TNT→PNT
c210-2	1回	3	最初の1回→最初の回（1が落ちた疑い）。🔴 1回目は必須の語を「一回」にして失敗＝正しい take2・3 は聞取が算用数字『1回』で落ち、所見が同数の take1（1が落ちた）が採られた
c312-1	値と	3	値と→ネットと
c421-3	環礁	3	環礁→干潮
c720-3	環礁	3	環礁→干潮
c513-1	起爆	3	起爆→被爆（き→ひ）
c815-1	危険区域	3	危険区域→被験区域（き→ひ）
c816-1	無線長	3	無線長→無線嬢
c810-2	爆心に	3	爆心に→爆心地
c713-1	ロンゲリック	3	ロンゲリック→ドンゲリック
c716-1	ロンゲリック	3	ロンゲリック→ドンゲリック
