cid	mm:ss	start	sec	chapter
c101	0:00.0	0.00	10.68	1/9 予想をはるかに超えた爆発
c102	0:10.7	10.68	11.96	1/9 予想をはるかに超えた爆発
c103	0:22.6	22.64	7.72	1/9 予想をはるかに超えた爆発
c104	0:30.4	30.36	10.74	1/9 予想をはるかに超えた爆発
c105	0:41.1	41.10	12.86	1/9 予想をはるかに超えた爆発
c106	0:54.0	53.96	7.42	1/9 予想をはるかに超えた爆発
c107	1:01.4	61.38	7.40	1/9 予想をはるかに超えた爆発
c108	1:08.8	68.78	10.34	1/9 予想をはるかに超えた爆発
c109	1:19.1	79.12	12.06	1/9 予想をはるかに超えた爆発
c110	1:31.2	91.18	15.89	1/9 予想をはるかに超えた爆発
c111	1:47.1	107.07	16.63	1/9 予想をはるかに超えた爆発
c112	2:03.7	123.70	16.94	1/9 予想をはるかに超えた爆発
c113	2:20.6	140.64	7.97	1/9 予想をはるかに超えた爆発
c114	2:28.6	148.61	6.94	1/9 予想をはるかに超えた爆発
c201	2:35.6	155.55	9.48	2/9 水素爆弾と、キャッスル作戦
c202	2:45.0	165.03	9.15	2/9 水素爆弾と、キャッスル作戦
c203	2:54.2	174.18	12.02	2/9 水素爆弾と、キャッスル作戦
c204	3:06.2	186.20	8.26	2/9 水素爆弾と、キャッスル作戦
c205	3:14.5	194.46	16.26	2/9 水素爆弾と、キャッスル作戦
c206	3:30.7	210.72	9.46	2/9 水素爆弾と、キャッスル作戦
c207	3:40.2	220.18	6.18	2/9 水素爆弾と、キャッスル作戦
c208	3:46.4	226.36	9.20	2/9 水素爆弾と、キャッスル作戦
c209	3:55.6	235.56	9.51	2/9 水素爆弾と、キャッスル作戦
c210	4:05.1	245.07	9.44	2/9 水素爆弾と、キャッスル作戦
c211	4:14.5	254.51	13.91	2/9 水素爆弾と、キャッスル作戦
c212	4:28.4	268.42	8.23	2/9 水素爆弾と、キャッスル作戦
c213	4:36.7	276.65	10.43	2/9 水素爆弾と、キャッスル作戦
c214	4:47.1	287.08	15.36	2/9 水素爆弾と、キャッスル作戦
c215	5:02.4	302.44	8.16	2/9 水素爆弾と、キャッスル作戦
c216	5:10.6	310.60	6.93	2/9 水素爆弾と、キャッスル作戦
c217	5:17.5	317.53	12.38	2/9 水素爆弾と、キャッスル作戦
c218	5:29.9	329.91	8.46	2/9 水素爆弾と、キャッスル作戦
c219	5:38.4	338.37	8.53	2/9 水素爆弾と、キャッスル作戦
c220	5:46.9	346.90	5.27	2/9 水素爆弾と、キャッスル作戦
c301	5:52.2	352.17	6.73	3/9 見込みは、なぜ外れたのか
c302	5:58.9	358.90	9.27	3/9 見込みは、なぜ外れたのか
c303	6:08.2	368.17	6.06	3/9 見込みは、なぜ外れたのか
c304	6:14.2	374.23	10.97	3/9 見込みは、なぜ外れたのか
c305	6:25.2	385.20	9.99	3/9 見込みは、なぜ外れたのか
c306	6:35.2	395.19	9.55	3/9 見込みは、なぜ外れたのか
c307	6:44.7	404.74	6.80	3/9 見込みは、なぜ外れたのか
c308	6:51.5	411.54	10.44	3/9 見込みは、なぜ外れたのか
c309	7:02.0	421.98	6.03	3/9 見込みは、なぜ外れたのか
c310	7:08.0	428.01	9.56	3/9 見込みは、なぜ外れたのか
c311	7:17.6	437.57	7.12	3/9 見込みは、なぜ外れたのか
c312	7:24.7	444.69	7.65	3/9 見込みは、なぜ外れたのか
c313	7:32.3	452.34	8.21	3/9 見込みは、なぜ外れたのか
c314	7:40.6	460.55	11.90	3/9 見込みは、なぜ外れたのか
c315	7:52.4	472.45	9.20	3/9 見込みは、なぜ外れたのか
c316	8:01.6	481.65	5.31	3/9 見込みは、なぜ外れたのか
c317	8:07.0	486.96	12.56	3/9 見込みは、なぜ外れたのか
c318	8:19.5	499.52	10.87	3/9 見込みは、なぜ外れたのか
c319	8:30.4	510.39	7.37	3/9 見込みは、なぜ外れたのか
c320	8:37.8	517.76	16.26	3/9 見込みは、なぜ外れたのか
c321	8:54.0	534.02	11.41	3/9 見込みは、なぜ外れたのか
c322	9:05.4	545.43	13.58	3/9 見込みは、なぜ外れたのか
c323	9:19.0	559.01	14.83	3/9 見込みは、なぜ外れたのか
c324	9:33.8	573.84	9.02	3/9 見込みは、なぜ外れたのか
c401	9:42.9	582.86	15.31	4/9 撃つ前の夜の風
c402	9:58.2	598.17	15.62	4/9 撃つ前の夜の風
c403	10:13.8	613.79	8.71	4/9 撃つ前の夜の風
c404	10:22.5	622.50	7.96	4/9 撃つ前の夜の風
c405	10:30.5	630.46	12.67	4/9 撃つ前の夜の風
c406	10:43.1	643.13	9.88	4/9 撃つ前の夜の風
c407	10:53.0	653.01	14.66	4/9 撃つ前の夜の風
c408	11:07.7	667.67	9.32	4/9 撃つ前の夜の風
c409	11:17.0	676.99	12.94	4/9 撃つ前の夜の風
c410	11:29.9	689.93	8.78	4/9 撃つ前の夜の風
c411	11:38.7	698.71	8.54	4/9 撃つ前の夜の風
c412	11:47.2	707.25	13.05	4/9 撃つ前の夜の風
c413	12:00.3	720.30	7.91	4/9 撃つ前の夜の風
c414	12:08.2	728.21	7.41	4/9 撃つ前の夜の風
c415	12:15.6	735.62	12.51	4/9 撃つ前の夜の風
c416	12:28.1	748.13	11.87	4/9 撃つ前の夜の風
c417	12:40.0	760.00	11.08	4/9 撃つ前の夜の風
c418	12:51.1	771.08	8.41	4/9 撃つ前の夜の風
c419	12:59.5	779.49	9.79	4/9 撃つ前の夜の風
c420	13:09.3	789.28	8.22	4/9 撃つ前の夜の風
c421	13:17.5	797.50	11.77	4/9 撃つ前の夜の風
c422	13:29.3	809.27	18.49	4/9 撃つ前の夜の風
c501	13:47.8	827.76	14.51	5/9 1500万トン
c502	14:02.3	842.27	8.77	5/9 1500万トン
c503	14:11.0	851.04	12.20	5/9 1500万トン
c504	14:23.2	863.24	9.08	5/9 1500万トン
c505	14:32.3	872.32	8.60	5/9 1500万トン
c506	14:40.9	880.92	7.40	5/9 1500万トン
c507	14:48.3	888.32	7.55	5/9 1500万トン
c508	14:55.9	895.87	5.24	5/9 1500万トン
c509	15:01.1	901.11	11.38	5/9 1500万トン
c510	15:12.5	912.49	13.35	5/9 1500万トン
c511	15:25.8	925.84	8.44	5/9 1500万トン
c512	15:34.3	934.28	6.58	5/9 1500万トン
c513	15:40.9	940.86	12.12	5/9 1500万トン
c514	15:53.0	952.98	12.63	5/9 1500万トン
c515	16:05.6	965.61	7.65	5/9 1500万トン
c516	16:13.3	973.26	8.29	5/9 1500万トン
c517	16:21.5	981.55	12.74	5/9 1500万トン
c518	16:34.3	994.29	7.84	5/9 1500万トン
c519	16:42.1	1002.13	10.95	5/9 1500万トン
c520	16:53.1	1013.08	9.58	5/9 1500万トン
c521	17:02.7	1022.66	13.24	5/9 1500万トン
c522	17:15.9	1035.90	7.66	5/9 1500万トン
c601	17:23.6	1043.56	13.49	6/9 第五福竜丸
c602	17:37.1	1057.05	8.21	6/9 第五福竜丸
c603	17:45.3	1065.26	8.70	6/9 第五福竜丸
c604	17:54.0	1073.96	10.76	6/9 第五福竜丸
c605	18:04.7	1084.72	7.52	6/9 第五福竜丸
