cid	mm:ss	start	sec	chapter
c101	0:00.0	0.00	15.23	1/9 2年近く前にも外れていたドア
c102	0:15.2	15.23	7.07	1/9 2年近く前にも外れていたドア
c103	0:22.3	22.30	12.92	1/9 2年近く前にも外れていたドア
c104	0:35.2	35.22	10.19	1/9 2年近く前にも外れていたドア
c105	0:45.4	45.41	8.76	1/9 2年近く前にも外れていたドア
c106	0:54.2	54.17	11.35	1/9 2年近く前にも外れていたドア
c107	1:05.5	65.52	11.96	1/9 2年近く前にも外れていたドア
c108	1:17.5	77.48	9.87	1/9 2年近く前にも外れていたドア
c109	1:27.3	87.35	11.45	1/9 2年近く前にも外れていたドア
c110	1:38.8	98.80	10.71	1/9 2年近く前にも外れていたドア
c111	1:49.5	109.51	9.82	1/9 2年近く前にも外れていたドア
c112	1:59.3	119.33	13.88	1/9 2年近く前にも外れていたドア
c201	2:13.2	133.21	8.91	2/9 その日のオルリー
c202	2:22.1	142.12	12.04	2/9 その日のオルリー
c203	2:34.2	154.16	7.36	2/9 その日のオルリー
c204	2:41.5	161.52	15.52	2/9 その日のオルリー
c205	2:57.0	177.04	8.54	2/9 その日のオルリー
c206	3:05.6	185.58	7.39	2/9 その日のオルリー
c207	3:13.0	192.97	8.53	2/9 その日のオルリー
c208	3:21.5	201.50	9.26	2/9 その日のオルリー
c209	3:30.8	210.76	15.14	2/9 その日のオルリー
c210	3:45.9	225.90	10.47	2/9 その日のオルリー
c211	3:56.4	236.37	10.80	2/9 その日のオルリー
c212	4:07.2	247.17	9.25	2/9 その日のオルリー
c213	4:16.4	256.42	7.60	2/9 その日のオルリー
c214	4:24.0	264.02	9.07	2/9 その日のオルリー
c215	4:33.1	273.09	10.54	2/9 その日のオルリー
c216	4:43.6	283.63	10.82	2/9 その日のオルリー
c217	4:54.4	294.45	11.86	2/9 その日のオルリー
c218	5:06.3	306.31	10.29	2/9 その日のオルリー
c219	5:16.6	316.60	10.19	2/9 その日のオルリー
c220	5:26.8	326.79	9.94	2/9 その日のオルリー
c221	5:36.7	336.73	8.66	2/9 その日のオルリー
c222	5:45.4	345.39	4.49	2/9 その日のオルリー
c301	5:49.9	349.88	8.42	3/9 閉まったように見えるドア
c302	5:58.3	358.30	4.88	3/9 閉まったように見えるドア
