cid	mm:ss	start	sec	chapter
pr01	0:00.0	0.00	11.40	冒頭
pr02	0:11.4	11.40	9.42	冒頭
pr03	0:20.8	20.82	8.77	冒頭
pr04	0:29.6	29.59	11.73	冒頭
pr05	0:41.3	41.32	11.22	冒頭
pr06	0:52.5	52.54	9.80	冒頭
pr07	1:02.3	62.34	9.57	冒頭
pr08	1:11.9	71.91	8.69	冒頭
pr09	1:20.6	80.60	11.01	冒頭
pr10	1:31.6	91.61	11.89	冒頭
pr11	1:43.5	103.50	10.15	冒頭
c101	1:53.7	113.65	8.92	1/9 その日、二つのジャンボ機
c102	2:02.6	122.57	14.29	1/9 その日、二つのジャンボ機
c103	2:16.9	136.86	13.15	1/9 その日、二つのジャンボ機
c104	2:30.0	150.01	10.67	1/9 その日、二つのジャンボ機
c105	2:40.7	160.68	11.79	1/9 その日、二つのジャンボ機
c106	2:52.5	172.47	11.65	1/9 その日、二つのジャンボ機
c107	3:04.1	184.12	8.58	1/9 その日、二つのジャンボ機
c108	3:12.7	192.70	9.61	1/9 その日、二つのジャンボ機
c109	3:22.3	202.31	12.53	1/9 その日、二つのジャンボ機
c110	3:34.8	214.84	8.77	1/9 その日、二つのジャンボ機
c111	3:43.6	223.61	14.85	1/9 その日、二つのジャンボ機
c112	3:58.5	238.46	11.89	1/9 その日、二つのジャンボ機
c113	4:10.4	250.35	10.20	1/9 その日、二つのジャンボ機
c114	4:20.6	260.55	9.88	1/9 その日、二つのジャンボ機
c115	4:30.4	270.43	13.38	1/9 その日、二つのジャンボ機
c116	4:43.8	283.81	9.09	1/9 その日、二つのジャンボ機
c117	4:52.9	292.90	13.62	1/9 その日、二つのジャンボ機
c118	5:06.5	306.52	11.06	1/9 その日、二つのジャンボ機
c119	5:17.6	317.58	6.28	1/9 その日、二つのジャンボ機
c120	5:23.9	323.86	9.84	1/9 その日、二つのジャンボ機
c201	5:33.7	333.70	8.29	2/9 ラスパルマスの爆弾
c202	5:42.0	341.99	9.49	2/9 ラスパルマスの爆弾
c203	5:51.5	351.48	8.37	2/9 ラスパルマスの爆弾
c204	5:59.8	359.85	7.97	2/9 ラスパルマスの爆弾
c205	6:07.8	367.82	8.37	2/9 ラスパルマスの爆弾
c206	6:16.2	376.19	13.01	2/9 ラスパルマスの爆弾
c207	6:29.2	389.20	12.13	2/9 ラスパルマスの爆弾
c208	6:41.3	401.33	9.09	2/9 ラスパルマスの爆弾
c209	6:50.4	410.42	8.61	2/9 ラスパルマスの爆弾
c210	6:59.0	419.03	8.69	2/9 ラスパルマスの爆弾
c211	7:07.7	427.72	10.13	2/9 ラスパルマスの爆弾
c212	7:17.8	437.85	9.25	2/9 ラスパルマスの爆弾
c213	7:27.1	447.10	9.76	2/9 ラスパルマスの爆弾
c214	7:36.9	456.86	9.01	2/9 ラスパルマスの爆弾
c215	7:45.9	465.87	8.53	2/9 ラスパルマスの爆弾
c216	7:54.4	474.40	7.08	2/9 ラスパルマスの爆弾
c217	8:01.5	481.48	11.41	2/9 ラスパルマスの爆弾
c218	8:12.9	492.89	8.05	2/9 ラスパルマスの爆弾
c219	8:20.9	500.94	10.11	2/9 ラスパルマスの爆弾
