欄                            網を通った     中身も合う     うち時点も  中身
  manhattan_pre                 40        40        30  2001年以前のローワーマンハッタン（朝の街並み）
  commute_pre                   25         4         3  朝の通勤（2001年以前のマンハッタン）
  wtc_far                       40        21        19  世界貿易センター（遠景・2001年以前）
  wtc_twin                      39        26        24  ツインタワー（2001年以前）
  wtc_base                      26         8         8  世界貿易センターの足元（2001年以前）
⚠️wtc_south                     22         6         0  ツインタワーの南棟（2001年以前）
⚠️wtc_under                     36        12         0  世界貿易センターの地下（2001年以前）
  lobby_pre                     40        40         1  2001年以前の空港ロビー
  security_pre                  33        10         1  2001年以前の保安検査場
⚠️gate_pre                      30         6         0  空港の搭乗口（2001年以前）
⚠️fids_pre                      40        40         0  空港の出発案内板（2001年以前）
  logan                         40        40         8  ボストン・ローガン空港（2001年以前）
  logan_apron                   40        40         9  ローガン空港の駐機場
  logan_takeoff                 40        40         3  ローガン空港を離陸する旅客機
  dulles                        40        40         4  ワシントン・ダレス空港（2001年以前）
  dulles_rwy                    20         6         1  ダレス空港の滑走路
⚠️reagan                        40        40         0  レーガン・ナショナル空港（2001年以前）
⚠️newark_757                     5         3         0  ニューアーク空港を離陸する757
⚠️b767                          40        40         0  ボーイング767（2001年以前）
⚠️b757                          40        39         0  ボーイング757（2001年以前）
  b767_cruise                   40        40        40  巡航するボーイング767
  b767_takeoff                  15        10        10  離陸するボーイング767
  b757_takeoff                  25        23        23  離陸するボーイング757
  airliner_cruise               10         3         3  巡航する旅客機
  refuel                        13         7         7  給油中の旅客機（2001年以前）
  cabin_pre                     40        21         1  旅客機の客室（2001年以前）
⚠️cockpit_door_pre               2         1         0  旅客機の操縦室の扉（2001年以前）
🔴cabin_phone                   24         0         0  客室の座席にある電話（2001年以前）
  cockpit_pre                    6         4         3  旅客機の操縦室（2001年以前）
  window_cruise                 40        40        40  巡航する旅客機の窓
  window_sky                    40        40        40  飛行機の窓から見た空
  artcc_screen_pre              35        11         2  航空路管制センターの画面（2001年当時）
  radar_scope_pre               26        14         2  管制卓のレーダー画面（2001年当時）
  controller_pre                40        40         6  管制卓に着く管制官（2001年当時）
  artcc_screen2                 26         2         1  管制卓の画面（2001年当時）
🔴artcc_alt                     24         0         0  管制卓の画面（高度の表示）
  artcc_seat                    40        40        40  航空路管制センターの席
図boston_artcc_ext               0         0         0  ボストンの航空路管制センター（外観）
図indy_artcc                     0         0         0  インディアナポリスの管制センター
図cleveland_artcc                0         0         0  クリーブランドの管制センター
図atcscc                         0         0         0  連邦航空局コマンドセンター（外観）
🔴aoc_pre                        1         0         0  航空会社の運航管理室（2001年以前）
  pentagon_ext_pre              40        40        18  ペンタゴン（外観・2001年以前）
  pentagon_aerial_pre           25        25         8  ペンタゴンの空撮（2001年以前）
⚠️pentagon_court_pre            40        40         0  ペンタゴンの中庭（2001年以前）
  pentagon_west_day             40        40        40  ペンタゴン西側（当日・遠景）
  f15_alert                     40        40        40  待機中のF-15（オーティス基地）
  f15_takeoff                   33        29        29  離陸するF-15
  f16_alert                     40        40        40  待機中のF-16（ラングレー基地）
  f16_takeoff                   40        40        40  離陸するF-16
  base_rwy                      23        12        12  基地の滑走路（2001年以前）
  fighter_dc                     4         4         4  首都上空を飛ぶ戦闘機
  andrews                       40        40        40  アンドルーズ基地（2001年以前）
  wtc_smoke_day                 38        21        17  北棟から上がる煙（遠景・2001-09-11）
  fire_trucks_day               30        24        13  現場へ向かう消防車（2001-09-11）
  shanksville_day               26         3         2  シャンクスビルの野原（当日・遠景）
⚠️apron_day                     27         3         0  駐機場に降りた旅客機（2001-09-11）
⚠️apron_lined_day               27         3         0  駐機場に並んだ旅客機（2001-09-11）
⚠️stopped_day                   27         3         0  空港で止まった旅客機（2001-09-11）
⚠️stranded_day                  19         2         0  空港で足止めされた人たち（2001-09-11）
  report_cover                  28         7         7  委員会報告の表紙
  report_page                   24         6         6  委員会報告のページ
  hearing                       40        40        40  委員会の公聴会（2003〜2004年）
  library_reports               37        17        17  図書館に並ぶ報告書
  nist_report                   25        16        16  建物側の報告書（NIST NCSTAR 1）
  recorder                      40        34        34  記録装置（ブラックボックス）
  atc_tape                      35        19        19  管制施設の録音装置（2001年当時）
  logbook                       40        25        21  当直の記録簿（書式の見本）
  security_now                  16        16        16  今の空港の保安検査場
🔴cockpit_door_hard              4         0         0  強化された操縦室の扉
  artcc_now                     24         2         2  今の航空路管制センター
🔴lobby_now                      2         0         0  今の空港の出発ロビー
  clear_sky                     13         2         2  よく晴れた空

■ 欄 73 ／ **中身も時点も合う候補が0の欄 19**
   wtc_south wtc_under gate_pre fids_pre reagan newark_757 b767 b757 cockpit_door_pre cabin_phone artcc_alt aoc_pre pentagon_court_pre apron_day apron_lined_day stopped_day stranded_day cockpit_door_hard lobby_now
