# ep12 の「危ない数」を耳で通した記録（tools/check_yomi_numbers.py が読む）
# 行ID	語	判定	いつ・だれが
# 🔴 判定は ok（耳で通した）か ng（直す）。書いていない行は「誰も聞いていない」として落ちる。
# 🔴 2026-09-24 の2回目の試写（r06・33分10秒を通しで視聴）で、数字の11行はどれも指摘なし。
#    c101-1 だけは「まん中」の直しで取り直した（216001f）＝新しいテイクの音をカズヤくんが耳で確認（日付の読み・抑揚とも OK）。
c101-1	1954年	ok	2026-09-24 取り直しの音（216001f）をカズヤくんが耳で確認
c101-1	3月	ok	2026-09-24 取り直しの音（216001f）をカズヤくんが耳で確認
c101-1	1日	ok	2026-09-24 取り直しの音（216001f）をカズヤくんが耳で確認
c101-1	6時	ok	2026-09-24 取り直しの音（216001f）をカズヤくんが耳で確認
c101-1	45分	ok	2026-09-24 取り直しの音（216001f）をカズヤくんが耳で確認
c102-2	600	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c111-2	1982年	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c111-2	2013年	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c111-2	2	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c407-1	5日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c501-1	1954年	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c501-1	3月	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c501-1	1日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c501-1	6時	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c501-1	45分	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c509-2	157キロ	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c517-3	3月	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c517-3	4日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c601-2	1954年	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c601-2	1月	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c601-2	22日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c625-3	3月	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c625-3	19日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c806-1	3月	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c806-1	18日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c920-1	1954年	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c920-1	3月	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c920-1	1日	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c920-1	6時	ok	2026-09-24 試写2回目（r06 を通しで視聴）
c920-1	45分	ok	2026-09-24 試写2回目（r06 を通しで視聴）
