行ID	話者	文	音声記号列	読み	出どころ
c101-1		2011年9月16日、アメリカのリノのエアレース。	にせんじゅーいち'ねん/く'がつ/じゅーろく'にち、あめりかの/り'のの/えあれ'ーす。	にせんじゅーいちねんくがつじゅーろくにち、あめりかのりののえあれーす。	auto
c101-2		改造した古い戦闘機が、観客席に落ちた。	かいぞーした'/ふる'い/せんと'ーきが、かんきゃく'せきに/お'ちた。	かいぞーしたふるいせんとーきが、かんきゃくせきにおちた。	auto
c102-1		崩れ始めてから、落ちるまで約9秒。	くずれはじ'めてから、おち'るまで/や'く/きゅ'ーびょー。	くずれはじめてから、おちるまでやくきゅーびょー。	auto
c102-2		パイロットと、地上の10人が亡くなった。	ぱ'いろっとと、ちじょーの/じゅーに'んが/なくなった'。	ぱいろっとと、ちじょーのじゅーにんがなくなった。	auto
c103-1	q	なぜ落ちたの？	な'ぜ/お'ちたの？	なぜおちたの？	auto
c103-2		当時、「尾翼の小さな板が外れて、機首が上がったのでは」と報じられた。	と'ーじ、びよくの/ち'ーさな/い'たが/はずれて、き'しゅが/あがった'のでわと/ほーじら'れた。	とーじ、びよくのちーさないたがはずれて、きしゅがあがったのでわとほーじられた。	auto
c104-1		でも報告書では、機首が上がり、体にかかる力Gが最大になったのが先。	で'も/ほーこくしょで'わ、き'しゅが/あがり、からだに/かか'る/ちから'/じ'ー/が/さいだいに/な'ったのが/さき。	でもほーこくしょでわ、きしゅがあがり、からだにかかるちからじーがさいだいになったのがさき。	auto
c104-2		板の一片が離れたのは、最大Gの約3秒後	い'たの/いっぺ'んが/はな'れたのわ、さいだい/じ'ー/の'/や'く/さんびょーご'。	いたのいっぺんがはなれたのわ、さいだいじーのやくさんびょーご。	auto
c105-1		その板を留めていたナットは、	その/い'たを/とめていた'/な'っとわ。	そのいたをとめていたなっとわ。	auto
c105-2		塗装の跡から、26年以上前から付いていたとみられる。	とそーの/あ'とから、にじゅーろく'ねん/いじょーま'えから/つ'いていたと/みられ'る。	とそーのあとから、にじゅーろくねんいじょーまえからついていたとみられる。	auto
c106-1	q	つまり、とても古いナットだった？	つ'まり、とても/ふる'い/な'っとだった？	つまり、とてもふるいなっとだった？	auto
c106-2		そう。報告書は、そのナットから、板の震え、墜落までを、1本の鎖のようにつなぐ。	そー。ほーこくしょわ、その/な'っとから、い'たの/ふるえ、ついらくま'でを、い'っぽんの/くさりのよーに/つなぐ。	そー。ほーこくしょわ、そのなっとから、いたのふるえ、ついらくまでを、いっぽんのくさりのよーにつなぐ。	auto
c107-1		操縦していたのは、機体を持つ会社の社長、ジェームズ・リーワード。	そーじゅーしていた'のわ、きたいを/も'つ/かいしゃの/しゃちょー、じぇ'ーむず/りーわ'ーど。	そーじゅーしていたのわ、きたいをもつかいしゃのしゃちょー、じぇーむずりーわーど。	auto
c107-2		74歳。この機体で、何度もリノを走ってきた人だった。	ななじゅーよ'んさい。この/きたいで、な'んども/り'のを/はし'ってきた/ひとだ'った。	ななじゅーよんさい。このきたいで、なんどもりのをはしってきたひとだった。	auto
