# 14本目 セウォル号 ⑤a：pyopenjtalk の利用者辞書（tools/aq_kana.py が読む）。1行1語・MeCab の CSV の形
# 表層形,左文脈ID,右文脈ID,コスト,品詞,細分類1,細分類2,細分類3,活用型,活用形,原形,読み,発音,アクセント型/モーラ数,結合規則
# ⚠️ 表層形の英数字は全角で書く（pyopenjtalk は文を全角に揃えてから引く：「4月」→「４月」）
# ⚠️ アクセント型＝句頭から数えた核の位置（0＝平板）。固有名詞の型は推定＝⑤a-2 の音で確かめる
# ── 割れていた固有名詞（語ごとの変換で「せ'/うぉる'ごー」のように別の句に割れた）
セウォル号,,,1,名詞,固有名詞,一般,*,*,*,セウォル号,セウォルゴウ,セウォルゴー,3/5,*
ピョンプンド,,,1,名詞,固有名詞,地域,一般,*,*,ピョンプンド,ピョンプンド,ピョンプンド,3/5,*
メンゴル水道,,,1,名詞,固有名詞,地域,一般,*,*,メンゴル水道,メンゴルスイドウ,メンゴルスイドー,5/8,*
チョンヘジン海運,,,1,名詞,固有名詞,組織,*,*,*,チョンヘジン海運,チョンヘジンカイウン,チョンヘジンカイウン,6/9,*
イ・ジュンソク,,,1,名詞,固有名詞,人名,一般,*,*,イ・ジュンソク,イジュンソク,イジュンソク,2/5,*
キム・ギョンイル,,,1,名詞,固有名詞,人名,一般,*,*,キム・ギョンイル,キムギョンイル,キムギョンイル,3/6,*
クァンファムン広場,,,1,名詞,固有名詞,地域,一般,*,*,クァンファムン広場,クァンファムンヒロバ,クァンファムンヒロバ,6/8,*
# 語だけだと「もっぽみなと」になった（文の中では「こう」と読めていた＝念のため固定）
モッポ港,,,1,名詞,固有名詞,地域,一般,*,*,モッポ港,モッポコウ,モッポコー,3/5,*
# ── 読み違い（台本 §6-1・§6-0）
１等航海士,,,1,名詞,一般,*,*,*,*,１等航海士,イットウコウカイシ,イットーコーカイシ,5/9,*
２等航海士,,,1,名詞,一般,*,*,*,*,２等航海士,ニトウコウカイシ,ニトーコーカイシ,4/8,*
３等航海士,,,1,名詞,一般,*,*,*,*,３等航海士,サントウコウカイシ,サントーコーカイシ,5/9,*
１等,,,1,名詞,一般,*,*,*,*,１等,イットウ,イットー,0/4,*
２等,,,1,名詞,一般,*,*,*,*,２等,ニトウ,ニトー,0/3,*
２通り,,,1,名詞,一般,*,*,*,*,２通り,フタトオリ,フタトーリ,3/5,*
４通り,,,1,名詞,一般,*,*,*,*,４通り,ヨトオリ,ヨトーリ,2/4,*
# 数の台帳（numbers.tsv）の門番が止めた2つ（下書きは しちにん・じゅうふぃーと）
７人,,,1,名詞,一般,*,*,*,*,７人,ナナニン,ナナニン,2/4,*
１０フィート,,,1,名詞,一般,*,*,*,*,１０フィート,ジュッフィート,ジュッフィート,3/5,*
# 「林兼」の兼を けん と読んだ（はやしけんぞうせん）。§6-2 は はやしかねぞうせん
林兼造船,,,1,名詞,固有名詞,組織,*,*,*,林兼造船,ハヤシカネゾウセン,ハヤシカネゾーセン,6/9,*
# 「何」の読み分けは onnxruntime が無いと働かない（なにど・なにかいか・なにしゅうかん になった）
