c103	質問	船長たちは？
c108	質問	この動画で、追うのは？
c112	質問	事故が起きたのは？
c203	まとめ	つまり、夜通し走る船？
c206	質問	船で働く人たちは？
c209	質問	その書類に、何か？
c211	まとめ	つまり、積みすぎではない？
c214	質問	韓国に来る前？
c302	質問	どこで造られた船なの？
c305	質問	名前は、変わったの？
c309	質問	船の中は、どうなってたの？
c311	反応	逃げる道具は、そろってたんだ
c405	質問	部屋を足すと、何が変わるの？
c407	反応	ずいぶん、減ったんだ
c409	まとめ	荷を減らして、水を足すってこと？
c413	質問	それで、正しく量れたの？
c504	質問	重さにすると、どれくらい？
c507	質問	バラストの方は？
c511	反応	そんなに、足りなかったんだ
c514	質問	それだと、何が困るの？
c516	まとめ	つまり、急に曲がると傾きやすい？
c602	質問	誰が、船を動かしてたの？
c605	まとめ	少しずつ、曲げてたってこと？
c610	反応	あっという間だね
c615	質問	なんで、急に曲がったの？
c702	質問	そのころ、船長たちは？
c707	まとめ	つまり、逃がす準備はなし？
c710	まとめ	つまり、ただ待て、と？
c712	質問	そのあいだ、船員たちは？
c715	質問	じゃあ、なぜ船内に？
c718	質問	操舵室のほうは？
c802	質問	管制センターって？
c804	質問	船の答えは？
c808	反応	えっ、できたの？
c812	質問	船長は、どうしてたの？
c817	まとめ	つまり、まだ間に合う時刻？
c902	質問	その艇は、何を知ってたの？
c904	まとめ	つまり、まだ船の中？
c909	反応	そんなに近かったんだ。
c913	質問	乗り移ったあとは？
c919	質問	それで、呼びかけたの？
ca01	質問	セウォル号は、どうなる？
ca07	質問	船を動かす船員は？
ca09	質問	判決では、人数は？
ca14	質問	裁判は、どうなったの？
cb03	質問	不作為って？
cb07	まとめ	つまり、殺人と同じってこと？
cb10	まとめ	つまり、故障だった？
cb14	質問	海洋警察の上の人たちは？
cc01	質問	なぜ、あんなに急に曲がったの？
cc03	質問	じゃあ、舵の記録は？
cc08	質問	じゃあ、原因が分からないと？
cc11	質問	じゃあ、それが原因？
cc13	質問	衝撃で、沈んだの？
cc16	質問	じゃあ、決まっていることは？
cd07	質問	その指示は？
